country_name,highest_incidence_cancer,highest_mortality_cancer
Argentina,Breast,Lung
Armenia,,Lung
Australia,Prostate,Lung
Austria,Breast,Lung
Bahrain,Breast,
Belarus,Lung,
Belgium,,Lung
Belize,,Uterus
Brazil,,Lung
Canada,Breast,Lung
Chile,Prostate,Stomach
China,Lung,
Colombia,Breast,Stomach
Costa Rica,Breast,Stomach
Croatia,Lung,Lung
Cuba,,Lung
Cyprus,Breast,Lung
Denmark,Breast,Lung
Ecuador,Thyroid,Stomach
Estonia,Prostate,Lung
Finland,Breast,Lung
France (metropolitan),Breast,Lung
Georgia,,Lung
Germany,Breast,Lung
Greece,,Lung
Guatemala,,Stomach
Guyana,,Uterus
Hungary,,Lung
Iceland,Breast,
India,Breast,
Ireland,Prostate,Lung
Israel,Breast,Lung
Italy,Breast,Lung
Japan,Stomach,Lung
Kuwait,Breast,Breast
Kyrgyzstan,,Stomach
Latvia,Lung,Lung
Lithuania,Prostate,Lung
Luxembourg,,Lung
Malta,Breast,Lung
Mauritius,,Breast
Mexico,,Breast
New Zealand,Breast,Lung
Norway,Prostate,Lung
Panama,,Stomach
Paraguay,,Uterus
Philippines,Breast,Lung
Poland,Lung,Lung
Portugal,,Lung
Qatar,Breast,
Romania,,Lung
Singapore,,Lung
Slovakia,,Lung
Slovenia,Lung,Lung
South Africa,,Lung
South Korea,Thyroid,Lung
Spain,Breast,Lung
Sweden,Prostate,Lung
Switzerland,Breast,Lung
Thailand,Liver,
The Netherlands,Breast,Lung
Türkiye,Lung,
USA,Breast,Lung
Uganda,Kaposi sarcoma,
United Kingdom,,Lung
Uruguay,,Lung
Uzbekistan,,Stomach
