country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
Armenia,2007,2852741,Head and neck,49,2850803.0,0.2001975683,Mortality,29.2219860543866,3.9,2962.70234594569,66.8,18.6,30.0,1.7176461412334538e-05
Armenia,2008,2852741,Head and neck,50,2832194.0,0.1961222544,Mortality,30.454755880876,4.0,3777.66859313767,66.8,19.1,27.0,1.7527001441157693e-05
Armenia,2009,2852741,Head and neck,49,2815039.0,0.2064968242,Mortality,32.172916805124,4.0,2820.5926553347,66.8,19.6,27.0,1.7176461412334538e-05
Armenia,2010,2946293,Head and neck,50,2797315.5,0.1862113297,Mortality,34.4470166846987,4.1,3041.34450723339,60.0,20.1,28.8,1.697047781737933e-05
Armenia,2011,2852741,Head and neck,68,2784560.5,0.2710816786,Mortality,41.8107255386856,4.1,3349.55309771906,66.8,20.7,27.0,2.3836721959974463e-05
Armenia,2012,2852741,Head and neck,49,2777981.0,0.2061469779,Mortality,43.2896148307344,4.0,3511.56399687426,66.8,21.2,27.0,1.7176461412334538e-05
Armenia,2013,2852741,Head and neck,45,2772422.5,0.1646001055,Mortality,41.050500477264,4.0,3680.16692158886,66.8,21.8,27.0,1.5774301297041924e-05
Armenia,2014,2852741,Head and neck,60,2767694.5,0.2246734392,Mortality,38.639237611456,4.1,3852.11800610384,66.8,22.4,27.0,2.103240172938923e-05
Armenia,2015,2878595,Head and neck,40,2762858.5,0.1654867806,Mortality,38.1148586893988,4.0,3512.39350276709,67.0,23.0,27.2,1.3895667851851338e-05
Armenia,2016,2852741,Head and neck,33,2759255.5,0.1276681715,Mortality,35.8609078798257,4.0,3524.42476874707,66.8,23.7,27.0,1.1567820951164075e-05
Armenia,2017,2852741,Head and neck,49,2757993.5,0.1822552649,Mortality,34.0153569947094,3.9,3869.05373867752,69.0,24.4,27.0,1.7176461412334538e-05
Armenia,2018,2852741,Head and neck,52,2759319.0,0.1754560786,Mortality,34.201366074335,4.1,4196.00562301769,66.8,25.1,27.0,1.8228081498804e-05
Armenia,2019,2852741,Head and neck,44,2761273.0,0.1553155731,Mortality,32.6618235324139,4.1,4597.22887399548,70.0,25.8,27.0,1.542376126821877e-05
Armenia,2020,2805608,Head and neck,46,2757281.5,0.1521926847,Mortality,30.5796334750125,3.4,4268.68093304583,66.8,26.5,25.8,1.6395733117384895e-05
Armenia,2021,2852741,Head and neck,45,2745209.0,0.1457585019,Mortality,35.46576432349433,3.9785714285714286,4685.17997128509,68.0,27.2,25.3,1.5774301297041924e-05
Armenia,2022,2780469,Head and neck,42,2758150.0,0.1380027767,Mortality,35.46576432349433,3.9785714285714286,6571.97445545099,66.8,27.9,24.9,1.510536531786544e-05
Armenia,2007,2852741,Oesophagus,42,2850803.0,0.1988401835,Mortality,29.2219860543866,3.9,2962.70234594569,66.8,18.6,30.0,1.4722681210572462e-05
Armenia,2008,2852741,Oesophagus,33,2832194.0,0.144108453,Mortality,30.454755880876,4.0,3777.66859313767,66.8,19.1,27.0,1.1567820951164075e-05
Armenia,2009,2852741,Oesophagus,25,2815039.0,0.1111018903,Mortality,32.172916805124,4.0,2820.5926553347,66.8,19.6,27.0,8.763500720578846e-06
Armenia,2010,2946293,Oesophagus,26,2797315.5,0.1092221285,Mortality,34.4470166846987,4.1,3041.34450723339,60.0,20.1,28.8,8.824648465037253e-06
Armenia,2011,2852741,Oesophagus,27,2784560.5,0.1219910115,Mortality,41.8107255386856,4.1,3349.55309771906,66.8,20.7,27.0,9.464580778225155e-06
Armenia,2012,2852741,Oesophagus,25,2777981.0,0.09899169942,Mortality,43.2896148307344,4.0,3511.56399687426,66.8,21.2,27.0,8.763500720578846e-06
Armenia,2013,2852741,Oesophagus,21,2772422.5,0.09464925762,Mortality,41.050500477264,4.0,3680.16692158886,66.8,21.8,27.0,7.361340605286231e-06
Armenia,2014,2852741,Oesophagus,28,2767694.5,0.1133097525,Mortality,38.639237611456,4.1,3852.11800610384,66.8,22.4,27.0,9.815120807048308e-06
Armenia,2015,2878595,Oesophagus,34,2762858.5,0.1514391428,Mortality,38.1148586893988,4.0,3512.39350276709,67.0,23.0,27.2,1.1811317674073635e-05
Armenia,2016,2852741,Oesophagus,38,2759255.5,0.1713098541,Mortality,35.8609078798257,4.0,3524.42476874707,66.8,23.7,27.0,1.3320521095279848e-05
Armenia,2017,2852741,Oesophagus,31,2757993.5,0.1398319548,Mortality,34.0153569947094,3.9,3869.05373867752,69.0,24.4,27.0,1.086674089351777e-05
Armenia,2018,2852741,Oesophagus,36,2759319.0,0.1339264816,Mortality,34.201366074335,4.1,4196.00562301769,66.8,25.1,27.0,1.261944103763354e-05
Armenia,2019,2852741,Oesophagus,44,2761273.0,0.1649755047,Mortality,32.6618235324139,4.1,4597.22887399548,70.0,25.8,27.0,1.542376126821877e-05
Armenia,2020,2805608,Oesophagus,20,2757281.5,0.07170752898,Mortality,30.5796334750125,3.4,4268.68093304583,66.8,26.5,25.8,7.128579616254302e-06
Armenia,2021,2852741,Oesophagus,31,2745209.0,0.09855598981,Mortality,35.46576432349433,3.9785714285714286,4685.17997128509,68.0,27.2,25.3,1.086674089351777e-05
Armenia,2022,2780469,Oesophagus,23,2758150.0,0.07746675654,Mortality,35.46576432349433,3.9785714285714286,6571.97445545099,66.8,27.9,24.9,8.271985769307265e-06
Armenia,2007,2852741,Stomach,350,2850803.0,1.449555078,Mortality,29.2219860543866,3.9,2962.70234594569,66.8,18.6,30.0,0.0001226890100881
Armenia,2008,2852741,Stomach,335,2832194.0,1.376227539,Mortality,30.454755880876,4.0,3777.66859313767,66.8,19.1,27.0,0.0001174309096557
Armenia,2009,2852741,Stomach,297,2815039.0,1.224499411,Mortality,32.172916805124,4.0,2820.5926553347,66.8,19.6,27.0,0.0001041103885604
Armenia,2010,2946293,Stomach,302,2797315.5,1.258450286,Mortality,34.4470166846987,4.1,3041.34450723339,60.0,20.1,28.8,0.0001025016860169
Armenia,2011,2852741,Stomach,297,2784560.5,1.199016232,Mortality,41.8107255386856,4.1,3349.55309771906,66.8,20.7,27.0,0.0001041103885604
Armenia,2012,2852741,Stomach,264,2777981.0,1.075648133,Mortality,43.2896148307344,4.0,3511.56399687426,66.8,21.2,27.0,9.254256760931262e-05
Armenia,2013,2852741,Stomach,258,2772422.5,1.109862911,Mortality,41.050500477264,4.0,3680.16692158886,66.8,21.8,27.0,9.04393274363737e-05
Armenia,2014,2852741,Stomach,281,2767694.5,1.230820839,Mortality,38.639237611456,4.1,3852.11800610384,66.8,22.4,27.0,9.850174809930624e-05
Armenia,2015,2878595,Stomach,278,2762858.5,1.183474953,Mortality,38.1148586893988,4.0,3512.39350276709,67.0,23.0,27.2,9.65748915703668e-05
