country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
Austria,2000,8010428,Head and neck,839,7443863.0,0.9520851168,Incidence,19.150573887216,12.5,24487.2974685956,70.0,13.0,52.5,0.0001047384733999
Austria,2001,8484844,Head and neck,763,7457829.0,0.8535046151,Incidence,18.9470662603211,12.5,24430.495982841,80.08333333333333,13.3,37.76923076923077,8.99250501813896e-05
Austria,2002,8484844,Head and neck,811,7484190.0,0.8828314502,Incidence,18.7785099320798,12.3,26334.862215032,80.08333333333333,13.6,37.76923076923077,9.5582196195422e-05
Austria,2003,8484844,Head and neck,768,7511780.0,0.8434346081,Incidence,18.6169292381771,12.2,32110.1159661425,80.08333333333333,13.9,37.76923076923077,9.0514336224518e-05
Austria,2004,8484844,Head and neck,822,7550872.0,0.8859283651,Incidence,18.4343485142981,12.2,36614.2506533707,80.08333333333333,14.2,37.76923076923077,9.68786254903044e-05
Austria,2005,8484844,Head and neck,864,7593943.0,0.9259286198,Incidence,18.2027920961277,12.3,38157.37022862,77.0,14.5,44.4,0.0001018286282525
Austria,2006,8484844,Head and neck,900,7624033.0,0.9560839865,Incidence,17.8024706211736,12.4,40382.2078298575,80.08333333333333,14.7,37.76923076923077,0.0001060714877631
Austria,2007,8484844,Head and neck,869,7640983.0,0.8962088118,Incidence,17.2316229771279,12.3,46622.9622913635,80.08333333333333,14.9,41.3,0.0001024179142957
Austria,2008,8484844,Head and neck,935,7659924.0,0.9680327878,Incidence,16.6393158749523,12.1,51581.3982361071,80.08333333333333,15.1,37.76923076923077,0.000110196490065
Austria,2009,8484844,Head and neck,908,7674935.0,0.9211884598,Incidence,16.1746160256084,11.9,47857.4446635266,80.08333333333333,15.2,37.76923076923077,0.0001070143454321
Austria,2010,8362829,Head and neck,901,7689487.0,0.9060066649,Incidence,15.9865901400578,11.9,46611.1393420232,81.0,15.4,37.2,0.0001077386611635
Austria,2011,8484844,Head and neck,849,7712199.0,0.8479435848,Incidence,16.3676317593698,12.0,51116.8953522042,80.08333333333333,15.5,37.76923076923077,0.0001000607701231
Austria,2012,8484844,Head and neck,938,7745843.0,0.9277548934,Incidence,14.7199011900978,12.0,48250.4059142637,80.08333333333333,15.5,37.76923076923077,0.0001105500616908
Austria,2013,8484844,Head and neck,912,7790616.0,0.8930241394,Incidence,14.6599487004805,12.2,50305.3545774973,80.08333333333333,15.6,37.76923076923077,0.0001074857742666
Austria,2014,8484844,Head and neck,1055,7831835.0,1.016602257,Incidence,12.9541454673827,12.0,51314.9722616322,80.08333333333333,15.7,37.76923076923077,0.0001243393551
Austria,2015,8642421,Head and neck,1052,7877514.0,1.020538856,Incidence,13.5999635409,11.9,43915.228020857,84.0,15.8,31.5,0.0001217251508576
Austria,2016,8484844,Head and neck,974,7953847.0,0.9469361158,Incidence,12.5143795701306,11.6,45061.4993920192,80.08333333333333,15.9,37.76923076923077,0.0001147929212014
Austria,2017,8484844,Head and neck,970,7984938.0,0.9235878138,Incidence,12.1557592255042,11.6,47163.7425775142,84.0,16.1,37.76923076923077,0.0001143214923669
Austria,2000,8010428,Oesophagus,256,7443863.0,0.3203694847,Incidence,19.150573887216,12.5,24487.2974685956,70.0,13.0,52.5,3.1958342300810893e-05
Austria,2001,8484844,Oesophagus,293,7457829.0,0.3552605319,Incidence,18.9470662603211,12.5,24430.495982841,80.08333333333333,13.3,37.76923076923077,3.4532162127322615e-05
Austria,2002,8484844,Oesophagus,273,7484190.0,0.3271388363,Incidence,18.7785099320798,12.3,26334.862215032,80.08333333333333,13.6,37.76923076923077,3.2175017954809124e-05
Austria,2003,8484844,Oesophagus,281,7511780.0,0.3293747361,Incidence,18.6169292381771,12.2,32110.1159661425,80.08333333333333,13.9,37.76923076923077,3.311787562381452e-05
Austria,2004,8484844,Oesophagus,288,7550872.0,0.337225971,Incidence,18.4343485142981,12.2,36614.2506533707,80.08333333333333,14.2,37.76923076923077,3.3942876084194246e-05
