country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
Bahrain,2000,711442,Head and neck,10,393594.0,0.5486350173,Incidence,68.651142599615,2.5,14214.4836839343,60.0,23.6,22.0,1.4055959586304998e-05
Bahrain,2001,1095743,Head and neck,8,403186.0,0.2348541632,Incidence,70.059687295923,2.5,13573.2339887597,67.8,24.5,19.3,7.300982073351141e-06
Bahrain,2002,1095743,Head and neck,9,413041.0,0.6623188662,Incidence,71.9559586005481,2.3,13501.4708801425,67.8,25.3,19.3,8.213604832520034e-06
Bahrain,2003,1095743,Head and neck,15,419342.0,0.9350563193,Incidence,73.8799083460396,2.2,14486.0269029822,67.8,26.0,19.3,1.3689341387533393e-05
Bahrain,2004,1095743,Head and neck,6,433042.0,0.2707218125,Incidence,75.3714883649469,2.1,15963.9493171617,67.8,26.5,19.3,5.4757365550133565e-06
Bahrain,2005,1095743,Head and neck,11,443173.0,0.5653815066,Incidence,75.9706504898194,2.1,17966.1657837625,64.0,27.0,20.0,1.003885035085782e-05
Bahrain,2006,1095743,Head and neck,8,453569.0,0.3769405877,Incidence,74.6528084567212,2.1,19267.282615072,67.8,27.4,19.3,7.300982073351141e-06
Bahrain,2007,1095743,Head and neck,9,517800.0,0.3197061762,Incidence,71.5108350525909,2.1,20908.4042548073,67.8,28.0,19.4,8.213604832520034e-06
Bahrain,2008,1095743,Head and neck,4,528386.0,0.05732309288,Incidence,67.7608706862893,2.2,23299.4992780392,67.8,28.6,19.3,3.6504910366755703e-06
Bahrain,2009,1095743,Head and neck,16,550379.0,0.5300371637,Incidence,64.6190557666771,2.3,19465.3140745038,67.8,29.3,19.3,1.4601964146702285e-05
Bahrain,2010,1213645,Head and neck,10,560165.0,0.3146203119,Incidence,63.301530702615,2.2,21819.3291098099,68.0,30.0,18.3,8.239641740377129e-06
Bahrain,2011,1095743,Head and neck,13,576166.0,0.4016811769,Incidence,66.7273263961034,2.1,25032.7867743333,67.8,30.6,19.3,1.1864095869195603e-05
Bahrain,2012,1095743,Head and neck,17,590891.0,0.486985499,Incidence,70.0606736033788,2.0,26438.6733230428,67.8,31.1,19.3,1.5514586905871177e-05
Bahrain,2013,1095743,Head and neck,23,605827.0,0.6467499832,Incidence,68.1447019157403,2.0,26989.7601148469,67.8,31.7,19.3,2.0990323460884532e-05
Bahrain,2014,1095743,Head and neck,14,621422.0,0.2933609681,Incidence,59.1499735070702,1.9,26451.7965647453,67.8,32.3,19.3,1.2776718628364495e-05
Bahrain,2015,1362142,Head and neck,13,637907.0,0.3960910159,Incidence,71.5594978371491,1.8,23734.0551143019,73.0,32.8,16.8,9.543792056922111e-06
Bahrain,2016,1095743,Head and neck,16,654220.0,0.2618074343,Incidence,64.2193035294402,1.6,23800.001440631,67.8,33.3,19.3,1.4601964146702285e-05
Bahrain,2017,1095743,Head and neck,17,666737.0,0.4460988772,Incidence,61.237494601176,1.5,24784.7693514607,74.0,33.7,19.3,1.5514586905871177e-05
Bahrain,2000,711442,Oesophagus,2,393594.0,0.203145751,Incidence,68.651142599615,2.5,14214.4836839343,60.0,23.6,22.0,2.8111919172609993e-06
Bahrain,2001,1095743,Oesophagus,6,403186.0,0.5248448462,Incidence,70.059687295923,2.5,13573.2339887597,67.8,24.5,19.3,5.4757365550133565e-06
Bahrain,2002,1095743,Oesophagus,12,413041.0,0.8909969866,Incidence,71.9559586005481,2.3,13501.4708801425,67.8,25.3,19.3,1.0951473110026711e-05
Bahrain,2003,1095743,Oesophagus,7,419342.0,0.4568788008,Incidence,73.8799083460396,2.2,14486.0269029822,67.8,26.0,19.3,6.3883593141822486e-06
Bahrain,2004,1095743,Oesophagus,6,433042.0,0.3382093427,Incidence,75.3714883649469,2.1,15963.9493171617,67.8,26.5,19.3,5.4757365550133565e-06
Bahrain,2005,1095743,Oesophagus,5,443173.0,0.3477849432,Incidence,75.9706504898194,2.1,17966.1657837625,64.0,27.0,20.0,4.563113795844464e-06
Bahrain,2006,1095743,Oesophagus,4,453569.0,0.264184125,Incidence,74.6528084567212,2.1,19267.282615072,67.8,27.4,19.3,3.6504910366755703e-06
Bahrain,2007,1095743,Oesophagus,2,517800.0,0.1120746713,Incidence,71.5108350525909,2.1,20908.4042548073,67.8,28.0,19.4,1.8252455183377856e-06
Bahrain,2008,1095743,Oesophagus,4,528386.0,0.1965279344,Incidence,67.7608706862893,2.2,23299.4992780392,67.8,28.6,19.3,3.6504910366755703e-06
Bahrain,2009,1095743,Oesophagus,3,550379.0,0.1852691218,Incidence,64.6190557666771,2.3,19465.3140745038,67.8,29.3,19.3,2.7378682775066783e-06
Bahrain,2010,1213645,Oesophagus,3,560165.0,0.07136856961,Incidence,63.301530702615,2.2,21819.3291098099,68.0,30.0,18.3,2.4718925221131384e-06
Bahrain,2011,1095743,Oesophagus,5,576166.0,0.2523815935,Incidence,66.7273263961034,2.1,25032.7867743333,67.8,30.6,19.3,4.563113795844464e-06
Bahrain,2012,1095743,Oesophagus,5,590891.0,0.1398861291,Incidence,70.0606736033788,2.0,26438.6733230428,67.8,31.1,19.3,4.563113795844464e-06
Bahrain,2013,1095743,Oesophagus,2,605827.0,0.05252207196,Incidence,68.1447019157403,2.0,26989.7601148469,67.8,31.7,19.3,1.8252455183377856e-06
Bahrain,2014,1095743,Oesophagus,7,621422.0,0.2820508395,Incidence,59.1499735070702,1.9,26451.7965647453,67.8,32.3,19.3,6.3883593141822486e-06
Bahrain,2015,1362142,Oesophagus,2,637907.0,0.08522412899,Incidence,71.5594978371491,1.8,23734.0551143019,73.0,32.8,16.8,1.4682757010649404e-06
Bahrain,2016,1095743,Oesophagus,3,654220.0,0.0773854499,Incidence,64.2193035294402,1.6,23800.001440631,67.8,33.3,19.3,2.7378682775066783e-06
Bahrain,2017,1095743,Oesophagus,3,666737.0,0.04255992028,Incidence,61.237494601176,1.5,24784.7693514607,74.0,33.7,19.3,2.7378682775066783e-06
Bahrain,2000,711442,Stomach,16,393594.0,1.17612256,Incidence,68.651142599615,2.5,14214.4836839343,60.0,23.6,22.0,2.2489535338087995e-05
Bahrain,2001,1095743,Stomach,13,403186.0,0.8558544064,Incidence,70.059687295923,2.5,13573.2339887597,67.8,24.5,19.3,1.1864095869195603e-05
Bahrain,2002,1095743,Stomach,10,413041.0,0.7059588764,Incidence,71.9559586005481,2.3,13501.4708801425,67.8,25.3,19.3,9.126227591688927e-06
Bahrain,2003,1095743,Stomach,14,419342.0,0.836445436,Incidence,73.8799083460396,2.2,14486.0269029822,67.8,26.0,19.3,1.2776718628364495e-05
Bahrain,2004,1095743,Stomach,11,433042.0,0.6786282659,Incidence,75.3714883649469,2.1,15963.9493171617,67.8,26.5,19.3,1.003885035085782e-05
Bahrain,2005,1095743,Stomach,6,443173.0,0.3594174919,Incidence,75.9706504898194,2.1,17966.1657837625,64.0,27.0,20.0,5.4757365550133565e-06
Bahrain,2006,1095743,Stomach,8,453569.0,0.3894266648,Incidence,74.6528084567212,2.1,19267.282615072,67.8,27.4,19.3,7.300982073351141e-06
Bahrain,2007,1095743,Stomach,9,517800.0,0.2252156748,Incidence,71.5108350525909,2.1,20908.4042548073,67.8,28.0,19.4,8.213604832520034e-06
Bahrain,2008,1095743,Stomach,13,528386.0,0.6108695987,Incidence,67.7608706862893,2.2,23299.4992780392,67.8,28.6,19.3,1.1864095869195603e-05
Bahrain,2009,1095743,Stomach,12,550379.0,0.5102153338,Incidence,64.6190557666771,2.3,19465.3140745038,67.8,29.3,19.3,1.0951473110026711e-05
Bahrain,2010,1213645,Stomach,11,560165.0,0.3018117716,Incidence,63.301530702615,2.2,21819.3291098099,68.0,30.0,18.3,9.06360591441484e-06
Bahrain,2011,1095743,Stomach,13,576166.0,0.4598175636,Incidence,66.7273263961034,2.1,25032.7867743333,67.8,30.6,19.3,1.1864095869195603e-05
Bahrain,2012,1095743,Stomach,12,590891.0,0.2625905837,Incidence,70.0606736033788,2.0,26438.6733230428,67.8,31.1,19.3,1.0951473110026711e-05
Bahrain,2013,1095743,Stomach,16,605827.0,0.4810255053,Incidence,68.1447019157403,2.0,26989.7601148469,67.8,31.7,19.3,1.4601964146702285e-05
