country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
Belarus,2000,10256483,Head and neck,1025,9587474.0,0.9737540322,Incidence,27.8003375928239,11.8,1276.28038121269,53.0,20.3,42.8,9.993679119830842e-05
Belarus,2001,9896173,Head and neck,1082,9538213.0,1.028797438,Incidence,26.825169286119,11.8,1244.37318523431,67.2,20.7,38.06,0.0001093351945241
Belarus,2002,9896173,Head and neck,1055,9477662.0,1.027015246,Incidence,25.3708864392258,11.2,1479.38066337175,67.2,21.0,38.06,0.0001066068671192
Belarus,2003,9896173,Head and neck,1038,9367274.0,1.005815039,Incidence,23.8005944482748,11.7,1819.52653114699,67.2,21.3,38.06,0.0001048890313457
Belarus,2004,9896173,Head and neck,1073,9294210.0,1.032292878,Incidence,22.4773987093966,11.5,2378.33700470129,67.2,21.7,38.06,0.0001084257520558
Belarus,2005,9896173,Head and neck,1048,9223265.0,1.01387304,Incidence,21.764404618722,12.0,3126.07176665248,59.0,22.0,39.5,0.0001058995229772
Belarus,2006,9896173,Head and neck,1080,9163587.0,1.036519295,Incidence,21.555661490259,12.6,3848.22350300163,67.2,22.3,38.06,0.0001091330961978
Belarus,2007,9896173,Head and neck,1108,9119999.0,1.046790442,Incidence,21.449293067481,13.8,4735.48107556066,67.2,22.6,38.2,0.0001119624727659
Belarus,2008,9896173,Head and neck,1114,8941022.0,1.06203345,Incidence,21.364516390716,14.2,6376.17569162063,67.2,23.0,38.06,0.0001125687677448
Belarus,2009,9896173,Head and neck,1144,8919090.0,1.062711709,Incidence,21.220548500292,14.4,5352.48809190697,67.2,23.3,38.06,0.0001156002426392
Belarus,2010,9731427,Head and neck,1197,8899180.0,1.115840819,Incidence,20.9366064365372,14.3,6034.67885177216,70.0,23.6,36.4,0.0001230035430569
Belarus,2011,9896173,Head and neck,1211,8870217.0,1.113127675,Incidence,18.6953550823705,14.2,6527.6593428786,67.2,23.8,38.06,0.00012237053657
Belarus,2012,9896173,Head and neck,1275,8845738.0,1.188950884,Incidence,18.0675396231787,13.5,6953.21591683101,67.2,24.1,38.06,0.0001288376830114
Belarus,2013,9896173,Head and neck,1342,8815809.0,1.214940033,Incidence,18.9735248940446,12.5,7998.0802045456,67.2,24.4,38.06,0.0001356079769421
Belarus,2014,9896173,Head and neck,1333,8809789.0,1.183405131,Incidence,19.3974713758219,11.2,8341.29014337961,67.2,24.7,38.06,0.0001346985344738
Belarus,2015,9700609,Head and neck,1496,8815970.0,1.31906903,Incidence,17.6059281150121,10.3,5967.06856034227,76.0,24.9,33.4,0.0001542171218322
Belarus,2016,9896173,Head and neck,1584,8823963.0,1.388554203,Incidence,15.8319434819688,9.8,5039.77560949445,67.2,25.2,38.06,0.0001600618744235
Belarus,2017,9896173,Head and neck,1571,8822074.0,1.33805366,Incidence,15.7775132293532,9.9,5785.53397723676,78.0,25.5,38.06,0.0001587482353026
Belarus,2000,10256483,Oesophagus,334,9587474.0,0.3322169077,Incidence,27.8003375928239,11.8,1276.28038121269,53.0,20.3,42.8,3.2564769034375625e-05
Belarus,2001,9896173,Oesophagus,364,9538213.0,0.3605355578,Incidence,26.825169286119,11.8,1244.37318523431,67.2,20.7,38.06,3.678189538521608e-05
Belarus,2002,9896173,Oesophagus,325,9477662.0,0.3238101341,Incidence,25.3708864392258,11.2,1479.38066337175,67.2,21.0,38.06,3.284097802251436e-05
Belarus,2003,9896173,Oesophagus,371,9367274.0,0.3781643596,Incidence,23.8005944482748,11.7,1819.52653114699,67.2,21.3,38.06,3.7489239527239466e-05
Belarus,2004,9896173,Oesophagus,356,9294210.0,0.3613490682,Incidence,22.4773987093966,11.5,2378.33700470129,67.2,21.7,38.06,3.59735020800465e-05
Belarus,2005,9896173,Oesophagus,353,9223265.0,0.3502835364,Incidence,21.764404618722,12.0,3126.07176665248,59.0,22.0,39.5,3.56703545906079e-05
Belarus,2006,9896173,Oesophagus,404,9163587.0,0.4151306312,Incidence,21.555661490259,12.6,3848.22350300163,67.2,22.3,38.06,4.0823861911064e-05
Belarus,2007,9896173,Oesophagus,378,9119999.0,0.3892337944,Incidence,21.449293067481,13.8,4735.48107556066,67.2,22.6,38.2,3.8196583669262856e-05
Belarus,2008,9896173,Oesophagus,348,8941022.0,0.3515712927,Incidence,21.364516390716,14.2,6376.17569162063,67.2,23.0,38.06,3.5165108774876916e-05
Belarus,2009,9896173,Oesophagus,397,8919090.0,0.3910065025,Incidence,21.220548500292,14.4,5352.48809190697,67.2,23.3,38.06,4.011651776904062e-05
Belarus,2010,9731427,Oesophagus,412,8899180.0,0.4006668287,Incidence,20.9366064365372,14.3,6034.67885177216,70.0,23.6,36.4,4.233705909729375e-05
Belarus,2011,9896173,Oesophagus,397,8870217.0,0.3873628988,Incidence,18.6953550823705,14.2,6527.6593428786,67.2,23.8,38.06,4.011651776904062e-05
Belarus,2012,9896173,Oesophagus,413,8845738.0,0.3959994726,Incidence,18.0675396231787,13.5,6953.21591683101,67.2,24.1,38.06,4.173330437937979e-05
Belarus,2013,9896173,Oesophagus,487,8815809.0,0.4702478672,Incidence,18.9735248940446,12.5,7998.0802045456,67.2,24.4,38.06,4.921094245219844e-05
Belarus,2014,9896173,Oesophagus,429,8809789.0,0.4126472028,Incidence,19.3974713758219,11.2,8341.29014337961,67.2,24.7,38.06,4.335009098971896e-05
Belarus,2015,9700609,Oesophagus,525,8815970.0,0.5011430565,Incidence,17.6059281150121,10.3,5967.06856034227,76.0,24.9,33.4,5.412031347722602e-05
Belarus,2016,9896173,Oesophagus,510,8823963.0,0.4638849153,Incidence,15.8319434819688,9.8,5039.77560949445,67.2,25.2,38.06,5.1535073204561e-05
Belarus,2017,9896173,Oesophagus,491,8822074.0,0.4533977129,Incidence,15.7775132293532,9.9,5785.53397723676,78.0,25.5,38.06,4.961513910478323e-05
Belarus,2000,10256483,Stomach,2999,9587474.0,2.935829684,Incidence,27.8003375928239,11.8,1276.28038121269,53.0,20.3,42.8,0.0002924004261499
Belarus,2001,9896173,Stomach,2862,9538213.0,2.815197456,Incidence,26.825169286119,11.8,1244.37318523431,67.2,20.7,38.06,0.0002892027049244
Belarus,2002,9896173,Stomach,2747,9477662.0,2.711957457,Incidence,25.3708864392258,11.2,1479.38066337175,67.2,21.0,38.06,0.0002775820511626
Belarus,2003,9896173,Stomach,2627,9367274.0,2.62589707,Incidence,23.8005944482748,11.7,1819.52653114699,67.2,21.3,38.06,0.000265456151585
Belarus,2004,9896173,Stomach,2705,9294210.0,2.768498872,Incidence,22.4773987093966,11.5,2378.33700470129,67.2,21.7,38.06,0.0002733379863104
Belarus,2005,9896173,Stomach,2542,9223265.0,2.635422133,Incidence,21.764404618722,12.0,3126.07176665248,59.0,22.0,39.5,0.0002568669727176
Belarus,2006,9896173,Stomach,2459,9163587.0,2.546455099,Incidence,21.555661490259,12.6,3848.22350300163,67.2,22.3,38.06,0.0002484798921765
Belarus,2007,9896173,Stomach,2429,9119999.0,2.511553607,Incidence,21.449293067481,13.8,4735.48107556066,67.2,22.6,38.2,0.0002454484172821
Belarus,2008,9896173,Stomach,2413,8941022.0,2.507582976,Incidence,21.364516390716,14.2,6376.17569162063,67.2,23.0,38.06,0.0002438316306717
Belarus,2009,9896173,Stomach,2358,8919090.0,2.458371238,Incidence,21.220548500292,14.4,5352.48809190697,67.2,23.3,38.06,0.0002382739266987
Belarus,2010,9731427,Stomach,2253,8899180.0,2.313392973,Incidence,20.9366064365372,14.3,6034.67885177216,70.0,23.6,36.4,0.0002315179469568
Belarus,2011,9896173,Stomach,2269,8870217.0,2.334037892,Incidence,18.6953550823705,14.2,6527.6593428786,67.2,23.8,38.06,0.0002292805511787
Belarus,2012,9896173,Stomach,2193,8845738.0,2.253350632,Incidence,18.0675396231787,13.5,6953.21591683101,67.2,24.1,38.06,0.0002216008147796
Belarus,2013,9896173,Stomach,2040,8815809.0,2.137169031,Incidence,18.9735248940446,12.5,7998.0802045456,67.2,24.4,38.06,0.0002061402928182
Belarus,2014,9896173,Stomach,1968,8809789.0,2.033953242,Incidence,19.3974713758219,11.2,8341.29014337961,67.2,24.7,38.06,0.0001988647530717
Belarus,2015,9700609,Stomach,1974,8815970.0,2.050059829,Incidence,17.6059281150121,10.3,5967.06856034227,76.0,24.9,33.4,0.0002034923786743
Belarus,2016,9896173,Stomach,2001,8823963.0,1.994803182,Incidence,15.8319434819688,9.8,5039.77560949445,67.2,25.2,38.06,0.0002021993754555
Belarus,2017,9896173,Stomach,1978,8822074.0,1.973015487,Incidence,15.7775132293532,9.9,5785.53397723676,78.0,25.5,38.06,0.0001998752447031
Belarus,2000,10256483,Colon,1266,9587474.0,1.254632398,Incidence,27.8003375928239,11.8,1276.28038121269,53.0,20.3,42.8,0.0001234341245434
Belarus,2001,9896173,Colon,1327,9538213.0,1.308973333,Incidence,26.825169286119,11.8,1244.37318523431,67.2,20.7,38.06,0.000134092239495
Belarus,2002,9896173,Colon,1361,9477662.0,1.370795422,Incidence,25.3708864392258,11.2,1479.38066337175,67.2,21.0,38.06,0.0001375279110419
Belarus,2003,9896173,Colon,1374,9367274.0,1.408791674,Incidence,23.8005944482748,11.7,1819.52653114699,67.2,21.3,38.06,0.0001388415501628
Belarus,2004,9896173,Colon,1448,9294210.0,1.502157899,Incidence,22.4773987093966,11.5,2378.33700470129,67.2,21.7,38.06,0.0001463191882356
Belarus,2005,9896173,Colon,1441,9223265.0,1.495083891,Incidence,21.764404618722,12.0,3126.07176665248,59.0,22.0,39.5,0.0001456118440936
Belarus,2006,9896173,Colon,1454,9163587.0,1.560538655,Incidence,21.555661490259,12.6,3848.22350300163,67.2,22.3,38.06,0.0001469254832145
Belarus,2007,9896173,Colon,1477,9119999.0,1.573007489,Incidence,21.449293067481,13.8,4735.48107556066,67.2,22.6,38.2,0.0001492496139669
Belarus,2008,9896173,Colon,1548,8941022.0,1.665997063,Incidence,21.364516390716,14.2,6376.17569162063,67.2,23.0,38.06,0.0001564241045503
Belarus,2009,9896173,Colon,1651,8919090.0,1.753634669,Incidence,21.220548500292,14.4,5352.48809190697,67.2,23.3,38.06,0.0001668321683543
Belarus,2010,9731427,Colon,1760,8899180.0,1.861434107,Incidence,20.9366064365372,14.3,6034.67885177216,70.0,23.6,36.4,0.000180857339833
Belarus,2011,9896173,Colon,1736,8870217.0,1.859161731,Incidence,18.6953550823705,14.2,6527.6593428786,67.2,23.8,38.06,0.0001754213472217
