country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
Belgium,2000,10264343,Head and neck,387,9504669.0,0.3426110715,Mortality,19.4896989178456,10.2,23098.8865077401,77.0,16.3,30.9,3.7703338635507407e-05
Belgium,2001,10988078,Head and neck,412,9518689.0,0.3614816789,Mortality,19.0777373545756,10.2,23015.0712632462,83.85714285714286,16.7,28.77142857142857,3.749518512223817e-05
Belgium,2002,10988078,Head and neck,379,9545522.0,0.3289379983,Mortality,18.5922693848995,10.2,25006.191397109,83.85714285714286,17.0,28.77142857142857,3.4491930003223946e-05
Belgium,2003,10988078,Head and neck,408,9571591.5,0.3533453607,Mortality,18.1085002652024,10.2,30655.2092679024,83.85714285714286,17.4,28.77142857142857,3.71311541987213e-05
Belgium,2004,10988078,Head and neck,399,9597762.0,0.3442846869,Mortality,17.70163525187,10.1,35429.4077933344,83.85714285714286,17.7,28.77142857142857,3.631208462080833e-05
Belgium,2005,10988078,Head and neck,402,9632475.0,0.3420717209,Mortality,17.4468796012875,10.1,36809.7013403619,81.0,18.0,29.9,3.6585107813445986e-05
Belgium,2006,10988078,Head and neck,414,9677112.0,0.3525430111,Mortality,17.3306080027794,10.0,38705.1067959147,83.85714285714286,18.3,28.77142857142857,3.767720058399661e-05
Belgium,2007,10988078,Head and neck,377,9730344.0,0.3200412098,Mortality,17.2634972753458,10.1,44319.165448813,83.85714285714286,18.6,29.4,3.430991454146551e-05
Belgium,2008,10988078,Head and neck,422,9794245.0,0.3461102605,Mortality,17.2072058698858,10.1,48303.397956286,83.85714285714286,18.9,28.77142857142857,3.840526243103036e-05
Belgium,2009,10988078,Head and neck,384,9864186.0,0.3204501073,Mortality,17.1233922372982,10.3,44923.3400135081,83.85714285714286,19.1,28.77142857142857,3.4946968657620044e-05
Belgium,2010,10877947,Head and neck,399,9899178.0,0.3335899275,Mortality,16.9737148284819,10.2,44197.393671162,83.0,19.3,29.0,3.667971539114872e-05
