country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
Brazil,2000,175873720,Head and neck,3891,171254777.0,0.3837689007,Mortality,15.5723815602196,7.1,3766.54811466032,68.0,11.6,23.8,2.212382839232604e-05
Brazil,2001,197652930,Head and neck,3964,173394547.0,0.3760748735,Mortality,15.5528127146329,7.1,3176.28935747524,77.42857142857143,12.1,17.257142857142856,2.005535660405419e-05
Brazil,2002,197652930,Head and neck,4237,175444132.5,0.3945777536,Mortality,15.5176007943732,7.0,2855.94018885769,77.42857142857143,12.5,17.257142857142856,2.1436565573001416e-05
Brazil,2003,197652930,Head and neck,4431,177399615.0,0.3898639178,Mortality,15.4707715670693,6.8,3090.6070097455,77.42857142857143,13.0,17.257142857142856,2.241808403445109e-05
Brazil,2004,197652930,Head and neck,4494,179277988.0,0.3937216782,Mortality,15.4163508003501,6.8,3663.823188064,77.42857142857143,13.5,17.257142857142856,2.2736824565746605e-05
Brazil,2005,197652930,Head and neck,4781,181108955.0,0.4048377913,Mortality,15.3583642618445,6.8,4827.78173052472,73.0,14.1,20.3,2.418886476387061e-05
Brazil,2006,197652930,Head and neck,4756,182884001.0,0.3865242119,Mortality,15.2503863469125,6.9,5934.1447107274,77.42857142857143,14.7,17.257142857142856,2.4062380426054927e-05
Brazil,2007,197652930,Head and neck,4892,184584635.0,0.3855586391,Mortality,15.0873086360928,7.0,7409.69130727951,77.42857142857143,15.3,19.0,2.4750455223772227e-05
Brazil,2008,197652930,Head and neck,5034,186194503.0,0.3902983069,Mortality,14.9351326747822,7.0,8908.33176567294,77.42857142857143,15.9,17.257142857142856,2.5468886262565287e-05
Brazil,2009,197652930,Head and neck,5278,187697862.5,0.3946508062,Mortality,14.8598600083774,7.2,8678.65922498836,77.42857142857143,16.6,17.257142857142856,2.670337339964632e-05
Brazil,2010,196353492,Head and neck,5455,189105730.0,0.3957102723,Mortality,14.9274921822751,7.3,11403.2821284616,76.0,17.4,17.4,2.778152781718799e-05
Brazil,2011,197652930,Head and neck,5595,190463934.0,0.3891294794,Mortality,15.539471795948,7.3,13396.6243566047,77.42857142857143,18.2,17.257142857142856,2.8307194803149145e-05
Brazil,2012,197652930,Head and neck,5599,191817909.5,0.377300504,Mortality,14.6007414104339,7.2,12521.7213530369,77.42857142857143,19.0,17.257142857142856,2.8327432297199653e-05
Brazil,2013,197652930,Head and neck,5715,193170683.0,0.3726757304,Mortality,13.8897320409453,7.1,12458.891214816,77.42857142857143,19.9,17.257142857142856,2.8914319624664407e-05
Brazil,2014,197652930,Head and neck,5912,194516466.5,0.3783602041,Mortality,13.7916487838641,6.9,12274.9939689363,77.42857142857143,20.8,17.257142857142856,2.991101620665196e-05
Brazil,2015,205188205,Head and neck,6100,195839241.5,0.3774031081,Mortality,12.4042007642389,6.8,8936.19661756825,82.0,21.7,14.9,2.9728804343310084e-05
Brazil,2016,197652930,Head and neck,6333,197110640.0,0.3811199885,Mortality,12.1085038135727,6.6,8836.28652636996,77.42857142857143,22.7,17.257142857142856,3.204101245546801e-05
Brazil,2017,197652930,Head and neck,6487,198321487.5,0.3823477086,Mortality,12.2193388464901,6.4,10080.5092817775,82.0,23.7,17.257142857142856,3.28201559764126e-05
Brazil,2018,197652930,Head and neck,6513,199448615.5,0.3716992694,Mortality,12.2516401526844,6.3,9300.66164936497,77.42857142857143,24.6,17.257142857142856,3.29516996877409e-05
Brazil,2019,197652930,Head and neck,6629,200518424.0,0.3712270778,Mortality,12.3488400923542,6.3,9029.83326742175,81.0,25.6,17.257142857142856,3.353858701520566e-05
Brazil,2020,213196304,Head and neck,6236,201489494.0,0.3382228741,Mortality,12.1793252040724,6.4,7074.19378281866,77.42857142857143,26.7,12.9,2.9250038030678056e-05
Brazil,2021,197652930,Head and neck,6392,202163765.5,0.3395835169,Mortality,14.251519259596838,6.871428571428571,7972.53665048385,80.0,27.7,12.5,3.233951549271301e-05
Brazil,2000,175873720,Oesophagus,4302,171254777.0,0.4641875556,Mortality,15.5723815602196,7.1,3766.54811466032,68.0,11.6,23.8,2.446073239367428e-05
Brazil,2001,197652930,Oesophagus,4375,173394547.0,0.4598487998,Mortality,15.5528127146329,7.1,3176.28935747524,77.42857142857143,12.1,17.257142857142856,2.2134759117743968e-05
Brazil,2002,197652930,Oesophagus,4641,175444132.5,0.468084866,Mortality,15.5176007943732,7.0,2855.94018885769,77.42857142857143,12.5,17.257142857142856,2.34805524721028e-05
Brazil,2003,197652930,Oesophagus,4697,177399615.0,0.4639956448,Mortality,15.4707715670693,6.8,3090.6070097455,77.42857142857143,13.0,17.257142857142856,2.3763877388809924e-05
Brazil,2004,197652930,Oesophagus,5025,179277988.0,0.4775532337,Mortality,15.4163508003501,6.8,3663.823188064,77.42857142857143,13.5,17.257142857142856,2.5423351900951643e-05
Brazil,2005,197652930,Oesophagus,5038,181108955.0,0.4664460164,Mortality,15.3583642618445,6.8,4827.78173052472,73.0,14.1,20.3,2.54891237566158e-05
Brazil,2006,197652930,Oesophagus,5319,182884001.0,0.4811303641,Mortality,15.2503863469125,6.9,5934.1447107274,77.42857142857143,14.7,17.257142857142856,2.691080771366404e-05
Brazil,2007,197652930,Oesophagus,5440,184584635.0,0.4696220174,Mortality,15.0873086360928,7.0,7409.69130727951,77.42857142857143,15.3,19.0,2.7522991908691927e-05
Brazil,2008,197652930,Oesophagus,5572,186194503.0,0.4633120105,Mortality,14.9351326747822,7.0,8908.33176567294,77.42857142857143,15.9,17.257142857142856,2.8190829212358716e-05
Brazil,2009,197652930,Oesophagus,5773,187697862.5,0.4637990472,Mortality,14.8598600083774,7.2,8678.65922498836,77.42857142857143,16.6,17.257142857142856,2.9207763288396782e-05
Brazil,2010,196353492,Oesophagus,5913,189105730.0,0.4585424685,Mortality,14.9274921822751,7.3,11403.2821284616,76.0,17.4,17.4,3.0114055725578845e-05
Brazil,2011,197652930,Oesophagus,5929,190463934.0,0.4452930039,Mortality,15.539471795948,7.3,13396.6243566047,77.42857142857143,18.2,17.257142857142856,2.9997025556366625e-05
Brazil,2012,197652930,Oesophagus,5972,191817909.5,0.4372507045,Mortality,14.6007414104339,7.2,12521.7213530369,77.42857142857143,19.0,17.257142857142856,3.0214578617409593e-05
Brazil,2013,197652930,Oesophagus,6110,193170683.0,0.4296664579,Mortality,13.8897320409453,7.1,12458.891214816,77.42857142857143,19.9,17.257142857142856,3.091277216215215e-05
Brazil,2014,197652930,Oesophagus,6226,194516466.5,0.4266675441,Mortality,13.7916487838641,6.9,12274.9939689363,77.42857142857143,20.8,17.257142857142856,3.14996594896169e-05
Brazil,2015,205188205,Oesophagus,6379,195839241.5,0.4169543745,Mortality,12.4042007642389,6.8,8936.19661756825,82.0,21.7,14.9,3.1088531623930334e-05
