country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
Canada,2000,30683313,Head and neck,1744,21102958.0,0.8409067065,Incidence,9.79565640755295,7.7,24271.0020563821,74.0,20.9,28.7,5.6838712299418254e-05
Canada,2001,34637592,Head and neck,1786,21360919.0,0.8365966988,Incidence,9.76086476457905,7.7,23822.096210932,84.5,21.5,19.638461538461534,5.156247619322438e-05
Canada,2002,34637592,Head and neck,1730,21561943.0,0.7923422315,Incidence,9.72810868247048,7.7,24256.0192337185,84.5,22.0,19.638461538461534,4.994573561829685e-05
Canada,2003,34637592,Head and neck,1718,21751801.0,0.7602677042,Incidence,9.69060887185911,7.8,28301.8645937428,84.5,22.6,19.638461538461534,4.959929120938381e-05
Canada,2004,34637592,Head and neck,1758,21958981.0,0.7503746068,Incidence,9.64158604337681,7.8,32145.5412620217,84.5,23.1,19.638461538461534,5.075410590576061e-05
Canada,2005,34637592,Head and neck,1905,22177842.0,0.8116015575,Incidence,9.57426090765544,8.0,36383.6600068095,79.0,23.5,23.5,5.499804991494537e-05
Canada,2006,34637592,Head and neck,1852,22412562.0,0.7693961724,Incidence,9.40182085213359,8.1,40504.0370977806,84.5,24.0,19.638461538461534,5.3467920442246105e-05
Canada,2007,34637592,Head and neck,2026,22670675.0,0.8061601305,Incidence,9.08026235211045,8.2,44660.0838892281,84.5,24.4,21.6,5.849136437148521e-05
Canada,2008,34637592,Head and neck,2038,22924079.0,0.7802801078,Incidence,8.66701975000882,8.3,46710.2526864484,84.5,24.7,19.638461538461534,5.883780878039825e-05
Canada,2009,34637592,Head and neck,2194,23181219.0,0.8265704256,Incidence,8.21952738825148,8.4,40874.8831932903,84.5,25.0,19.638461538461534,6.33415860962678e-05
Canada,2010,33963412,Head and neck,2193,23455209.0,0.7950149764,Incidence,7.79521960926122,8.3,47560.6666009406,83.0,25.3,19.3,6.456948436158299e-05
Canada,2011,34637592,Head and neck,2395,23680955.0,0.857029078,Incidence,7.37287638245787,8.3,52223.8588398531,84.5,25.5,19.638461538461534,6.914452994556124e-05
Canada,2012,34637592,Head and neck,2318,23953543.0,0.8150205457,Incidence,7.58558915249491,8.3,52670.3447335415,84.5,25.7,19.638461538461534,6.692151165503589e-05
Canada,2013,34637592,Head and neck,2704,24249883.0,0.923305699,Incidence,7.26096632331949,8.2,52638.1187235237,84.5,25.9,19.638461538461534,7.806547347507206e-05
Canada,2014,34637592,Head and neck,2748,24542445.0,0.9135112541,Incidence,7.38092988336422,8.1,50960.8431174661,84.5,26.0,19.638461538461534,7.933576964108655e-05
Canada,2015,35732126,Head and neck,2727,24744650.0,0.8905223737,Incidence,7.11576183142395,8.1,43594.1941045394,90.0,26.2,15.8,7.631787708349624e-05
Canada,2016,34637592,Head and neck,2810,25052371.0,0.894386672,Incidence,6.40675155079521,8.1,42314.0615817218,84.5,26.4,19.638461538461534,8.11257324204706e-05
Canada,2017,34637592,Head and neck,3106,25354939.0,0.9668370419,Incidence,7.04492025305158,8.1,45129.628116623,90.0,26.5,19.638461538461534,8.967136117365896e-05
Canada,2000,30683313,Oesophagus,636,21102958.0,0.3512002797,Incidence,9.79565640755295,7.7,24271.0020563821,74.0,20.9,28.7,2.072787902662271e-05
Canada,2001,34637592,Oesophagus,580,21360919.0,0.3111113533,Incidence,9.76086476457905,7.7,23822.096210932,84.5,21.5,19.638461538461534,1.674481309746368e-05
Canada,2002,34637592,Oesophagus,651,21561943.0,0.3346438716,Incidence,9.72810868247048,7.7,24256.0192337185,84.5,22.0,19.638461538461534,1.8794609183532513e-05
Canada,2003,34637592,Oesophagus,688,21751801.0,0.3453408729,Incidence,9.69060887185911,7.8,28301.8645937428,84.5,22.6,19.638461538461534,1.986281277768106e-05
Canada,2004,34637592,Oesophagus,666,21958981.0,0.3307495879,Incidence,9.64158604337681,7.8,32145.5412620217,84.5,23.1,19.638461538461534,1.9227664694673814e-05
Canada,2005,34637592,Oesophagus,659,22177842.0,0.3155100043,Incidence,9.57426090765544,8.0,36383.6600068095,79.0,23.5,23.5,1.9025572122807875e-05
Canada,2006,34637592,Oesophagus,706,22412562.0,0.3244089131,Incidence,9.40182085213359,8.1,40504.0370977806,84.5,24.0,19.638461538461534,2.038247939105062e-05
Canada,2007,34637592,Oesophagus,750,22670675.0,0.3393709063,Incidence,9.08026235211045,8.2,44660.0838892281,84.5,24.4,21.6,2.1652775557065108e-05
Canada,2008,34637592,Oesophagus,785,22924079.0,0.3407767047,Incidence,8.66701975000882,8.3,46710.2526864484,84.5,24.7,19.638461538461534,2.266323841639481e-05
Canada,2009,34637592,Oesophagus,905,23181219.0,0.3831607158,Incidence,8.21952738825148,8.4,40874.8831932903,84.5,25.0,19.638461538461534,2.612768250552523e-05
Canada,2010,33963412,Oesophagus,886,23455209.0,0.3613913463,Incidence,7.79521960926122,8.3,47560.6666009406,83.0,25.3,19.3,2.608689609866052e-05
Canada,2011,34637592,Oesophagus,875,23680955.0,0.3474014901,Incidence,7.37287638245787,8.3,52223.8588398531,84.5,25.5,19.638461538461534,2.5261571483242623e-05
Canada,2012,34637592,Oesophagus,983,23953543.0,0.3708199031,Incidence,7.58558915249491,8.3,52670.3447335415,84.5,25.7,19.638461538461534,2.837957116346e-05
Canada,2013,34637592,Oesophagus,1025,24249883.0,0.382332853,Incidence,7.26096632331949,8.2,52638.1187235237,84.5,25.9,19.638461538461534,2.9592126594655647e-05
Canada,2014,34637592,Oesophagus,975,24542445.0,0.3515621058,Incidence,7.38092988336422,8.1,50960.8431174661,84.5,26.0,19.638461538461534,2.814860822418464e-05
Canada,2015,35732126,Oesophagus,966,24744650.0,0.3401086581,Incidence,7.11576183142395,8.1,43594.1941045394,90.0,26.2,15.8,2.703449551252562e-05
Canada,2016,34637592,Oesophagus,1033,25052371.0,0.3540721458,Incidence,6.40675155079521,8.1,42314.0615817218,84.5,26.4,19.638461538461534,2.982308953393101e-05
Canada,2017,34637592,Oesophagus,1089,25354939.0,0.3651500771,Incidence,7.04492025305158,8.1,45129.628116623,90.0,26.5,19.638461538461534,3.143983010885853e-05
Canada,2000,30683313,Stomach,1233,21102958.0,0.6521146695,Incidence,9.79565640755295,7.7,24271.0020563821,74.0,20.9,28.7,4.0184708867650634e-05
Canada,2001,34637592,Stomach,1189,21360919.0,0.6194271848,Incidence,9.76086476457905,7.7,23822.096210932,84.5,21.5,19.638461538461534,3.432686684980055e-05
Canada,2002,34637592,Stomach,1145,21561943.0,0.5859590726,Incidence,9.72810868247048,7.7,24256.0192337185,84.5,22.0,19.638461538461534,3.3056570683786065e-05
Canada,2003,34637592,Stomach,1242,21751801.0,0.6073586351,Incidence,9.69060887185911,7.8,28301.8645937428,84.5,22.6,19.638461538461534,3.5856996322499814e-05
Canada,2004,34637592,Stomach,1268,21958981.0,0.6193043518,Incidence,9.64158604337681,7.8,32145.5412620217,84.5,23.1,19.638461538461534,3.660762587514474e-05
Canada,2005,34637592,Stomach,1239,22177842.0,0.5918170988,Incidence,9.57426090765544,8.0,36383.6600068095,79.0,23.5,23.5,3.577038522027156e-05
Canada,2006,34637592,Stomach,1229,22412562.0,0.5727538524,Incidence,9.40182085213359,8.1,40504.0370977806,84.5,24.0,19.638461538461534,3.548168154617735e-05
Canada,2007,34637592,Stomach,1319,22670675.0,0.5817409706,Incidence,9.08026235211045,8.2,44660.0838892281,84.5,24.4,21.6,3.808001461302517e-05
Canada,2008,34637592,Stomach,1295,22924079.0,0.5591375265,Incidence,8.66701975000882,8.3,46710.2526864484,84.5,24.7,19.638461538461534,3.7387125795199086e-05
Canada,2009,34637592,Stomach,1281,23181219.0,0.5371241169,Incidence,8.21952738825148,8.4,40874.8831932903,84.5,25.0,19.638461538461534,3.69829406514672e-05
Canada,2010,33963412,Stomach,1257,23455209.0,0.507316954,Incidence,7.79521960926122,8.3,47560.6666009406,83.0,25.3,19.3,3.70104157968581e-05
Canada,2011,34637592,Stomach,1387,23680955.0,0.5458130932,Incidence,7.37287638245787,8.3,52223.8588398531,84.5,25.5,19.638461538461534,4.004319959686574e-05
Canada,2012,34637592,Stomach,1370,23953543.0,0.531148379,Incidence,7.58558915249491,8.3,52670.3447335415,84.5,25.7,19.638461538461534,3.95524033509056e-05
Canada,2013,34637592,Stomach,1463,24249883.0,0.5451721682,Incidence,7.26096632331949,8.2,52638.1187235237,84.5,25.9,19.638461538461534,4.2237347519981666e-05
Canada,2014,34637592,Stomach,1527,24542445.0,0.5548094541,Incidence,7.38092988336422,8.1,50960.8431174661,84.5,26.0,19.638461538461534,4.408505103418456e-05
Canada,2015,35732126,Stomach,1606,24744650.0,0.5511407787,Incidence,7.11576183142395,8.1,43594.1941045394,90.0,26.2,15.8,4.4945548440078824e-05
Canada,2016,34637592,Stomach,1659,25052371.0,0.5659868517,Incidence,6.40675155079521,8.1,42314.0615817218,84.5,26.4,19.638461538461534,4.789593953222802e-05
Canada,2017,34637592,Stomach,1583,25354939.0,0.5189118962,Incidence,7.04492025305158,8.1,45129.628116623,90.0,26.5,19.638461538461534,4.570179160911208e-05
Canada,2000,30683313,Colon,4957,21102958.0,2.674763829,Incidence,9.79565640755295,7.7,24271.0020563821,74.0,20.9,28.7,0.0001615536105895
Canada,2001,34637592,Colon,4974,21360919.0,2.627931614,Incidence,9.76086476457905,7.7,23822.096210932,84.5,21.5,19.638461538461534,0.0001436012074944
Canada,2002,34637592,Colon,5021,21561943.0,2.609633365,Incidence,9.72810868247048,7.7,24256.0192337185,84.5,22.0,19.638461538461534,0.0001449581147626
Canada,2003,34637592,Colon,4968,21751801.0,2.526738093,Incidence,9.69060887185911,7.8,28301.8645937428,84.5,22.6,19.638461538461534,0.0001434279852899
Canada,2004,34637592,Colon,5366,21958981.0,2.660975621,Incidence,9.64158604337681,7.8,32145.5412620217,84.5,23.1,19.638461538461534,0.0001549183915189
Canada,2005,34637592,Colon,5469,22177842.0,2.645654737,Incidence,9.57426090765544,8.0,36383.6600068095,79.0,23.5,23.5,0.0001578920393621
Canada,2006,34637592,Colon,5357,22412562.0,2.527840576,Incidence,9.40182085213359,8.1,40504.0370977806,84.5,24.0,19.638461538461534,0.0001546585582122
Canada,2007,34637592,Colon,5640,22670675.0,2.598794454,Incidence,9.08026235211045,8.2,44660.0838892281,84.5,24.4,21.6,0.0001628288721891
Canada,2008,34637592,Colon,5820,22924079.0,2.607669136,Incidence,8.66701975000882,8.3,46710.2526864484,84.5,24.7,19.638461538461534,0.0001680255383228
Canada,2009,34637592,Colon,5692,23181219.0,2.446660057,Incidence,8.21952738825148,8.4,40874.8831932903,84.5,25.0,19.638461538461534,0.0001643301312944
Canada,2010,33963412,Colon,5656,23455209.0,2.357537496,Incidence,7.79521960926122,8.3,47560.6666009406,83.0,25.3,19.3,0.0001665321493612
