country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
Chile,2000,15351799,Head and neck,4,351885.0,0.1551972673,Incidence,28.0634138695562,6.1,5052.99245768719,65.0,20.3,46.9,2.605557824200278e-07
Chile,2001,17107498,Head and neck,1,353457.0,0.0417101141,Incidence,27.8750247662775,6.1,4563.5952986689,76.5,21.2,38.3,5.845390181255947e-08
Chile,2002,17107498,Head and neck,7,355024.0,0.2218567274,Incidence,27.5666336657884,6.2,4430.84741157069,76.5,22.0,38.3,4.091773126879162e-07
Chile,2003,17107498,Head and neck,5,356627.0,0.2095274873,Incidence,27.1654672454526,6.2,4773.40177520754,76.5,22.7,38.3,2.922695090627973e-07
Chile,2004,17107498,Head and neck,8,358193.0,0.2683688008,Incidence,26.6987521826339,6.8,6120.59152052304,76.5,23.5,38.3,4.676312145004757e-07
Chile,2005,17107498,Head and neck,4,359783.0,0.1644651252,Incidence,26.193715154696,7.1,7480.3233099645,74.0,24.3,41.9,2.3381560725023787e-07
Chile,2006,17107498,Head and neck,6,360884.0,0.1504331174,Incidence,25.4313218784945,7.4,9318.65655299547,76.5,25.1,38.3,3.5072341087535676e-07
Chile,2007,17107498,Head and neck,8,361942.0,0.247565815,Incidence,24.358253457235,7.3,10346.4138184533,76.5,25.8,40.1,4.676312145004757e-07
Chile,2008,17107498,Head and neck,5,362495.0,0.1116976664,Incidence,23.2503096478062,7.5,10683.2188772853,76.5,26.6,38.3,2.922695090627973e-07
Chile,2009,17107498,Head and neck,4,363476.0,0.1437110033,Incidence,22.3832902070972,7.5,10098.8017166866,76.5,27.4,38.3,2.3381560725023787e-07
Chile,2010,17004162,Head and neck,5,364487.0,0.1366890538,Incidence,22.0329948919966,7.4,12632.8704725219,77.0,28.2,37.5,2.940456577630818e-07
Chile,2011,17107498,Head and neck,4,365002.0,0.1196392717,Incidence,22.8717891996678,7.6,14487.3927827263,76.5,29.1,38.3,2.3381560725023787e-07
Chile,2012,17107498,Head and neck,4,365532.0,0.09814488876,Incidence,21.9147180810935,7.5,15241.9069977366,76.5,30.0,38.3,2.3381560725023787e-07
Chile,2013,17107498,Head and neck,4,370601.0,0.1387554559,Incidence,23.7625028118101,7.8,15683.54863663,76.5,30.9,38.3,2.3381560725023787e-07
Chile,2014,17107498,Head and neck,4,372255.0,0.1168244917,Incidence,23.0317537681692,7.7,14529.6767210362,76.5,31.8,38.3,2.3381560725023787e-07
Chile,2015,17870124,Head and neck,5,373826.0,0.1011891971,Incidence,24.2782298076617,7.4,13433.9202985339,79.0,32.7,33.6,2.797966035378378e-07
Chile,2016,17107498,Head and neck,9,375537.0,0.2108939002,Incidence,24.2218424802596,6.7,13649.8520455553,76.5,33.7,38.3,5.260851163130351e-07
Chile,2017,17107498,Head and neck,9,377209.0,0.2441219833,Incidence,23.4116041349236,6.1,14879.9086230423,82.0,34.6,38.3,5.260851163130351e-07
Chile,2000,15351799,Oesophagus,16,351885.0,0.688546821,Incidence,28.0634138695562,6.1,5052.99245768719,65.0,20.3,46.9,1.042223129680111e-06
Chile,2001,17107498,Oesophagus,15,353457.0,0.651280048,Incidence,27.8750247662775,6.1,4563.5952986689,76.5,21.2,38.3,8.768085271883919e-07
Chile,2002,17107498,Oesophagus,16,355024.0,0.748456837,Incidence,27.5666336657884,6.2,4430.84741157069,76.5,22.0,38.3,9.352624290009514e-07
Chile,2003,17107498,Oesophagus,13,356627.0,0.6167988112,Incidence,27.1654672454526,6.2,4773.40177520754,76.5,22.7,38.3,7.59900723563273e-07
