country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
Costa Rica,2000,3979193,Head and neck,87,3844981.0,0.377124423,Incidence,21.3843731146703,4.2,3812.75388284924,66.0,16.7,17.3,2.1863729655736727e-05
Costa Rica,2001,4662164,Head and neck,84,3924472.0,0.3728821902,Incidence,21.2503622180599,4.2,3985.12984506207,74.54545454545455,17.3,12.846153846153848,1.8017386134141372e-05
Costa Rica,2002,4662164,Head and neck,83,4001801.0,0.3190845935,Incidence,21.0286242452936,4.2,4067.71851429092,74.54545454545455,18.0,12.846153846153848,1.780289344206826e-05
Costa Rica,2003,4662164,Head and neck,95,4043854.0,0.3288959235,Incidence,20.7436900349618,4.1,4173.14856415514,74.54545454545455,18.6,12.846153846153848,2.03768057469456e-05
Costa Rica,2004,4662164,Head and neck,102,4103561.0,0.3909760646,Incidence,20.4200904256551,4.1,4431.0117207843,74.54545454545455,19.3,12.846153846153848,2.187825459145738e-05
Costa Rica,2005,4662164,Head and neck,117,4162567.0,0.3980917897,Incidence,20.0823562559639,4.2,4703.00721784778,70.0,19.9,14.9,2.5095644972554053e-05
Costa Rica,2006,4662164,Head and neck,109,4220593.0,0.4120866439,Incidence,19.6090845399907,4.2,5256.59640859159,74.54545454545455,20.6,12.846153846153848,2.337970343596916e-05
Costa Rica,2007,4662164,Head and neck,116,4279034.0,0.4025472022,Incidence,18.967324345694,4.3,6137.71199925542,74.54545454545455,21.3,14.0,2.488115228048094e-05
Costa Rica,2008,4662164,Head and neck,97,4336997.0,0.3244231028,Incidence,18.3142845924477,4.2,6937.24261596055,74.54545454545455,21.9,12.846153846153848,2.0805791131091825e-05
Costa Rica,2009,4662164,Head and neck,94,4391064.0,0.2958029378,Incidence,17.8071741996257,4.1,6832.69829924138,74.54545454545455,22.6,12.846153846153848,2.016231305487249e-05
Costa Rica,2010,4622252,Head and neck,95,4440963.0,0.2925643363,Incidence,17.6032020866019,3.7,8265.78820275582,75.0,23.3,12.7,2.0552752208230967e-05
Costa Rica,2011,4662164,Head and neck,123,4488265.0,0.3731570404,Incidence,19.4251836697019,3.4,9276.39107511347,74.54545454545455,24.0,12.846153846153848,2.638260112499272e-05
Costa Rica,2012,4662164,Head and neck,98,4534903.0,0.2896590987,Incidence,17.9369232929949,3.1,10126.9991024177,74.54545454545455,24.7,12.846153846153848,2.102028382316493e-05
Costa Rica,2013,4662164,Head and neck,117,4579849.0,0.2958514984,Incidence,18.4901589297792,3.1,10803.2401962173,74.54545454545455,25.4,12.846153846153848,2.5095644972554053e-05
Costa Rica,2014,4662164,Head and neck,129,4635332.0,0.3333275736,Incidence,17.5539609994868,3.1,10911.497878334,74.54545454545455,26.2,12.846153846153848,2.766955727743139e-05
Costa Rica,2015,4895242,Head and neck,121,4689826.0,0.3123617124,Incidence,17.6636155108417,3.2,11714.7105980732,77.0,26.9,10.9,2.471787911608864e-05
Costa Rica,2016,4662164,Head and neck,126,4743230.0,0.3210638529,Incidence,16.8973562895418,3.3,12091.0301606154,74.54545454545455,27.6,12.846153846153848,2.7026079201212054e-05
Costa Rica,2000,3979193,Oesophagus,29,3844981.0,0.1994343978,Incidence,21.3843731146703,4.2,3812.75388284924,66.0,16.7,17.3,7.287909885245576e-06
Costa Rica,2001,4662164,Oesophagus,29,3924472.0,0.1631584979,Incidence,21.2503622180599,4.2,3985.12984506207,74.54545454545455,17.3,12.846153846153848,6.220288070120235e-06
Costa Rica,2002,4662164,Oesophagus,24,4001801.0,0.1283540989,Incidence,21.0286242452936,4.2,4067.71851429092,74.54545454545455,18.0,12.846153846153848,5.1478246097546774e-06
Costa Rica,2003,4662164,Oesophagus,26,4043854.0,0.1459452596,Incidence,20.7436900349618,4.1,4173.14856415514,74.54545454545455,18.6,12.846153846153848,5.576809993900901e-06
Costa Rica,2004,4662164,Oesophagus,28,4103561.0,0.1563861303,Incidence,20.4200904256551,4.1,4431.0117207843,74.54545454545455,19.3,12.846153846153848,6.005795378047123e-06
Costa Rica,2005,4662164,Oesophagus,28,4162567.0,0.1472459916,Incidence,20.0823562559639,4.2,4703.00721784778,70.0,19.9,14.9,6.005795378047123e-06
Costa Rica,2006,4662164,Oesophagus,33,4220593.0,0.1826886538,Incidence,19.6090845399907,4.2,5256.59640859159,74.54545454545455,20.6,12.846153846153848,7.078258838412681e-06
Costa Rica,2007,4662164,Oesophagus,27,4279034.0,0.1530284569,Incidence,18.967324345694,4.3,6137.71199925542,74.54545454545455,21.3,14.0,5.791302685974012e-06
Costa Rica,2008,4662164,Oesophagus,26,4336997.0,0.1338851027,Incidence,18.3142845924477,4.2,6937.24261596055,74.54545454545455,21.9,12.846153846153848,5.576809993900901e-06
Costa Rica,2009,4662164,Oesophagus,28,4391064.0,0.1349991632,Incidence,17.8071741996257,4.1,6832.69829924138,74.54545454545455,22.6,12.846153846153848,6.005795378047123e-06
Costa Rica,2010,4622252,Oesophagus,36,4440963.0,0.149592353,Incidence,17.6032020866019,3.7,8265.78820275582,75.0,23.3,12.7,7.788411363119103e-06
Costa Rica,2011,4662164,Oesophagus,30,4488265.0,0.1163276841,Incidence,19.4251836697019,3.4,9276.39107511347,74.54545454545455,24.0,12.846153846153848,6.434780762193346e-06
Costa Rica,2012,4662164,Oesophagus,31,4534903.0,0.1038711869,Incidence,17.9369232929949,3.1,10126.9991024177,74.54545454545455,24.7,12.846153846153848,6.6492734542664584e-06
Costa Rica,2013,4662164,Oesophagus,26,4579849.0,0.08962524533,Incidence,18.4901589297792,3.1,10803.2401962173,74.54545454545455,25.4,12.846153846153848,5.576809993900901e-06
Costa Rica,2014,4662164,Oesophagus,18,4635332.0,0.07570974499,Incidence,17.5539609994868,3.1,10911.497878334,74.54545454545455,26.2,12.846153846153848,3.860868457316008e-06
Costa Rica,2015,4895242,Oesophagus,23,4689826.0,0.09244373724,Incidence,17.6636155108417,3.2,11714.7105980732,77.0,26.9,10.9,4.6984398319837914e-06
Costa Rica,2016,4662164,Oesophagus,30,4743230.0,0.09281558983,Incidence,16.8973562895418,3.3,12091.0301606154,74.54545454545455,27.6,12.846153846153848,6.434780762193346e-06
Costa Rica,2000,3979193,Stomach,536,3844981.0,2.913257788,Incidence,21.3843731146703,4.2,3812.75388284924,66.0,16.7,17.3,0.0001347006792583
Costa Rica,2001,4662164,Stomach,511,3924472.0,2.658343538,Incidence,21.2503622180599,4.2,3985.12984506207,74.54545454545455,17.3,12.846153846153848,0.0001096057656493
Costa Rica,2002,4662164,Stomach,493,4001801.0,2.451559897,Incidence,21.0286242452936,4.2,4067.71851429092,74.54545454545455,18.0,12.846153846153848,0.000105744897192
Costa Rica,2003,4662164,Stomach,570,4043854.0,2.788877979,Incidence,20.7436900349618,4.1,4173.14856415514,74.54545454545455,18.6,12.846153846153848,0.0001222608344816
Costa Rica,2004,4662164,Stomach,504,4103561.0,2.250888234,Incidence,20.4200904256551,4.1,4431.0117207843,74.54545454545455,19.3,12.846153846153848,0.0001081043168048
Costa Rica,2005,4662164,Stomach,521,4162567.0,2.34636897,Incidence,20.0823562559639,4.2,4703.00721784778,70.0,19.9,14.9,0.00011175069257
Costa Rica,2006,4662164,Stomach,503,4220593.0,2.1348309,Incidence,19.6090845399907,4.2,5256.59640859159,74.54545454545455,20.6,12.846153846153848,0.0001078898241127
Costa Rica,2007,4662164,Stomach,483,4279034.0,2.039756619,Incidence,18.967324345694,4.3,6137.71199925542,74.54545454545455,21.3,14.0,0.0001035999702713
Costa Rica,2008,4662164,Stomach,502,4336997.0,1.979522497,Incidence,18.3142845924477,4.2,6937.24261596055,74.54545454545455,21.9,12.846153846153848,0.0001076753314207
Costa Rica,2009,4662164,Stomach,504,4391064.0,1.938924411,Incidence,17.8071741996257,4.1,6832.69829924138,74.54545454545455,22.6,12.846153846153848,0.0001081043168048
Costa Rica,2010,4622252,Stomach,504,4440963.0,1.798627264,Incidence,17.6032020866019,3.7,8265.78820275582,75.0,23.3,12.7,0.0001090377590836
