country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
Cuba,2000,11105791,Head and neck,321,10644811.5,0.3640405931,Mortality,21.3974205669767,4.2,2751.3817714814,56.0,10.8,39.6,2.8903839447365793e-05
Cuba,2001,11274854,Head and neck,343,10662244.0,0.3773242411,Mortality,21.206308539373,4.2,2842.96704310394,78.1731843575419,11.4,26.281005586592183,3.042168001650847e-05
Cuba,2002,11274854,Head and neck,299,10678106.5,0.3259448157,Mortality,20.7560611503545,4.3,3005.21104247868,78.1731843575419,11.9,26.281005586592183,2.651919045170855e-05
Cuba,2003,11274854,Head and neck,330,10695607.5,0.3486392233,Mortality,20.1976249122847,4.5,3202.78109865637,78.1731843575419,12.5,26.281005586592183,2.9268671735999403e-05
Cuba,2004,11274854,Head and neck,382,10711631.5,0.4098104438,Mortality,19.681946337527,4.6,3399.21962893402,78.1731843575419,13.0,26.281005586592183,3.3880704858035675e-05
Cuba,2005,11274854,Head and neck,375,10721110.0,0.3817770533,Mortality,19.3599719384448,4.5,3786.33799225291,71.0,13.5,32.6,3.325985424545387e-05
Cuba,2006,11274854,Head and neck,429,10724175.5,0.4334088195,Mortality,19.1954916262929,4.4,4329.98265964383,78.1731843575419,14.0,26.281005586592183,3.804927325679922e-05
Cuba,2007,11274854,Head and neck,408,10721205.0,0.4005921786,Mortality,19.0582324966618,4.3,4807.43888960684,78.1731843575419,14.6,30.3,3.618672141905381e-05
Cuba,2008,11274854,Head and neck,429,10713853.0,0.4177206401,Mortality,18.9580468384187,4.3,4986.12436479175,78.1731843575419,15.1,26.281005586592183,3.804927325679922e-05
Cuba,2009,11274854,Head and neck,411,10706116.0,0.3917542725,Mortality,18.9047869404309,4.3,5089.23519757167,78.1731843575419,15.7,26.281005586592183,3.645280025301744e-05
Cuba,2010,11290417,Head and neck,441,10698105.0,0.4091781399,Mortality,18.9083050915655,4.3,5272.26755824835,78.0,16.2,27.1,3.905967334953173e-05
Cuba,2011,11274854,Head and neck,502,10688489.5,0.4644409675,Mortality,19.6720738913487,4.3,6104.46105236166,78.1731843575419,16.8,26.281005586592183,4.452385821658091e-05
Cuba,2012,11274854,Head and neck,451,10675035.0,0.4033399156,Mortality,19.6276365485068,4.3,6470.83673392653,78.1731843575419,17.3,26.281005586592183,4.000051803919919e-05
Cuba,2013,11274854,Head and neck,518,10654889.5,0.4559222984,Mortality,19.9113493948996,4.4,6828.36428245396,78.1731843575419,17.9,26.281005586592183,4.594294533105361e-05
Cuba,2014,11274854,Head and neck,555,10626597.0,0.4763187557,Mortality,20.762060268269,4.5,7146.70459051328,78.1731843575419,18.5,26.281005586592183,4.922458428327172e-05
Cuba,2015,11339894,Head and neck,551,10598486.5,0.4595584723,Mortality,21.4005165459257,4.6,7727.91997207998,84.0,19.1,22.5,4.8589519443479805e-05
Cuba,2016,11274854,Head and neck,550,10572718.5,0.4609395714,Mortality,19.7476038869862,4.6,8110.55873961397,78.1731843575419,19.7,26.281005586592183,4.8781119559999006e-05
Cuba,2017,11274854,Head and neck,587,10539568.0,0.4758806258,Mortality,20.1327865141339,4.7,8610.60829531998,84.0,20.3,26.281005586592183,5.206275851221712e-05
Cuba,2018,11274854,Head and neck,589,10501342.0,0.4692464801,Mortality,20.9153664764928,4.7,8911.46205964193,78.1731843575419,20.9,26.281005586592183,5.2240144401526206e-05
Cuba,2019,11274854,Head and neck,663,10459179.5,0.5179835497,Mortality,20.3431122356184,4.7,9232.26115935183,83.0,21.6,26.281005586592183,5.880342230596243e-05
Cuba,2020,11300698,Head and neck,637,10415708.5,0.4914289266,Mortality,21.2367242811561,4.2,9605.26125067263,78.1731843575419,22.2,18.7,5.636819955723089e-05
Cuba,2021,11274854,Head and neck,661,10359584.5,0.509750914,Mortality,20.041487090368513,4.427827648114902,5875.159044197908,83.0,22.9,18.1,5.862603641665335e-05
