country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
Estonia,2000,1396877,Head and neck,135,1320040.0,0.8606779104,Incidence,11.8151297405178,10.4,4070.60902410208,60.0,18.7,47.6,9.664415693006614e-05
Estonia,2001,1342706,Head and neck,140,1308560.0,0.91152765,Incidence,11.3922862404784,10.4,4502.66614992392,71.33333333333333,19.3,37.53846153846154,0.0001042670935659
Estonia,2002,1342706,Head and neck,111,1296800.0,0.7136033215,Incidence,10.8659889979478,11.3,5343.18310760735,71.33333333333333,19.8,37.53846153846154,8.266890989870825e-05
Estonia,2003,1342706,Head and neck,125,1285025.0,0.8041187184,Incidence,10.3301268581838,13.1,7205.40703313243,71.33333333333333,20.4,37.53846153846154,9.309561925530208e-05
Estonia,2004,1342706,Head and neck,140,1273670.0,0.9005265894,Incidence,9.87858866644381,14.6,8916.0728274602,71.33333333333333,20.9,37.53846153846154,0.0001042670935659
Estonia,2005,1342706,Head and neck,132,1262660.0,0.8585746533,Incidence,9.60526326798543,16.7,10414.6381183565,62.0,21.4,42.1,9.8308973933599e-05
Estonia,2006,1342706,Head and neck,120,1251530.0,0.7624597271,Incidence,9.49150211652796,17.3,12641.4800976473,71.33333333333333,21.8,37.53846153846154,8.937179448508999e-05
Estonia,2007,1342706,Head and neck,110,1242295.0,0.7096853697,Incidence,9.42873775517208,17.4,16745.4308011148,71.33333333333333,22.3,40.3,8.192414494466583e-05
Estonia,2008,1342706,Head and neck,147,1236265.0,0.9541161754,Incidence,9.37598066324752,16.5,18205.9064113446,71.33333333333333,22.7,37.53846153846154,0.0001094804482442
Estonia,2009,1342706,Head and neck,132,1232065.0,0.8497015527,Incidence,9.29224132008397,15.7,14712.4494217916,71.33333333333333,23.0,37.53846153846154,9.8308973933599e-05
Estonia,2010,1331535,Head and neck,140,1227055.0,0.8963216768,Incidence,9.13653020501115,15.4,14663.7041018705,72.0,23.4,37.3,0.0001051418100162
Estonia,2011,1342706,Head and neck,123,1220213.0,0.790194397,Incidence,8.27663619619013,16.1,17555.5455239426,71.33333333333333,23.7,37.53846153846154,9.160608934721724e-05
Estonia,2012,1342706,Head and neck,124,1211793.0,0.8065211678,Incidence,7.99013886909247,17.0,17568.2137969714,71.33333333333333,24.0,37.53846153846154,9.235085430125964e-05
Estonia,2013,1342706,Head and neck,145,1203282.0,0.9325167771,Incidence,8.08122179915709,17.3,19310.3874900757,71.33333333333333,24.3,37.53846153846154,0.0001079909183361
Estonia,2014,1342706,Head and neck,154,1196400.0,0.9679274459,Incidence,8.70767888073313,17.3,20581.7898991695,71.33333333333333,24.6,37.53846153846154,0.0001146938029225
Estonia,2015,1314657,Head and neck,171,1193551.0,1.116043228,Incidence,7.18496063252666,16.5,17722.1557669523,77.0,24.9,33.3,0.0001300719503262
Estonia,2016,1342706,Head and neck,159,1191726.0,1.024071488,Incidence,6.87835279660374,15.1,18666.3736521706,71.33333333333333,25.1,37.53846153846154,0.0001184176276927
