country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
Finland,2000,5176209,Head and neck,286,4840311.5,0.5033466759,Incidence,8.00512199497353,9.0,24335.9225082659,75.0,18.5,38.7,5.525279214962147e-05
Finland,2001,5417831,Head and neck,309,4842966.5,0.5452911426,Incidence,7.91863988097532,9.0,24965.202996776,83.14285714285714,18.9,28.8125,5.703389629665068e-05
Finland,2002,5417831,Head and neck,341,4846806.5,0.591432346,Incidence,7.82803108552653,9.2,26989.389260959,83.14285714285714,19.3,28.8125,6.294031921410318e-05
Finland,2003,5417831,Head and neck,325,4849960.0,0.5556557126,Incidence,7.73384704624823,9.5,32920.0857192568,83.14285714285714,19.7,28.8125,5.9987107755376935e-05
Finland,2004,5417831,Head and neck,340,4853865.0,0.5723594481,Incidence,7.63663920076146,9.7,37768.1334202029,83.14285714285714,20.0,28.8125,6.27557434979328e-05
Finland,2005,5417831,Head and neck,346,4859404.5,0.570904669,Incidence,7.53695898668728,10.0,39049.8703780223,81.0,20.3,34.1,6.386319779495513e-05
Finland,2006,5417831,Head and neck,378,4867938.0,0.6271300436,Incidence,7.43418344243749,10.2,41214.0187765069,83.14285714285714,20.6,28.8125,6.976962071240764e-05
Finland,2007,5417831,Head and neck,386,4880578.0,0.6199436385,Incidence,7.3276683346314,10.3,48473.0240091455,83.14285714285714,20.9,32.5,7.124622644177076e-05
Finland,2008,5417831,Head and neck,351,4897493.0,0.5562850118,Incidence,7.21793319320128,10.2,53769.4726240385,83.14285714285714,21.2,28.8125,6.478607637580709e-05
Finland,2009,5417831,Head and neck,410,4915720.5,0.6438263784,Incidence,7.1054975480794,10.0,47478.3495310999,83.14285714285714,21.4,28.8125,7.567604362986013e-05
Finland,2010,5363271,Head and neck,405,4932037.5,0.6190578846,Incidence,6.99088092919804,9.8,46506.2919016566,84.0,21.5,30.2,7.551361846156944e-05
Finland,2011,5417831,Head and neck,443,4948630.5,0.677672287,Incidence,6.87039455156535,9.6,51060.3242589767,83.14285714285714,21.7,28.8125,8.176704226348302e-05
Finland,2012,5417831,Head and neck,450,4965671.0,0.6730503104,Incidence,6.23115629479583,9.4,47551.6740841369,83.14285714285714,21.9,28.8125,8.305907227667575e-05
Finland,2013,5417831,Head and neck,486,4980341.0,0.731438271,Incidence,5.85285267653954,9.0,49691.0145200739,83.14285714285714,22.0,28.8125,8.970379805880981e-05
Finland,2014,5417831,Head and neck,479,4991363.0,0.7054390892,Incidence,6.11857316281583,8.8,50073.7760815871,83.14285714285714,22.2,28.8125,8.841176804561707e-05
Finland,2015,5479461,Head and neck,488,5001242.5,0.7077718352,Incidence,5.62500854589343,8.6,42560.3456767103,86.0,22.3,26.5,8.905985460978735e-05
