country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
France (metropolitan),2000,58665453,Head and neck,1258,6174660.0,1.765268817,Incidence,16.0892961813444,14.0,22340.5939516217,79.0,13.1,34.7,2.1443625433182967e-05
France (metropolitan),2001,62368282,Head and neck,1273,6218607.0,1.733670325,Incidence,15.8802927901306,14.0,22331.7948343036,82.58333333333333,13.3,34.52307692307692,2.0411015848502433e-05
France (metropolitan),2002,62368282,Head and neck,1255,6263548.0,1.678796817,Incidence,15.6420884990136,13.8,24144.5727019529,82.58333333333333,13.4,34.52307692307692,2.012240761183861e-05
France (metropolitan),2003,62368282,Head and neck,1274,6308555.0,1.700090887,Incidence,15.3886822893843,13.5,29479.5222101175,82.58333333333333,13.6,34.52307692307692,2.04270496394282e-05
France (metropolitan),2004,62368282,Head and neck,1206,6354741.0,1.596013153,Incidence,15.1340731426338,13.2,33644.9282220364,82.58333333333333,13.7,34.52307692307692,1.933675185647599e-05
France (metropolitan),2005,62368282,Head and neck,1285,6399342.0,1.680300325,Incidence,14.8922600401531,13.0,34696.3718316971,81.0,13.8,34.5,2.0603421339611647e-05
France (metropolitan),2006,62368282,Head and neck,1178,6439968.0,1.49531859,Incidence,14.6287316954908,13.0,36431.5658906555,82.58333333333333,13.8,34.52307692307692,1.8887805710554492e-05
France (metropolitan),2007,62368282,Head and neck,1289,6476687.0,1.619709355,Incidence,14.3339971201938,12.8,41486.1907828787,82.58333333333333,13.8,34.5,2.0667556503314717e-05
France (metropolitan),2008,62368282,Head and neck,1296,6511138.0,1.613848197,Incidence,14.0595857426506,12.7,45464.8181385158,82.58333333333333,13.7,34.52307692307692,2.0779793039795093e-05
France (metropolitan),2009,62368282,Head and neck,1240,6546958.0,1.515928664,Incidence,13.8570269912499,12.5,41728.0884164132,82.58333333333333,13.7,34.52307692307692,1.9881900747952095e-05
France (metropolitan),2010,62444567,Head and neck,1248,6586767.0,1.498758016,Incidence,13.7778502943804,12.4,40694.8211697025,82.0,13.5,34.4,1.9985725899900948e-05
France (metropolitan),2011,62368282,Head and neck,1255,6630300.0,1.504581973,Incidence,13.7974719352463,12.3,43929.7840873812,82.58333333333333,13.4,34.52307692307692,2.012240761183861e-05
France (metropolitan),2012,62368282,Head and neck,1372,6675343.0,1.613092154,Incidence,12.5585885208406,12.1,40863.5814412333,82.58333333333333,13.2,34.52307692307692,2.199836115015345e-05
France (metropolitan),2013,62368282,Head and neck,1240,6719075.0,1.437796199,Incidence,12.4582922718332,12.0,42669.1795111893,82.58333333333333,12.9,34.52307692307692,1.9881900747952095e-05
