country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
Germany,2003,81946216,Head and neck,927,5752187.0,1.191660108,Incidence,17.0534186624295,12.0,30711.1022511331,85.5,21.9,29.119999999999997,1.1312297789499115e-05
Germany,2004,81946216,Head and neck,972,5745507.0,1.244039779,Incidence,16.7455957407135,11.8,34566.7359143735,85.5,22.3,29.119999999999997,1.1861438458892276e-05
Germany,2005,81946216,Head and neck,893,5741353.0,1.140732312,Incidence,16.5542983749923,11.8,35084.4363546269,83.0,22.7,32.1,1.0897391505957617e-05
Germany,2006,81946216,Head and neck,903,5763929.0,1.145150203,Incidence,16.4673340240739,11.7,36980.3349948954,85.5,23.0,29.119999999999997,1.1019422765822762e-05
Germany,2007,81946216,Head and neck,941,5771582.0,1.177745499,Incidence,16.4178840311706,11.6,42350.9217211489,85.5,23.3,30.6,1.148314155331032e-05
Germany,2008,81946216,Head and neck,993,5759056.0,1.244141655,Incidence,16.3766553966518,11.4,46386.3295924799,85.5,23.5,29.119999999999997,1.2117704104609084e-05
Germany,2009,81946216,Head and neck,985,5737477.0,1.236309318,Incidence,16.3143551208868,11.3,42487.2137101496,85.5,23.7,29.119999999999997,1.2020079096716966e-05
Germany,2010,81325090,Head and neck,976,5724849.0,1.226383562,Incidence,16.201690204245,11.2,42409.9356994694,85.0,23.8,28.5,1.2001216352788543e-05
Germany,2011,81946216,Head and neck,977,5642065.0,1.24392524,Incidence,15.7161711583543,11.2,47646.582043143,85.5,23.9,29.119999999999997,1.192245408882485e-05
Germany,2012,81946216,Head and neck,981,5622988.0,1.249274373,Incidence,13.9078592571706,11.2,44735.5882319701,85.5,23.9,29.119999999999997,1.1971266592770908e-05
Germany,2013,81946216,Head and neck,901,5632164.0,1.136045479,Incidence,13.6633968189434,11.1,47220.0102098851,85.5,23.9,29.119999999999997,1.0995016513849731e-05
Germany,2014,81946216,Head and neck,947,5631920.0,1.214383776,Incidence,12.2822480920893,11.1,48971.0824722599,85.5,23.9,29.119999999999997,1.1556360309229409e-05
Germany,2015,82073226,Head and neck,930,5667388.0,1.175543453,Incidence,12.8253525089793,11.0,41911.0109851054,88.0,23.9,25.1,1.1331344523974235e-05
Germany,2016,81946216,Head and neck,943,5704927.0,1.199359939,Incidence,11.7806958987308,11.0,42961.0356905775,85.5,24.0,29.119999999999997,1.150754780528335e-05
Germany,2017,81946216,Head and neck,894,5727324.0,1.132911218,Incidence,11.8978451129639,11.1,45526.5999576533,88.0,24.0,29.119999999999997,1.090959463194413e-05
Germany,2003,81946216,Oesophagus,355,5752187.0,0.4819072431,Incidence,17.0534186624295,12.0,30711.1022511331,85.5,21.9,29.119999999999997,4.332109725212714e-06
Germany,2004,81946216,Oesophagus,409,5745507.0,0.5533083757,Incidence,16.7455957407135,11.8,34566.7359143735,85.5,22.3,29.119999999999997,4.991078528484507e-06
Germany,2005,81946216,Oesophagus,426,5741353.0,0.5600797606,Incidence,16.5542983749923,11.8,35084.4363546269,83.0,22.7,32.1,5.198531670255257e-06
Germany,2006,81946216,Oesophagus,380,5763929.0,0.4987167169,Incidence,16.4673340240739,11.7,36980.3349948954,85.5,23.0,29.119999999999997,4.637187874875581e-06
Germany,2007,81946216,Oesophagus,405,5771582.0,0.5305897841,Incidence,16.4178840311706,11.6,42350.9217211489,85.5,23.3,30.6,4.942266024538448e-06
Germany,2008,81946216,Oesophagus,431,5759056.0,0.5567294132,Incidence,16.3766553966518,11.4,46386.3295924799,85.5,23.5,29.119999999999997,5.25954730018783e-06
