country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
India,2003,1281740062,Head and neck,1906,19129166.0,1.506017882,Incidence,62.766353963477,1.1,544.143133545002,50.0,2.1,39.875,1.4870409810569528e-06
India,2004,1281740062,Head and neck,2020,19411121.0,1.609446939,Incidence,62.9461722470244,1.2,624.258826510066,50.0,2.3,39.875,1.575982571739268e-06
India,2005,1281740062,Head and neck,1977,19717161.0,1.525074655,Incidence,62.7698190473475,1.2,710.488080408949,34.0,2.5,46.6,1.5424344278854123e-06
India,2006,1281740062,Head and neck,2128,19992842.0,1.565331481,Incidence,61.1951099242157,1.4,801.668353659022,50.0,2.7,39.875,1.6602430260698823e-06
India,2007,1281740062,Head and neck,2048,20292932.0,1.481568581,Incidence,58.0211349861865,1.6,1021.88707706826,50.0,2.9,43.1,1.5978278747138716e-06
India,2008,1281740062,Head and neck,2123,20544772.0,1.497811194,Incidence,54.3676481000901,2.0,992.519584923828,50.0,3.1,39.875,1.6563420791101316e-06
India,2009,1281740062,Head and neck,2283,20754867.0,1.567104913,Incidence,51.3544031327568,2.3,1094.94974598436,50.0,3.3,39.875,1.781172381822153e-06
India,2010,1240613620,Head and neck,2269,21197273.0,1.506258653,Incidence,50.1011539510167,2.7,1347.51939071367,49.0,3.5,38.3,1.8289336530095488e-06
India,2011,1281740062,Head and neck,2302,19379647.0,1.57889619,Incidence,61.708624213512,2.9,1445.46127486037,50.0,3.7,39.875,1.7959959802692054e-06
India,2012,1281740062,Head and neck,2441,19476055.0,1.586835292,Incidence,74.0031607462287,3.0,1429.32199520032,50.0,4.0,39.875,1.9044423057502736e-06
India,2013,1281740062,Head and neck,2690,19578503.0,1.702635766,Incidence,76.2501768290597,3.0,1432.84397512195,50.0,4.2,39.875,2.0987094643458566e-06
India,2014,1281740062,Head and neck,2733,19677115.0,1.653279892,Incidence,79.0373957134889,3.0,1553.88396075118,50.0,4.5,39.875,2.1322576081997124e-06
India,2015,1322866505,Head and neck,2668,19776517.0,1.585996333,Incidence,73.810991410386,3.0,1583.99815907985,57.0,4.8,31.5,2.0168323787138296e-06
India,2016,1281740062,Head and neck,2519,19876709.0,1.483356162,Incidence,75.7890035327013,2.9,1707.50892912243,50.0,5.1,39.875,1.965297078322384e-06
India,2017,1281740062,Head and neck,2939,19977700.0,1.689473257,Incidence,67.3122713926644,2.9,1950.10468280866,60.0,5.4,39.875,2.29297662294144e-06
India,2003,1281740062,Oesophagus,616,19129166.0,0.5933667047,Incidence,62.766353963477,1.1,544.143133545002,50.0,2.1,39.875,4.805966654412817e-07
India,2004,1281740062,Oesophagus,694,19411121.0,0.6500723107,Incidence,62.9461722470244,1.2,624.258826510066,50.0,2.3,39.875,5.414514380133921e-07
India,2005,1281740062,Oesophagus,609,19717161.0,0.5334665124,Incidence,62.7698190473475,1.2,710.488080408949,34.0,2.5,46.6,4.751353396976308e-07
India,2006,1281740062,Oesophagus,618,19992842.0,0.5529715405,Incidence,61.1951099242157,1.4,801.668353659022,50.0,2.7,39.875,4.82157044225182e-07
India,2007,1281740062,Oesophagus,584,20292932.0,0.4861313437,Incidence,58.0211349861865,1.6,1021.88707706826,50.0,2.9,43.1,4.556306048988775e-07
India,2008,1281740062,Oesophagus,586,20544772.0,0.4863347607,Incidence,54.3676481000901,2.0,992.519584923828,50.0,3.1,39.875,4.571909836827778e-07
India,2009,1281740062,Oesophagus,601,20754867.0,0.4924668228,Incidence,51.3544031327568,2.3,1094.94974598436,50.0,3.3,39.875,4.688938245620297e-07
India,2010,1240613620,Oesophagus,551,21197273.0,0.4391568783,Incidence,50.1011539510167,2.7,1347.51939071367,49.0,3.5,38.3,4.441350563280129e-07
India,2011,1281740062,Oesophagus,599,19379647.0,0.4841286132,Incidence,61.708624213512,2.9,1445.46127486037,50.0,3.7,39.875,4.6733344577812946e-07
India,2012,1281740062,Oesophagus,540,19476055.0,0.4479918741,Incidence,74.0031607462287,3.0,1429.32199520032,50.0,4.0,39.875,4.213022716530717e-07
India,2013,1281740062,Oesophagus,534,19578503.0,0.4083897001,Incidence,76.2501768290597,3.0,1432.84397512195,50.0,4.2,39.875,4.166211353013709e-07
India,2014,1281740062,Oesophagus,561,19677115.0,0.4073887634,Incidence,79.0373957134889,3.0,1553.88396075118,50.0,4.5,39.875,4.376862488840244e-07
India,2015,1322866505,Oesophagus,524,19776517.0,0.3707480761,Incidence,73.810991410386,3.0,1583.99815907985,57.0,4.8,31.5,3.961095076634358e-07
India,2016,1281740062,Oesophagus,526,19876709.0,0.3913730136,Incidence,75.7890035327013,2.9,1707.50892912243,50.0,5.1,39.875,4.103796201657698e-07
India,2017,1281740062,Oesophagus,560,19977700.0,0.3858236727,Incidence,67.3122713926644,2.9,1950.10468280866,60.0,5.4,39.875,4.3690605949207427e-07
India,2003,1281740062,Stomach,598,19129166.0,0.5096358093,Incidence,62.766353963477,1.1,544.143133545002,50.0,2.1,39.875,4.665532563861793e-07
India,2004,1281740062,Stomach,689,19411121.0,0.5830925034,Incidence,62.9461722470244,1.2,624.258826510066,50.0,2.3,39.875,5.375504910536414e-07
India,2005,1281740062,Stomach,701,19717161.0,0.5865799208,Incidence,62.7698190473475,1.2,710.488080408949,34.0,2.5,46.6,5.469127637570429e-07
India,2006,1281740062,Stomach,709,19992842.0,0.5841763598,Incidence,61.1951099242157,1.4,801.668353659022,50.0,2.7,39.875,5.531542788926441e-07
