country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
Ireland,2000,3768950,Head and neck,204,3605458.0,0.6104438581,Incidence,12.5487773722991,14.2,26334.5672050501,72.0,19.5,35.7,5.412648085010414e-05
Ireland,2001,4485977,Head and neck,179,3660030.0,0.5442696978,Incidence,12.4264833741692,14.2,28282.409882073,78.58333333333333,20.2,27.03846153846154,3.990211943228201e-05
Ireland,2002,4485977,Head and neck,205,3726805.0,0.5969047759,Incidence,12.3040622950093,13.9,32705.4345565698,78.58333333333333,20.8,27.03846153846154,4.569795800903805e-05
Ireland,2003,4485977,Head and neck,218,3786733.0,0.6251254029,Incidence,12.1728497272074,13.6,41203.5295847568,78.58333333333333,21.5,27.03846153846154,4.8595877297416074e-05
Ireland,2004,4485977,Head and neck,217,3848673.0,0.6248016682,Incidence,12.0241812631519,13.3,47754.2023194244,78.58333333333333,22.1,27.03846153846154,4.837296042907931e-05
Ireland,2005,4485977,Head and neck,244,3933168.0,0.6597278462,Incidence,11.8493924952309,13.3,50933.0216095589,76.0,22.6,30.9,5.439171587417213e-05
Ireland,2006,4485977,Head and neck,264,4029273.0,0.7066152324,Incidence,11.5711334006069,13.4,54329.1618599624,78.58333333333333,23.1,27.03846153846154,5.885005324090754e-05
Ireland,2007,4485977,Head and neck,256,4168377.0,0.6605104204,Incidence,11.183427609397,13.1,61396.417461176,78.58333333333333,23.6,29.2,5.7066718294213374e-05
Ireland,2008,4485977,Head and neck,255,4272829.0,0.65031013,Incidence,10.7846711934217,12.3,61353.1065629523,78.58333333333333,24.1,27.03846153846154,5.68438014258766e-05
Ireland,2009,4485977,Head and neck,304,4315701.0,0.7688683473,Incidence,10.4732602245015,11.7,52133.0909237885,78.58333333333333,24.7,27.03846153846154,6.776672797437838e-05
Ireland,2010,4524585,Head and neck,336,4331195.0,0.8023534386,Incidence,10.3475907744569,11.4,48679.4026820361,77.0,25.3,26.8,7.426095431956743e-05
Ireland,2011,4485977,Head and neck,342,4345523.0,0.8009503237,Incidence,10.5404229786943,11.5,52692.7813135606,78.58333333333333,25.8,27.03846153846154,7.623756897117568e-05
Ireland,2012,4485977,Head and neck,346,4358386.0,0.7720772347,Incidence,9.58893302932057,11.1,49411.7387476787,78.58333333333333,26.4,27.03846153846154,7.712923644452276e-05
Ireland,2013,4485977,Head and neck,379,4374194.0,0.8517374686,Incidence,9.19408716106259,10.9,52619.2123745817,78.58333333333333,26.8,27.03846153846154,8.448549309963621e-05
Ireland,2014,4485977,Head and neck,379,4397573.0,0.8305694881,Incidence,8.84472665206141,10.7,57278.2590911107,78.58333333333333,27.3,27.03846153846154,8.448549309963621e-05
Ireland,2015,4665760,Head and neck,410,4431927.0,0.8959351343,Incidence,8.81158216131006,11.0,64311.8234684057,82.0,27.8,23.4,8.78742155618806e-05
Ireland,2016,4485977,Head and neck,396,4477621.0,0.8289409104,Incidence,8.11019374827621,11.1,64292.659966313,78.58333333333333,28.2,27.03846153846154,8.827507986136132e-05
Ireland,2017,4485977,Head and neck,404,4523082.0,0.8458522906,Incidence,8.38429636583274,11.2,72499.3268743015,82.0,28.7,27.03846153846154,9.005841480805548e-05
Ireland,2000,3768950,Oesophagus,183,3605458.0,0.6425835591,Incidence,12.5487773722991,14.2,26334.5672050501,72.0,19.5,35.7,4.855463723318166e-05
Ireland,2001,4485977,Oesophagus,212,3660030.0,0.7092172293,Incidence,12.4264833741692,14.2,28282.409882073,78.58333333333333,20.2,27.03846153846154,4.725837608739545e-05
Ireland,2002,4485977,Oesophagus,187,3726805.0,0.5998241444,Incidence,12.3040622950093,13.9,32705.4345565698,78.58333333333333,20.8,27.03846153846154,4.1685454378976175e-05
Ireland,2003,4485977,Oesophagus,201,3786733.0,0.6611211157,Incidence,12.1728497272074,13.6,41203.5295847568,78.58333333333333,21.5,27.03846153846154,4.480629053569097e-05
Ireland,2004,4485977,Oesophagus,226,3848673.0,0.7260339815,Incidence,12.0241812631519,13.3,47754.2023194244,78.58333333333333,22.1,27.03846153846154,5.037921224411025e-05
Ireland,2005,4485977,Oesophagus,201,3933168.0,0.6018350882,Incidence,11.8493924952309,13.3,50933.0216095589,76.0,22.6,30.9,4.480629053569097e-05
Ireland,2006,4485977,Oesophagus,216,4029273.0,0.6681215073,Incidence,11.5711334006069,13.4,54329.1618599624,78.58333333333333,23.1,27.03846153846154,4.8150043560742536e-05
Ireland,2007,4485977,Oesophagus,236,4168377.0,0.6831992889,Incidence,11.183427609397,13.1,61396.417461176,78.58333333333333,23.6,29.2,5.260838092747795e-05
Ireland,2008,4485977,Oesophagus,236,4272829.0,0.6758421614,Incidence,10.7846711934217,12.3,61353.1065629523,78.58333333333333,24.1,27.03846153846154,5.260838092747795e-05
Ireland,2009,4485977,Oesophagus,244,4315701.0,0.676890371,Incidence,10.4732602245015,11.7,52133.0909237885,78.58333333333333,24.7,27.03846153846154,5.439171587417213e-05
Ireland,2010,4524585,Oesophagus,235,4331195.0,0.6341634451,Incidence,10.3475907744569,11.4,48679.4026820361,77.0,25.3,26.8,5.193846507469746e-05
Ireland,2011,4485977,Oesophagus,239,4345523.0,0.6523675373,Incidence,10.5404229786943,11.5,52692.7813135606,78.58333333333333,25.8,27.03846153846154,5.327713153248827e-05
Ireland,2012,4485977,Oesophagus,250,4358386.0,0.6592576776,Incidence,9.58893302932057,11.1,49411.7387476787,78.58333333333333,26.4,27.03846153846154,5.5729217084192745e-05
Ireland,2013,4485977,Oesophagus,246,4374194.0,0.6201275097,Incidence,9.19408716106259,10.9,52619.2123745817,78.58333333333333,26.8,27.03846153846154,5.483754961084566e-05
Ireland,2014,4485977,Oesophagus,243,4397573.0,0.602964335,Incidence,8.84472665206141,10.7,57278.2590911107,78.58333333333333,27.3,27.03846153846154,5.416879900583535e-05
Ireland,2015,4665760,Oesophagus,255,4431927.0,0.5929381079,Incidence,8.81158216131006,11.0,64311.8234684057,82.0,27.8,23.4,5.465347553238915e-05
Ireland,2016,4485977,Oesophagus,279,4477621.0,0.6552173387,Incidence,8.11019374827621,11.1,64292.659966313,78.58333333333333,28.2,27.03846153846154,6.21938062659591e-05
Ireland,2017,4485977,Oesophagus,319,4523082.0,0.6987063465,Incidence,8.38429636583274,11.2,72499.3268743015,82.0,28.7,27.03846153846154,7.111048099942994e-05
Ireland,2000,3768950,Stomach,295,3605458.0,1.024188916,Incidence,12.5487773722991,14.2,26334.5672050501,72.0,19.5,35.7,7.827113652343491e-05
Ireland,2001,4485977,Stomach,282,3660030.0,0.9440828111,Incidence,12.4264833741692,14.2,28282.409882073,78.58333333333333,20.2,27.03846153846154,6.286255687096942e-05
Ireland,2002,4485977,Stomach,253,3726805.0,0.8334507662,Incidence,12.3040622950093,13.9,32705.4345565698,78.58333333333333,20.8,27.03846153846154,5.639796768920306e-05
Ireland,2003,4485977,Stomach,276,3786733.0,0.9064474476,Incidence,12.1728497272074,13.6,41203.5295847568,78.58333333333333,21.5,27.03846153846154,6.15250556609488e-05
Ireland,2004,4485977,Stomach,285,3848673.0,0.8941989842,Incidence,12.0241812631519,13.3,47754.2023194244,78.58333333333333,22.1,27.03846153846154,6.353130747597973e-05
Ireland,2005,4485977,Stomach,286,3933168.0,0.8810906449,Incidence,11.8493924952309,13.3,50933.0216095589,76.0,22.6,30.9,6.375422434431651e-05
