country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
Latvia,2000,2392530,Head and neck,161,2241600.0,0.6094654646,Incidence,22.4970757971078,7.1,3278.17896440803,52.0,19.9,45.4,6.72927821176746e-05
Latvia,2001,2089967,Head and neck,214,2219554.0,0.808344481,Incidence,21.6067918371829,7.1,3504.61829462397,65.91666666666667,20.4,39.57692307692308,0.0001023939796167
Latvia,2002,2089967,Head and neck,196,2198643.0,0.7370393239,Incidence,20.5080341220557,7.5,4003.60935783538,65.91666666666667,20.8,39.57692307692308,9.37814018920039e-05
Latvia,2003,2089967,Head and neck,185,2180272.0,0.7003623573,Incidence,19.4158394192282,8.2,4914.57992829302,65.91666666666667,21.3,39.57692307692308,8.851815994908532e-05
Latvia,2004,2089967,Head and neck,208,2163073.0,0.7956130245,Incidence,18.5452444962024,8.9,6109.73265186817,65.91666666666667,21.8,39.57692307692308,9.95231203751878e-05
Latvia,2005,2089967,Head and neck,196,2146350.0,0.7506077187,Incidence,18.1112861204801,9.7,7283.78738127622,58.0,22.2,42.4,9.37814018920039e-05
Latvia,2006,2089967,Head and neck,183,2129832.0,0.6926896008,Incidence,18.0087086881248,10.5,9211.7374468148,65.91666666666667,22.7,39.57692307692308,8.756120686855466e-05
Latvia,2007,2089967,Head and neck,181,2115097.0,0.7085891054,Incidence,17.9604077828999,11.2,13370.9789452508,65.91666666666667,23.1,41.3,8.6604253788024e-05
Latvia,2008,2089967,Head and neck,169,2102691.0,0.6469217001,Incidence,17.9236469538566,11.0,15677.6080864506,65.91666666666667,23.6,39.57692307692308,8.08625353048401e-05
Latvia,2009,2089967,Head and neck,181,2089354.0,0.7001091191,Incidence,17.8556897500464,10.5,11996.0322729773,65.91666666666667,24.0,39.57692307692308,8.6604253788024e-05
Latvia,2010,2101530,Head and neck,196,2071395.0,0.7605374603,Incidence,17.7137997205206,9.9,11188.4191700977,65.0,24.5,39.6,9.326538284012124e-05
Latvia,2011,2089967,Head and neck,215,1892443.0,0.8673171325,Incidence,15.525589653222,10.1,12902.574053337,65.91666666666667,24.9,39.57692307692308,0.000102872456157
Latvia,2012,2089967,Head and neck,221,1862800.0,0.8979319311,Incidence,14.9825047352387,10.3,13329.3499931271,65.91666666666667,25.4,39.57692307692308,0.0001057433153986
Latvia,2013,2089967,Head and neck,196,1836408.0,0.7865751614,Incidence,15.4093695076531,10.4,14484.4715282132,65.91666666666667,25.8,39.57692307692308,9.37814018920039e-05
