country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
Malta,2000,399212,Head and neck,15,362657.0,0.420485514,Incidence,17.5416711633875,5.7,10348.4865480967,75.0,28.3,33.0,3.7574020821017405e-05
Malta,2001,437778,Head and neck,18,373160.0,0.422646603,Incidence,17.3739401649506,5.7,10357.7040358668,80.83333333333333,28.8,29.09166666666667,4.111669014560203e-05
Malta,2002,437778,Head and neck,22,375441.0,0.5421595948,Incidence,17.1607690400214,5.8,11251.2060862043,80.83333333333333,29.3,29.09166666666667,5.025373240018026e-05
Malta,2003,437778,Head and neck,23,377567.0,0.5662480818,Incidence,16.9496741589384,6.0,13593.974199672,80.83333333333333,29.8,29.09166666666667,5.253799296382482e-05
Malta,2004,437778,Head and neck,22,379773.0,0.5169411762,Incidence,16.7881718920403,6.2,15212.1267402818,80.83333333333333,30.3,29.09166666666667,5.025373240018026e-05
Malta,2005,437778,Head and neck,39,381347.0,0.9626399281,Incidence,16.7237786096657,6.9,15831.3440511034,77.0,30.8,30.7,8.908616198213774e-05
Malta,2006,437778,Head and neck,29,383317.0,0.61226244,Incidence,16.7590769231956,7.4,16653.607176998,80.83333333333333,31.3,29.09166666666667,6.624355634569217e-05
Malta,2007,437778,Head and neck,31,385096.0,0.6114625771,Incidence,16.8432498246899,7.7,19444.1875016088,80.83333333333333,31.7,30.0,7.081207747298128e-05
Malta,2008,437778,Head and neck,40,385668.0,0.8419662324,Incidence,16.9437142555058,7.4,22315.3198630182,80.83333333333333,32.1,29.09166666666667,9.137042254578229e-05
Malta,2009,437778,Head and neck,34,388284.0,0.780805588,Incidence,17.0278871570001,7.1,21176.3112406361,80.83333333333333,32.4,29.09166666666667,7.766485916391495e-05
Malta,2010,418755,Head and neck,39,389356.0,0.8026423806,Incidence,17.06318547053,7.1,21946.6069676515,79.0,32.7,28.8,9.313321631980512e-05
Malta,2011,437778,Head and neck,31,388974.0,0.6142272963,Incidence,16.1027075945735,7.2,23516.9691249323,80.83333333333333,32.9,29.09166666666667,7.081207747298128e-05
Malta,2012,437778,Head and neck,35,390560.0,0.7250287541,Incidence,14.106355803411,7.4,22878.313086001,80.83333333333333,33.0,29.09166666666667,7.994911972755951e-05
Malta,2013,437778,Head and neck,37,395941.0,0.6977379356,Incidence,13.3766872999129,7.5,25346.5236450477,80.83333333333333,33.1,29.09166666666667,8.451764085484862e-05
Malta,2014,437778,Head and neck,39,403302.0,0.7356184044,Incidence,13.4804864315632,7.7,27356.6080303021,80.83333333333333,33.2,29.09166666666667,8.908616198213774e-05
Malta,2015,456579,Head and neck,31,412756.0,0.5658501316,Incidence,13.6814730924333,8.1,25481.8977555627,85.0,33.3,26.8,6.78962457756489e-05
Malta,2016,437778,Head and neck,28,422253.0,0.4855209139,Incidence,12.5325633579629,8.6,26409.6285858968,80.83333333333333,33.4,29.09166666666667,6.39592957820476e-05
Malta,2017,437778,Head and neck,36,434345.0,0.6181826526,Incidence,12.9026022733936,8.9,30259.3952629768,85.0,33.5,29.09166666666667,8.223338029120406e-05
Malta,2000,399212,Oesophagus,1,362657.0,0.02490225851,Incidence,17.5416711633875,5.7,10348.4865480967,75.0,28.3,33.0,2.5049347214011603e-06
Malta,2001,437778,Oesophagus,8,373160.0,0.2192054104,Incidence,17.3739401649506,5.7,10357.7040358668,80.83333333333333,28.8,29.09166666666667,1.827408450915646e-05
Malta,2002,437778,Oesophagus,6,375441.0,0.1348867147,Incidence,17.1607690400214,5.8,11251.2060862043,80.83333333333333,29.3,29.09166666666667,1.3705563381867344e-05
Malta,2003,437778,Oesophagus,9,377567.0,0.2673316816,Incidence,16.9496741589384,6.0,13593.974199672,80.83333333333333,29.8,29.09166666666667,2.0558345072801017e-05
Malta,2004,437778,Oesophagus,6,379773.0,0.1344149606,Incidence,16.7881718920403,6.2,15212.1267402818,80.83333333333333,30.3,29.09166666666667,1.3705563381867344e-05
Malta,2005,437778,Oesophagus,8,381347.0,0.1923202278,Incidence,16.7237786096657,6.9,15831.3440511034,77.0,30.8,30.7,1.827408450915646e-05
Malta,2006,437778,Oesophagus,11,383317.0,0.2768317177,Incidence,16.7590769231956,7.4,16653.607176998,80.83333333333333,31.3,29.09166666666667,2.512686620009013e-05
Malta,2007,437778,Oesophagus,15,385096.0,0.3886834121,Incidence,16.8432498246899,7.7,19444.1875016088,80.83333333333333,31.7,30.0,3.426390845466836e-05
Malta,2008,437778,Oesophagus,15,385668.0,0.3744914767,Incidence,16.9437142555058,7.4,22315.3198630182,80.83333333333333,32.1,29.09166666666667,3.426390845466836e-05
