country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
Mexico,2000,97873442,Head and neck,525,96704332.5,0.1203917741,Mortality,30.8563115445805,5.1,7524.02713693678,56.0,20.0,22.7,5.3640700610079695e-06
Mexico,2001,116811633,Head and neck,586,98092996.0,0.1271338375,Mortality,29.9444098873823,5.1,7952.7647961764,68.57142857142857,20.7,18.0625,5.016623626803938e-06
Mexico,2002,116811633,Head and neck,626,99448938.5,0.1294203565,Mortality,28.3754133915972,5.0,7983.03398483743,68.57142857142857,21.5,18.0625,5.359055273684752e-06
Mexico,2003,116811633,Head and neck,579,100785312.0,0.1190655212,Mortality,26.5162170155356,5.0,7434.0746485155,68.57142857142857,22.2,18.0625,4.956698088599795e-06
Mexico,2004,116811633,Head and neck,628,102109769.0,0.1244739697,Mortality,24.7337157175082,5.1,7849.66759649565,68.57142857142857,22.9,18.0625,5.376176856028793e-06
Mexico,2005,116811633,Head and neck,662,103438932.5,0.123729061,Mortality,23.3948044558255,5.1,8671.75891885163,61.0,23.6,20.6,5.667243755877486e-06
Mexico,2006,116811633,Head and neck,644,104798346.0,0.1180840146,Mortality,22.3696630456356,4.9,9512.63575346699,68.57142857142857,24.3,18.0625,5.513149514781119e-06
Mexico,2007,116811633,Head and neck,571,106250637.0,0.09858234653,Mortality,21.363754834612,4.6,10134.3327138119,68.57142857142857,25.0,19.9,4.888211759223632e-06
Mexico,2008,116811633,Head and neck,626,107794766.5,0.1023606564,Mortality,20.4969000798536,4.4,10523.7685403244,68.57142857142857,25.8,18.0625,5.359055273684752e-06
Mexico,2009,116811633,Head and neck,642,109363957.5,0.1027772384,Mortality,19.8889190384594,4.3,8423.56933214711,68.57142857142857,26.5,18.0625,5.496027932437078e-06
Mexico,2010,112532401,Head and neck,682,110926141.5,0.1067530123,Mortality,19.6596319675283,4.2,9728.80078377082,66.0,27.2,18.7,6.060476751047016e-06
