country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
Norway,2000,4491202,Head and neck,277,4141305.5,0.6437097018,Incidence,10.4740973033701,5.7,38178.2368777076,72.0,12.8,44.9,6.167613926071461e-05
Norway,2001,4992640,Head and neck,251,4162340.0,0.5873257962,Incidence,10.1879455331557,5.7,38601.897639231,82.25172413793103,13.3,27.794169096209913,5.0274007389389624e-05
Norway,2002,4992640,Head and neck,285,4186153.0,0.6468942719,Incidence,9.77123127954717,5.8,43170.557174499,82.25172413793103,13.8,27.794169096209913,5.7084032294725275e-05
Norway,2003,4992640,Head and neck,283,4212639.0,0.6457939537,Incidence,9.30851275504977,6.1,50250.3298214345,82.25172413793103,14.3,27.794169096209913,5.668344259441141e-05
Norway,2004,4992640,Head and neck,289,4238693.0,0.6325385385,Incidence,8.88434817216868,6.2,57768.6980958462,82.25172413793103,14.8,27.794169096209913,5.7885211695353e-05
Norway,2005,4992640,Head and neck,293,4268712.5,0.6487728619,Incidence,8.58329574340912,6.4,67047.1704558264,81.0,15.2,34.6,5.868639109598072e-05
Norway,2006,4992640,Head and neck,339,4305016.5,0.747594932,Incidence,8.3718056211126,6.5,74434.4996835671,82.25172413793103,15.6,27.794169096209913,6.789995420319954e-05
Norway,2007,4992640,Head and neck,305,4353244.5,0.6643373623,Incidence,8.17307019719305,6.6,85502.2677087731,82.25172413793103,16.0,31.2,6.108992929786389e-05
Norway,2008,4992640,Head and neck,329,4413154.0,0.6716602398,Incidence,8.00676104351433,6.7,97503.5407803783,82.25172413793103,16.3,27.794169096209913,6.589700570163023e-05
Norway,2009,4992640,Head and neck,358,4475168.0,0.7129900377,Incidence,7.89254973194028,6.7,80347.5700665184,82.25172413793103,16.7,27.794169096209913,7.170555635618122e-05
Norway,2010,4889741,Head and neck,378,4536963.0,0.757135222,Incidence,7.85010783433474,6.6,88163.2085931423,84.0,16.9,26.6,7.730470795896961e-05
Norway,2011,4992640,Head and neck,377,4601345.5,0.7200094315,Incidence,8.65989791417676,6.4,101221.813476644,82.25172413793103,17.2,27.794169096209913,7.551115850916291e-05
Norway,2012,4992640,Head and neck,387,4666561.5,0.7178513998,Incidence,7.30698815670179,6.3,102175.919298374,82.25172413793103,17.4,27.794169096209913,7.751410701073222e-05
Norway,2013,4992640,Head and neck,385,4726491.5,0.6984195093,Incidence,7.02749190738719,6.2,103553.840134417,82.25172413793103,17.6,27.794169096209913,7.711351731041836e-05
Norway,2014,4992640,Head and neck,460,4780005.5,0.8132207237,Incidence,7.09267324687363,6.1,97666.6951838749,82.25172413793103,17.8,27.794169096209913,9.213563107218816e-05
Norway,2015,5190356,Head and neck,446,4827556.0,0.7824444955,Incidence,6.75214227846257,6.0,74809.9658049898,86.0,18.0,20.5,8.592859526398575e-05
Norway,2016,4992640,Head and neck,471,4869027.5,0.8188484619,Incidence,6.23059189808068,6.0,70867.3609970749,82.25172413793103,18.3,27.794169096209913,9.43388744239144e-05
Norway,2017,4992640,Head and neck,459,4903208.0,0.7789587795,Incidence,6.52155808218128,6.0,76131.8384032764,86.0,18.5,27.794169096209913,9.193533622203123e-05
Norway,2018,4992640,Head and neck,487,4927787.0,0.8101269756,Incidence,6.69607752509394,6.0,82792.8427113304,82.25172413793103,18.7,27.794169096209913,9.754359202642528e-05
Norway,2019,4992640,Head and neck,496,4949327.0,0.8163617366,Incidence,6.38122446338577,6.0,76430.5889473338,86.0,19.0,27.794169096209913,9.934624567783769e-05
Norway,2020,5379839,Head and neck,477,4963055.5,0.7850655229,Incidence,6.05589724673443,7.2,68340.0181033702,82.25172413793103,19.2,15.8,8.866436337593002e-05
Norway,2021,4992640,Head and neck,518,4971119.0,0.840671632,Incidence,8.077034580025495,6.241990049751244,93072.8925119571,87.0,19.5,15.0,0.0001037527323812
Norway,2022,5434319,Head and neck,497,4999198.0,0.810286114,Incidence,8.077034580025495,6.241990049751244,108798.451165901,82.25172413793103,19.8,14.2,9.145580154569504e-05
Norway,2023,4992640,Head and neck,498,5042956.0,0.801040265,Incidence,8.077034580025495,6.241990049751244,87925.0944188399,82.25172413793103,16.459981078524127,27.794169096209913,9.974683537815152e-05
Norway,2000,4491202,Oesophagus,88,4141305.5,0.2230431378,Incidence,10.4740973033701,5.7,38178.2368777076,72.0,12.8,44.9,1.9593863736255903e-05
Norway,2001,4992640,Oesophagus,98,4162340.0,0.2470561671,Incidence,10.1879455331557,5.7,38601.897639231,82.25172413793103,13.3,27.794169096209913,1.9628895315379217e-05
Norway,2002,4992640,Oesophagus,113,4186153.0,0.2829059201,Incidence,9.77123127954717,5.8,43170.557174499,82.25172413793103,13.8,27.794169096209913,2.2633318067733178e-05
Norway,2003,4992640,Oesophagus,117,4212639.0,0.3036722756,Incidence,9.30851275504977,6.1,50250.3298214345,82.25172413793103,14.3,27.794169096209913,2.34344974683609e-05
Norway,2004,4992640,Oesophagus,125,4238693.0,0.301796598,Incidence,8.88434817216868,6.2,57768.6980958462,82.25172413793103,14.8,27.794169096209913,2.5036856269616347e-05
Norway,2005,4992640,Oesophagus,116,4268712.5,0.2699990279,Incidence,8.58329574340912,6.4,67047.1704558264,81.0,15.2,34.6,2.323420261820397e-05
Norway,2006,4992640,Oesophagus,128,4305016.5,0.3061865014,Incidence,8.3718056211126,6.5,74434.4996835671,82.25172413793103,15.6,27.794169096209913,2.563774082008714e-05
Norway,2007,4992640,Oesophagus,109,4353244.5,0.2558587805,Incidence,8.17307019719305,6.6,85502.2677087731,82.25172413793103,16.0,31.2,2.1832138667105458e-05
Norway,2008,4992640,Oesophagus,138,4413154.0,0.3033271649,Incidence,8.00676104351433,6.7,97503.5407803783,82.25172413793103,16.3,27.794169096209913,2.7640689321656446e-05
Norway,2009,4992640,Oesophagus,135,4475168.0,0.2995894058,Incidence,7.89254973194028,6.7,80347.5700665184,82.25172413793103,16.7,27.794169096209913,2.7039804771185656e-05
Norway,2010,4889741,Oesophagus,156,4536963.0,0.3296474866,Incidence,7.85010783433474,6.6,88163.2085931423,84.0,16.9,26.6,3.190353026878111e-05
Norway,2011,4992640,Oesophagus,165,4601345.5,0.3336325436,Incidence,8.65989791417676,6.4,101221.813476644,82.25172413793103,17.2,27.794169096209913,3.304865027589358e-05
Norway,2012,4992640,Oesophagus,154,4666561.5,0.2956041605,Incidence,7.30698815670179,6.3,102175.919298374,82.25172413793103,17.4,27.794169096209913,3.084540692416734e-05
Norway,2013,4992640,Oesophagus,165,4726491.5,0.3230385279,Incidence,7.02749190738719,6.2,103553.840134417,82.25172413793103,17.6,27.794169096209913,3.304865027589358e-05
Norway,2014,4992640,Oesophagus,194,4780005.5,0.3645859806,Incidence,7.09267324687363,6.1,97666.6951838749,82.25172413793103,17.8,27.794169096209913,3.885720093044457e-05
Norway,2015,5190356,Oesophagus,207,4827556.0,0.3921686845,Incidence,6.75214227846257,6.0,74809.9658049898,86.0,18.0,20.5,3.9881657443150335e-05
Norway,2016,4992640,Oesophagus,185,4869027.5,0.3346111098,Incidence,6.23059189808068,6.0,70867.3609970749,82.25172413793103,18.3,27.794169096209913,3.705454727903219e-05
Norway,2017,4992640,Oesophagus,194,4903208.0,0.3479144325,Incidence,6.52155808218128,6.0,76131.8384032764,86.0,18.5,27.794169096209913,3.885720093044457e-05
Norway,2018,4992640,Oesophagus,213,4927787.0,0.3697831417,Incidence,6.69607752509394,6.0,82792.8427113304,82.25172413793103,18.7,27.794169096209913,4.2662803083426256e-05
Norway,2019,4992640,Oesophagus,221,4949327.0,0.3883802651,Incidence,6.38122446338577,6.0,76430.5889473338,86.0,19.0,27.794169096209913,4.42651618846817e-05
