country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
Portugal,2000,10300626,Head and neck,461,9600367.0,0.4033593016,Mortality,13.9602733944466,12.6,11526.3720667968,74.0,16.4,26.0,4.475456151888244e-05
Portugal,2001,10364704,Head and neck,465,9647696.0,0.4015963715,Mortality,13.849569678602,12.6,11734.7649743954,84.0,16.8,25.65,4.486380015992352e-05
Portugal,2002,10364704,Head and neck,474,9684678.0,0.4019976115,Mortality,13.6900462729622,12.4,12936.6928204482,84.0,17.3,25.65,4.5732131775922045e-05
Portugal,2003,10364704,Head and neck,488,9706126.0,0.4115671108,Mortality,13.4896924274961,12.3,15797.7821340276,84.0,17.8,25.65,4.708286984525308e-05
Portugal,2004,10364704,Head and neck,485,9703550.0,0.4055028329,Mortality,13.2564973921723,12.2,18064.1580932987,84.0,18.4,25.65,4.679342597325357e-05
Portugal,2005,10364704,Head and neck,490,9700970.0,0.4057213964,Mortality,12.9984504169596,12.0,18780.12751241,80.0,18.9,25.7,4.727583242658608e-05
Portugal,2006,10364704,Head and neck,492,9698396.0,0.4039214053,Mortality,12.5977447886636,11.8,19839.4540499032,84.0,19.4,25.65,4.746879500791908e-05
Portugal,2007,10364704,Head and neck,502,9695819.0,0.4082986365,Mortality,12.0295102444563,11.6,22811.0564844365,84.0,19.9,25.7,4.8433607914584105e-05
Portugal,2008,10364704,Head and neck,552,9684487.0,0.4395675144,Mortality,11.4411407098565,11.5,24949.0413566739,84.0,20.4,25.65,5.325767244790921e-05
Portugal,2009,10364704,Head and neck,551,9669620.0,0.4357317354,Mortality,10.9800301103829,11.4,23151.2154130712,84.0,20.9,25.65,5.316119115724271e-05
Portugal,2010,10588401,Head and neck,529,9644186.0,0.4166152195,Mortality,10.7935723715541,11.2,22551.935098809,84.0,21.4,25.5,4.9960329231958634e-05
Portugal,2011,10364704,Head and neck,604,9594798.0,0.4764494349,Mortality,11.5157580200238,10.6,23246.5425416481,84.0,21.9,25.65,5.827469956256733e-05
Portugal,2012,10364704,Head and neck,578,9527327.0,0.4558299208,Mortality,10.1151524382993,10.0,20593.4274224109,84.0,22.3,25.65,5.576618600523827e-05
Portugal,2013,10364704,Head and neck,534,9450675.0,0.4116466753,Mortality,9.76832048738232,9.8,21676.4859642714,84.0,22.8,25.65,5.1521009215912176e-05
Portugal,2014,10364704,Head and neck,514,9375846.0,0.3940051376,Mortality,9.50576236832378,10.0,22120.6850127107,84.0,23.3,25.65,4.959138340258213e-05
Portugal,2015,10365435,Head and neck,553,9320414.0,0.4209272653,Mortality,9.64253451834766,10.3,19215.7813014347,87.0,23.7,25.5,5.3350390022222895e-05
Portugal,2016,10364704,Head and neck,635,9281762.0,0.4772003439,Mortality,8.83773210008347,10.3,19980.2808866516,84.0,24.2,25.65,6.12656195732289e-05
Portugal,2017,10364704,Head and neck,602,9251686.0,0.4498931683,Mortality,9.2551980440464,10.2,21442.3842768879,88.0,24.7,25.65,5.808173698123433e-05
Portugal,2018,10364704,Head and neck,606,9228523.0,0.4505033531,Mortality,9.02601451562929,10.2,23541.1401075289,84.0,25.2,25.65,5.846766214390034e-05
Portugal,2019,10364704,Head and neck,619,9222863.0,0.4575072181,Mortality,7.98256121876526,10.2,23343.3628970034,87.0,25.6,25.65,5.9721918922564865e-05
Portugal,2020,10298192,Head and neck,628,9222564.0,0.4587269774,Mortality,8.45242266236737,8.6,22299.4044062173,84.0,26.1,25.6,6.098157812555835e-05
Portugal,2021,10364704,Head and neck,644,9222265.0,0.4646387254,Mortality,11.10418972289623,11.038095238095238,24711.4510062111,88.0,26.6,25.6,6.213395118922742e-05
Portugal,2022,10270865,Head and neck,668,9221968.0,0.4762600612,Mortality,11.10418972289623,11.038095238095238,24620.519556875,84.0,27.1,25.6,6.503833902986749e-05
Portugal,2000,10300626,Oesophagus,367,9600367.0,0.335238091,Mortality,13.9602733944466,12.6,11526.3720667968,74.0,16.4,26.0,3.562890255407778e-05
Portugal,2001,10364704,Oesophagus,381,9647696.0,0.3384972266,Mortality,13.849569678602,12.6,11734.7649743954,84.0,16.8,25.65,3.675937174393734e-05
Portugal,2002,10364704,Oesophagus,382,9684678.0,0.336348396,Mortality,13.6900462729622,12.4,12936.6928204482,84.0,17.3,25.65,3.685585303460384e-05
Portugal,2003,10364704,Oesophagus,372,9706126.0,0.3297157226,Mortality,13.4896924274961,12.3,15797.7821340276,84.0,17.8,25.65,3.589104012793882e-05
Portugal,2004,10364704,Oesophagus,364,9703550.0,0.3202697367,Mortality,13.2564973921723,12.2,18064.1580932987,84.0,18.4,25.65,3.5119189802606805e-05
Portugal,2005,10364704,Oesophagus,364,9700970.0,0.3167354405,Mortality,12.9984504169596,12.0,18780.12751241,80.0,18.9,25.7,3.5119189802606805e-05
Portugal,2006,10364704,Oesophagus,362,9698396.0,0.3118586674,Mortality,12.5977447886636,11.8,19839.4540499032,84.0,19.4,25.65,3.4926227221273796e-05
Portugal,2007,10364704,Oesophagus,368,9695819.0,0.3132592346,Mortality,12.0295102444563,11.6,22811.0564844365,84.0,19.9,25.7,3.550511496527281e-05
Portugal,2008,10364704,Oesophagus,391,9684487.0,0.322396225,Mortality,11.4411407098565,11.5,24949.0413566739,84.0,20.4,25.65,3.772418465060237e-05
Portugal,2009,10364704,Oesophagus,380,9669620.0,0.3104960949,Mortality,10.9800301103829,11.4,23151.2154130712,84.0,20.9,25.65,3.666289045327084e-05
Portugal,2010,10588401,Oesophagus,378,9644186.0,0.3078661949,Mortality,10.7935723715541,11.2,22551.935098809,84.0,21.4,25.5,3.5699441303743594e-05
Portugal,2011,10364704,Oesophagus,397,9594798.0,0.3194673358,Mortality,11.5157580200238,10.6,23246.5425416481,84.0,21.9,25.65,3.830307239460138e-05
Portugal,2012,10364704,Oesophagus,396,9527327.0,0.3207620328,Mortality,10.1151524382993,10.0,20593.4274224109,84.0,22.3,25.65,3.820659110393488e-05
Portugal,2013,10364704,Oesophagus,390,9450675.0,0.3113000187,Mortality,9.76832048738232,9.8,21676.4859642714,84.0,22.8,25.65,3.762770335993586e-05
Portugal,2014,10364704,Oesophagus,397,9375846.0,0.3132935285,Mortality,9.50576236832378,10.0,22120.6850127107,84.0,23.3,25.65,3.830307239460138e-05
Portugal,2015,10365435,Oesophagus,353,9320414.0,0.2756604897,Mortality,9.64253451834766,10.3,19215.7813014347,87.0,23.7,25.5,3.405549308832673e-05
Portugal,2016,10364704,Oesophagus,366,9281762.0,0.2856253298,Mortality,8.83773210008347,10.3,19980.2808866516,84.0,24.2,25.65,3.531215238393981e-05
Portugal,2017,10364704,Oesophagus,380,9251686.0,0.2909121981,Mortality,9.2551980440464,10.2,21442.3842768879,88.0,24.7,25.65,3.666289045327084e-05
Portugal,2018,10364704,Oesophagus,407,9228523.0,0.3047547111,Mortality,9.02601451562929,10.2,23541.1401075289,84.0,25.2,25.65,3.92678853012664e-05
Portugal,2019,10364704,Oesophagus,382,9222863.0,0.2831109341,Mortality,7.98256121876526,10.2,23343.3628970034,87.0,25.6,25.65,3.685585303460384e-05
Portugal,2020,10298192,Oesophagus,373,9222564.0,0.2753737843,Mortality,8.45242266236737,8.6,22299.4044062173,84.0,26.1,25.6,3.621995006502112e-05
Portugal,2021,10364704,Oesophagus,371,9222265.0,0.2721819223,Mortality,11.10418972289623,11.038095238095238,24711.4510062111,88.0,26.6,25.6,3.579455883727232e-05
Portugal,2022,10270865,Oesophagus,372,9221968.0,0.2708451582,Mortality,11.10418972289623,11.038095238095238,24620.519556875,84.0,27.1,25.6,3.62189552681298e-05
Portugal,2000,10300626,Stomach,1491,9600367.0,1.385745838,Mortality,13.9602733944466,12.6,11526.3720667968,74.0,16.4,26.0,0.0001447484842183
Portugal,2001,10364704,Stomach,1448,9647696.0,1.33758149,Mortality,13.849569678602,12.6,11734.7649743954,84.0,16.8,25.65,0.000139704908885
