country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
Romania,2000,21919876,Head and neck,1325,21436700.0,0.5431103229,Mortality,20.4022118211382,11.4,1659.92904910528,69.0,12.5,36.9,6.044742223906741e-05
Romania,2001,20720389,Head and neck,1456,21358463.0,0.598783197,Mortality,20.5727453427073,11.4,1825.19299373184,75.0,13.1,34.48,7.026895216219078e-05
Romania,2002,20720389,Head and neck,1547,20720621.0,0.6439056077,Mortality,20.8397542766711,12.3,2119.85509684554,75.0,13.8,34.48,7.46607616723277e-05
Romania,2003,20720389,Head and neck,1437,20619479.0,0.599695468,Mortality,21.1260463408151,12.2,2679.40626016154,75.0,14.6,34.48,6.935198094578857e-05
Romania,2004,20720389,Head and neck,1557,20521026.0,0.6474205146,Mortality,21.3544292529253,11.0,3494.99056448955,75.0,15.5,34.48,7.514337810201307e-05
Romania,2005,20720389,Head and neck,1542,20429521.0,0.6408220804,Mortality,21.4477107307875,10.4,4618.00350802913,72.0,16.4,35.3,7.441945345748501e-05
Romania,2006,20720389,Head and neck,1613,20351316.0,0.6708999533,Mortality,21.2993011373918,10.2,5757.53127301178,75.0,17.4,34.48,7.784603010825118e-05
Romania,2007,20720389,Head and neck,1663,20260086.0,0.6845796113,Mortality,20.9454013377561,11.1,8360.33775916596,75.0,18.4,34.6,8.025911225667807e-05
Romania,2008,20720389,Head and neck,1763,20187946.0,0.7232509527,Mortality,20.523004802707,11.5,10435.1561230787,75.0,19.6,34.48,8.508527655353183e-05
Romania,2009,20720389,Head and neck,1732,20118790.0,0.713154337,Mortality,20.1691050030713,11.1,8548.4543409242,75.0,20.7,34.48,8.358916562150717e-05
Romania,2010,20335211,Head and neck,1734,20047048.0,0.7055811348,Mortality,20.0206954096756,10.2,8399.5374234284,74.0,21.9,33.6,8.527081425415256e-05
Romania,2011,20720389,Head and neck,1793,19935276.0,0.7322441987,Mortality,21.3631759849928,9.7,9560.6755277458,75.0,23.2,34.48,8.653312584258796e-05
Romania,2012,20720389,Head and neck,1842,18583420.0,0.7615991614,Mortality,19.4249667326641,9.6,8929.95366231474,75.0,24.5,34.48,8.88979463480463e-05
Romania,2013,20720389,Head and neck,1863,18474691.0,0.7687329531,Mortality,17.8711054888739,9.6,9497.67411615237,75.0,25.8,34.48,8.991144085038559e-05
Romania,2014,20720389,Head and neck,1878,18368005.0,0.7829377702,Mortality,17.9898360506608,9.5,10031.7710755404,75.0,27.1,34.48,9.063536549491363e-05
Romania,2015,19906079,Head and neck,1883,18249707.0,0.7805801685,Mortality,17.4955175712912,9.5,8977.01748158196,78.0,28.5,32.0,9.45942191829943e-05
Romania,2016,20720389,Head and neck,1819,18129554.0,0.7568541571,Mortality,16.5983385295736,9.7,9404.54005870715,75.0,29.9,34.48,8.778792855976993e-05
Romania,2017,20720389,Head and neck,1884,18016768.0,0.780490831,Mortality,17.0446117524786,10.2,10727.9822007426,78.0,31.3,34.48,9.092493535272488e-05
Romania,2018,20720389,Head and neck,1922,17917109.0,0.791281459,Mortality,17.1719925973938,10.7,12502.2624061935,75.0,32.8,34.48,9.27588777855293e-05
Romania,2019,20720389,Head and neck,1762,17812119.0,0.7295684795,Mortality,15.0073403663299,10.7,12992.0326104674,79.0,34.3,34.48,8.503701491056328e-05
Romania,2000,21919876,Oesophagus,416,21436700.0,0.1805661542,Mortality,20.4022118211382,11.4,1659.92904910528,69.0,12.5,36.9,1.8978209548265692e-05
Romania,2001,20720389,Oesophagus,414,21358463.0,0.1796973488,Mortality,20.5727453427073,11.4,1825.19299373184,75.0,13.1,34.48,1.9980320188974576e-05
Romania,2002,20720389,Oesophagus,461,20720621.0,0.1993344744,Mortality,20.8397542766711,12.3,2119.85509684554,75.0,13.8,34.48,2.2248617408495844e-05
Romania,2003,20720389,Oesophagus,469,20619479.0,0.2044003172,Mortality,21.1260463408151,12.2,2679.40626016154,75.0,14.6,34.48,2.2634710552244142e-05
Romania,2004,20720389,Oesophagus,473,20521026.0,0.2067430205,Mortality,21.3544292529253,11.0,3494.99056448955,75.0,15.5,34.48,2.2827757124118293e-05
Romania,2005,20720389,Oesophagus,529,20429521.0,0.2292587195,Mortality,21.4477107307875,10.4,4618.00350802913,72.0,16.4,35.3,2.55304091303564e-05
Romania,2006,20720389,Oesophagus,534,20351316.0,0.2290796891,Mortality,21.2993011373918,10.2,5757.53127301178,75.0,17.4,34.48,2.5771717345199088e-05
Romania,2007,20720389,Oesophagus,543,20260086.0,0.2342621995,Mortality,20.9454013377561,11.1,8360.33775916596,75.0,18.4,34.6,2.620607213191593e-05
Romania,2008,20720389,Oesophagus,521,20187946.0,0.2212023261,Mortality,20.523004802707,11.5,10435.1561230787,75.0,19.6,34.48,2.51443159866081e-05
Romania,2009,20720389,Oesophagus,544,20118790.0,0.2298010474,Mortality,20.1691050030713,11.1,8548.4543409242,75.0,20.7,34.48,2.6254333774884467e-05
Romania,2010,20335211,Oesophagus,555,20047048.0,0.2388595715,Mortality,20.0206954096756,10.2,8399.5374234284,74.0,21.9,33.6,2.7292561655740873e-05
Romania,2011,20720389,Oesophagus,604,19935276.0,0.2614970968,Mortality,21.3631759849928,9.7,9560.6755277458,75.0,23.2,34.48,2.9150032352996723e-05
Romania,2012,20720389,Oesophagus,556,18583420.0,0.2379939564,Mortality,19.4249667326641,9.6,8929.95366231474,75.0,24.5,34.48,2.6833473490506916e-05
Romania,2013,20720389,Oesophagus,532,18474691.0,0.2287287082,Mortality,17.8711054888739,9.6,9497.67411615237,75.0,25.8,34.48,2.5675194059262014e-05
Romania,2014,20720389,Oesophagus,581,18368005.0,0.2477074134,Mortality,17.9898360506608,9.5,10031.7710755404,75.0,27.1,34.48,2.8040014564720357e-05
Romania,2015,19906079,Oesophagus,550,18249707.0,0.2373582899,Mortality,17.4955175712912,9.5,8977.01748158196,78.0,28.5,32.0,2.762975069073121e-05
Romania,2016,20720389,Oesophagus,608,18129554.0,0.2644587382,Mortality,16.5983385295736,9.7,9404.54005870715,75.0,29.9,34.48,2.934307892487087e-05
Romania,2017,20720389,Oesophagus,538,18016768.0,0.2328547511,Mortality,17.0446117524786,10.2,10727.9822007426,78.0,31.3,34.48,2.596476391707324e-05
Romania,2018,20720389,Oesophagus,589,17917109.0,0.2506431362,Mortality,17.1719925973938,10.7,12502.2624061935,75.0,32.8,34.48,2.8426107708468655e-05
Romania,2019,20720389,Oesophagus,608,17812119.0,0.2569092605,Mortality,15.0073403663299,10.7,12992.0326104674,79.0,34.3,34.48,2.934307892487087e-05
Romania,2000,21919876,Stomach,2953,21436700.0,1.331028863,Mortality,20.4022118211382,11.4,1659.92904910528,69.0,12.5,36.9,0.000134717915375
Romania,2001,20720389,Stomach,2947,21358463.0,1.329461229,Mortality,20.5727453427073,11.4,1825.19299373184,75.0,13.1,34.48,0.0001422270618282
Romania,2002,20720389,Stomach,2938,20720621.0,1.342255931,Mortality,20.8397542766711,12.3,2119.85509684554,75.0,13.8,34.48,0.0001417927070415
