country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
Singapore,2000,4053602,Head and neck,191,3193300.0,0.6887509351,Mortality,19.7999719213474,2.1,23852.8389514753,64.0,4.8,16.9,4.711858736994899e-05
Singapore,2001,5350554,Head and neck,188,3241000.0,0.6646749725,Mortality,19.3142628589039,2.1,21699.7414868907,81.14285714285714,5.0,16.575000000000003,3.5136551103796065e-05
Singapore,2002,5350554,Head and neck,186,3292200.0,0.5878308439,Mortality,18.5842525658608,1.9,22159.8373710639,81.14285714285714,5.2,16.575000000000003,3.476275800694717e-05
Singapore,2003,5350554,Head and neck,180,3341800.0,0.5987880343,Mortality,17.7392806593529,1.7,23730.3840054566,81.14285714285714,5.4,16.575000000000003,3.364137871640049e-05
Singapore,2004,5350554,Head and neck,161,3385000.0,0.5174465142,Mortality,16.908686756515,1.5,27608.080013423,81.14285714285714,5.7,16.575000000000003,3.009034429633599e-05
Singapore,2005,5350554,Head and neck,173,3435600.0,0.5322884962,Mortality,16.221810474482,1.5,29961.3172812732,70.0,5.9,16.8,3.233310287742936e-05
Singapore,2006,5350554,Head and neck,178,3494300.0,0.5387167029,Mortality,15.6032041493169,1.5,33768.4528234651,81.14285714285714,6.2,16.575000000000003,3.3267585619551596e-05
Singapore,2007,5350554,Head and neck,200,3469800.0,0.6014904065,Mortality,14.9552764832534,1.6,39432.8860198877,81.14285714285714,6.5,16.7,3.737930968488943e-05
Singapore,2008,5350554,Head and neck,183,3523400.0,0.5581749901,Mortality,14.3741516426824,1.7,40008.5720489092,81.14285714285714,6.8,16.575000000000003,3.420206836167383e-05
Singapore,2009,5350554,Head and neck,160,3607588.0,0.4645154692,Mortality,13.9559537939949,1.8,38926.8054365453,81.14285714285714,7.2,16.575000000000003,2.9903447747911547e-05
Singapore,2010,5163590,Head and neck,172,3637000.0,0.4617454411,Mortality,13.796807103582,1.8,47236.683084953,82.0,7.5,16.6,3.331015824261802e-05
Singapore,2011,5350554,Head and neck,180,3649000.0,0.4723417664,Mortality,15.5030932335334,1.9,53891.4570264372,81.14285714285714,7.9,16.575000000000003,3.364137871640049e-05
Singapore,2012,5350554,Head and neck,176,3672800.0,0.4515537886,Mortality,16.9223599271481,1.9,55547.5553077786,81.14285714285714,8.3,16.575000000000003,3.28937925227027e-05
Singapore,2013,5350554,Head and neck,201,3691877.0,0.5131480503,Mortality,18.076662563077,1.9,56967.4257940383,81.14285714285714,8.7,16.575000000000003,3.756620623331388e-05
Singapore,2014,5350554,Head and neck,200,3707151.0,0.4696533374,Mortality,17.2816885850335,1.8,57564.8023114977,81.14285714285714,9.1,16.575000000000003,3.737930968488943e-05
Singapore,2015,5650018,Head and neck,174,3728031.0,0.3896253212,Mortality,17.1833032960407,1.8,55645.6068614606,87.0,9.6,16.6,3.079636206468723e-05
Singapore,2016,5350554,Head and neck,172,3747805.0,0.4047466903,Mortality,15.900294890346,1.8,56899.9181805173,81.14285714285714,10.1,16.575000000000003,3.2146206329004914e-05
Singapore,2017,5350554,Head and neck,156,3772567.0,0.3483783526,Mortality,16.0768840541767,1.8,61162.0973932771,88.0,10.6,16.575000000000003,2.9155861554213755e-05
Singapore,2018,5350554,Head and neck,158,3794076.0,0.3242036669,Mortality,15.9768571619193,1.8,66840.6373389791,81.14285714285714,11.1,16.575000000000003,2.952965465106265e-05
Singapore,2019,5350554,Head and neck,164,3815952.0,0.3561438439,Mortality,17.0759063187283,1.8,66081.7199235165,88.0,11.7,16.575000000000003,3.065103394160933e-05
Singapore,2020,5909869,Head and neck,139,3829246.0,0.2809395145,Mortality,13.8691955865476,1.8,61466.803676358,81.14285714285714,12.3,16.3,2.35199798844949e-05
Singapore,2021,5350554,Head and neck,149,3764551.0,0.2998863108,Mortality,16.434281144087723,1.7857142857142858,79601.4129622433,89.0,12.9,16.3,2.7847585715242627e-05
Singapore,2022,5975689,Head and neck,155,3831620.0,0.3078712967,Mortality,16.434281144087723,1.7857142857142858,88428.7024226232,81.14285714285714,13.5,16.4,2.5938431534840584e-05
Singapore,2000,4053602,Oesophagus,70,3193300.0,0.3675022306,Mortality,19.7999719213474,2.1,23852.8389514753,64.0,4.8,16.9,1.726859222982424e-05
Singapore,2001,5350554,Oesophagus,75,3241000.0,0.3636217902,Mortality,19.3142628589039,2.1,21699.7414868907,81.14285714285714,5.0,16.575000000000003,1.4017241131833537e-05
Singapore,2002,5350554,Oesophagus,51,3292200.0,0.2384129207,Mortality,18.5842525658608,1.9,22159.8373710639,81.14285714285714,5.2,16.575000000000003,9.531723969646804e-06
Singapore,2003,5350554,Oesophagus,57,3341800.0,0.2640477018,Mortality,17.7392806593529,1.7,23730.3840054566,81.14285714285714,5.4,16.575000000000003,1.0653103260193488e-05
Singapore,2004,5350554,Oesophagus,66,3385000.0,0.2967931135,Mortality,16.908686756515,1.5,27608.080013423,81.14285714285714,5.7,16.575000000000003,1.2335172196013512e-05
Singapore,2005,5350554,Oesophagus,43,3435600.0,0.1750155852,Mortality,16.221810474482,1.5,29961.3172812732,70.0,5.9,16.8,8.036551582251228e-06
Singapore,2006,5350554,Oesophagus,42,3494300.0,0.1544675364,Mortality,15.6032041493169,1.5,33768.4528234651,81.14285714285714,6.2,16.575000000000003,7.849655033826781e-06
Singapore,2007,5350554,Oesophagus,57,3469800.0,0.2229724803,Mortality,14.9552764832534,1.6,39432.8860198877,81.14285714285714,6.5,16.7,1.0653103260193488e-05
Singapore,2008,5350554,Oesophagus,58,3523400.0,0.2098187144,Mortality,14.3741516426824,1.7,40008.5720489092,81.14285714285714,6.8,16.575000000000003,1.0839999808617936e-05
Singapore,2009,5350554,Oesophagus,72,3607588.0,0.2325751919,Mortality,13.9559537939949,1.8,38926.8054365453,81.14285714285714,7.2,16.575000000000003,1.3456551486560196e-05
Singapore,2010,5163590,Oesophagus,57,3637000.0,0.1751426754,Mortality,13.796807103582,1.8,47236.683084953,82.0,7.5,16.6,1.1038831510635042e-05
Singapore,2011,5350554,Oesophagus,48,3649000.0,0.16059195,Mortality,15.5030932335334,1.9,53891.4570264372,81.14285714285714,7.9,16.575000000000003,8.971034324373463e-06
Singapore,2012,5350554,Oesophagus,53,3672800.0,0.1674314362,Mortality,16.9223599271481,1.9,55547.5553077786,81.14285714285714,8.3,16.575000000000003,9.9055170664957e-06
Singapore,2013,5350554,Oesophagus,60,3691877.0,0.1819485334,Mortality,18.076662563077,1.9,56967.4257940383,81.14285714285714,8.7,16.575000000000003,1.1213792905466829e-05
Singapore,2014,5350554,Oesophagus,52,3707151.0,0.146817176,Mortality,17.2816885850335,1.8,57564.8023114977,81.14285714285714,9.1,16.575000000000003,9.718620518071251e-06
Singapore,2015,5650018,Oesophagus,69,3728031.0,0.1982003096,Mortality,17.1833032960407,1.8,55645.6068614606,87.0,9.6,16.6,1.2212350473927694e-05
Singapore,2016,5350554,Oesophagus,64,3747805.0,0.1661612443,Mortality,15.900294890346,1.8,56899.9181805173,81.14285714285714,10.1,16.575000000000003,1.1961379099164618e-05
Singapore,2017,5350554,Oesophagus,63,3772567.0,0.1558974346,Mortality,16.0768840541767,1.8,61162.0973932771,88.0,10.6,16.575000000000003,1.1774482550740171e-05
Singapore,2018,5350554,Oesophagus,56,3794076.0,0.1311325368,Mortality,15.9768571619193,1.8,66840.6373389791,81.14285714285714,11.1,16.575000000000003,1.046620671176904e-05
Singapore,2019,5350554,Oesophagus,59,3815952.0,0.1365694047,Mortality,17.0759063187283,1.8,66081.7199235165,88.0,11.7,16.575000000000003,1.1026896357042382e-05
Singapore,2020,5909869,Oesophagus,86,3829246.0,0.1758887075,Mortality,13.8691955865476,1.8,61466.803676358,81.14285714285714,12.3,16.3,1.455193000047886e-05
Singapore,2021,5350554,Oesophagus,76,3764551.0,0.1565525698,Mortality,16.434281144087723,1.7857142857142858,79601.4129622433,89.0,12.9,16.3,1.4204137680257984e-05
Singapore,2022,5975689,Oesophagus,80,3831620.0,0.1625073017,Mortality,16.434281144087723,1.7857142857142858,88428.7024226232,81.14285714285714,13.5,16.4,1.3387577566369337e-05
Singapore,2000,4053602,Stomach,192,3193300.0,0.9146576871,Mortality,19.7999719213474,2.1,23852.8389514753,64.0,4.8,16.9,4.736528154466077e-05
Singapore,2001,5350554,Stomach,189,3241000.0,0.9155979282,Mortality,19.3142628589039,2.1,21699.7414868907,81.14285714285714,5.0,16.575000000000003,3.5323447652220516e-05
Singapore,2002,5350554,Stomach,194,3292200.0,0.8687164057,Mortality,18.5842525658608,1.9,22159.8373710639,81.14285714285714,5.2,16.575000000000003,3.625793039434275e-05
Singapore,2003,5350554,Stomach,184,3341800.0,0.8102007972,Mortality,17.7392806593529,1.7,23730.3840054566,81.14285714285714,5.4,16.575000000000003,3.438896491009828e-05
Singapore,2004,5350554,Stomach,179,3385000.0,0.7668566305,Mortality,16.908686756515,1.5,27608.080013423,81.14285714285714,5.7,16.575000000000003,3.345448216797604e-05
Singapore,2005,5350554,Stomach,177,3435600.0,0.6846886531,Mortality,16.221810474482,1.5,29961.3172812732,70.0,5.9,16.8,3.3080689071127145e-05
Singapore,2006,5350554,Stomach,171,3494300.0,0.645885769,Mortality,15.6032041493169,1.5,33768.4528234651,81.14285714285714,6.2,16.575000000000003,3.1959309780580463e-05
Singapore,2007,5350554,Stomach,173,3469800.0,0.691859218,Mortality,14.9552764832534,1.6,39432.8860198877,81.14285714285714,6.5,16.7,3.233310287742936e-05
Singapore,2008,5350554,Stomach,184,3523400.0,0.6948799082,Mortality,14.3741516426824,1.7,40008.5720489092,81.14285714285714,6.8,16.575000000000003,3.438896491009828e-05
Singapore,2009,5350554,Stomach,159,3607588.0,0.5725603913,Mortality,13.9559537939949,1.8,38926.8054365453,81.14285714285714,7.2,16.575000000000003,2.97165511994871e-05
Singapore,2010,5163590,Stomach,163,3637000.0,0.5733889535,Mortality,13.796807103582,1.8,47236.683084953,82.0,7.5,16.6,3.156718484620196e-05
Singapore,2011,5350554,Stomach,184,3649000.0,0.5708182787,Mortality,15.5030932335334,1.9,53891.4570264372,81.14285714285714,7.9,16.575000000000003,3.438896491009828e-05
Singapore,2012,5350554,Stomach,171,3672800.0,0.519356063,Mortality,16.9223599271481,1.9,55547.5553077786,81.14285714285714,8.3,16.575000000000003,3.1959309780580463e-05
Singapore,2013,5350554,Stomach,152,3691877.0,0.4562605558,Mortality,18.076662563077,1.9,56967.4257940383,81.14285714285714,8.7,16.575000000000003,2.8408275360515968e-05
Singapore,2014,5350554,Stomach,150,3707151.0,0.397318726,Mortality,17.2816885850335,1.8,57564.8023114977,81.14285714285714,9.1,16.575000000000003,2.8034482263667074e-05
