country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
Slovenia,2000,1984339,Head and neck,275,1888698.0,1.213414027,Incidence,20.7629407401817,11.4,10135.7219109212,73.0,15.5,25.7,0.0001385851913407
Slovenia,2001,2051802,Head and neck,284,1885345.0,1.235337504,Incidence,20.9341970231562,11.4,10375.6255869861,78.27272727272727,15.8,23.418181818181814,0.0001384149056421
Slovenia,2002,2051802,Head and neck,285,1883653.0,1.237057077,Incidence,21.268223162792,11.0,11639.1297780477,78.27272727272727,16.1,23.418181818181814,0.0001389022820705
Slovenia,2003,2051802,Head and neck,244,1879710.0,1.037407957,Incidence,21.6496505670105,10.5,14711.674874253,78.27272727272727,16.4,23.418181818181814,0.0001189198485094
Slovenia,2004,2051802,Head and neck,294,1874556.0,1.238775728,Incidence,21.9631106437327,10.9,17103.8297783905,78.27272727272727,16.6,23.418181818181814,0.0001432886699253
Slovenia,2005,2051802,Head and neck,276,1873296.0,1.177091877,Incidence,22.0932348008799,11.2,17969.7095907161,74.0,16.9,24.3,0.0001345158942156
Slovenia,2006,2051802,Head and neck,268,1874275.0,1.088993872,Incidence,21.7654811995932,11.5,19563.005059144,78.27272727272727,17.1,23.418181818181814,0.0001306168827891
Slovenia,2007,2051802,Head and neck,273,1879339.0,1.110172018,Incidence,20.9839149196018,11.4,23725.1596001515,78.27272727272727,17.3,23.7,0.0001330537649306
Slovenia,2008,2051802,Head and neck,294,1876990.0,1.168836711,Incidence,20.0510777467089,10.8,27461.9764165315,78.27272727272727,17.5,23.418181818181814,0.0001432886699253
Slovenia,2009,2051802,Head and neck,293,1891999.0,1.212512389,Incidence,19.2695114667176,10.6,24501.7897290425,78.27272727272727,17.7,23.418181818181814,0.000142801293497
Slovenia,2010,2057286,Head and neck,318,1893914.0,1.292359146,Incidence,18.9417578654309,10.5,23329.8417691156,77.0,17.9,23.0,0.0001545725776581
Slovenia,2011,2051802,Head and neck,270,1892648.0,1.049089163,Incidence,20.6973508722527,10.6,24940.6284841605,78.27272727272727,18.1,23.418181818181814,0.0001315916356457
Slovenia,2012,2051802,Head and neck,294,1892152.0,1.130307379,Incidence,18.3430191214734,10.4,22442.1417859955,78.27272727272727,18.4,23.418181818181814,0.0001432886699253
Slovenia,2013,2051802,Head and neck,285,1891414.0,1.113018612,Incidence,18.16324478528,10.5,23236.9655321695,78.27272727272727,18.6,23.418181818181814,0.0001389022820705
Slovenia,2014,2051802,Head and neck,296,1889715.0,1.14107299,Incidence,17.79704248843,10.6,24013.0682060959,78.27272727272727,18.9,23.418181818181814,0.0001442634227819
Slovenia,2015,2080862,Head and neck,310,1886722.0,1.206252969,Incidence,17.7209260643327,11.0,20697.2748530619,81.0,19.2,21.8,0.0001489767221468
Slovenia,2016,2051802,Head and neck,295,1883760.0,1.092709276,Incidence,16.4517774590328,10.7,21447.8377796036,78.27272727272727,19.5,23.418181818181814,0.0001437760463536
Slovenia,2017,2051802,Head and neck,282,1881692.0,1.063218413,Incidence,16.502696435309,10.2,23303.077705959,83.0,19.9,23.418181818181814,0.0001374401527855
Slovenia,2000,1984339,Oesophagus,70,1888698.0,0.3193990808,Incidence,20.7629407401817,11.4,10135.7219109212,73.0,15.5,25.7,3.5276230523111226e-05
Slovenia,2001,2051802,Oesophagus,77,1885345.0,0.3717273472,Incidence,20.9341970231562,11.4,10375.6255869861,78.27272727272727,15.8,23.418181818181814,3.7527984980450984e-05
Slovenia,2002,2051802,Oesophagus,77,1883653.0,0.3596058333,Incidence,21.268223162792,11.0,11639.1297780477,78.27272727272727,16.1,23.418181818181814,3.7527984980450984e-05
Slovenia,2003,2051802,Oesophagus,77,1879710.0,0.347691813,Incidence,21.6496505670105,10.5,14711.674874253,78.27272727272727,16.4,23.418181818181814,3.7527984980450984e-05
