country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
South Korea,2000,46788591,Head and neck,1714,46450500.0,0.4865996821,Incidence,25.4379884924397,10.4,12257.0206622345,73.0,2.3,35.2,3.66328620581885e-05
South Korea,2001,49606571,Head and neck,1675,46751188.0,0.4382587213,Incidence,25.3445724763114,10.4,11561.2071745115,82.5,2.5,27.23846153846154,3.376568801742011e-05
South Korea,2002,49606571,Head and neck,1754,46949739.0,0.4462009857,Incidence,25.1965130774737,10.2,13165.08362497,82.5,2.6,27.23846153846154,3.535821897465963e-05
South Korea,2003,49606571,Head and neck,1849,47070485.0,0.4609732884,Incidence,24.9988034168125,9.5,14672.8057539465,82.5,2.7,27.23846153846154,3.727328784728943e-05
South Korea,2004,49606571,Head and neck,1920,47176555.0,0.4561721262,Incidence,24.756436615214,9.3,16496.1316167114,82.5,2.8,27.23846153846154,3.87045498468338e-05
South Korea,2005,49606571,Head and neck,1932,47297794.0,0.4342915742,Incidence,24.4744057935641,9.0,19402.5026259549,77.0,3.0,30.9,3.894645328337651e-05
South Korea,2006,49606571,Head and neck,2021,47424810.0,0.4538436785,Incidence,23.9837806396341,9.0,21743.4774514254,82.5,3.1,27.23846153846154,4.074057043773495e-05
South Korea,2007,49606571,Head and neck,2115,47580081.0,0.4589133836,Incidence,23.2554477166084,9.1,24086.4104391677,82.5,3.3,29.4,4.263548069065286e-05
South Korea,2008,49606571,Head and neck,2279,47752161.0,0.474090158,Incidence,22.504125458493,9.1,21350.427979823,82.5,3.4,27.23846153846154,4.594149432340324e-05
South Korea,2009,49606571,Head and neck,2240,47886657.0,0.4525201968,Incidence,21.9445322992938,9.1,19143.8516053025,82.5,3.6,27.23846153846154,4.515530815463943e-05
South Korea,2010,48813042,Head and neck,2376,47972948.0,0.4711573514,Incidence,21.7913866730167,8.9,23079.2601257735,82.0,3.7,27.0,4.867551585906078e-05
South Korea,2011,49606571,Head and neck,2489,48062306.0,0.4750946372,Incidence,24.8830450375162,8.9,25097.595426845,82.5,3.9,27.23846153846154,5.017480446290069e-05
South Korea,2012,49606571,Head and neck,2475,48154896.0,0.4531100388,Incidence,25.5767916080653,8.9,25459.1689000965,82.5,4.1,27.23846153846154,4.9892583786934195e-05
South Korea,2013,49606571,Head and neck,2651,48220936.0,0.4748960501,Incidence,27.4929658439861,8.6,27179.5170146052,82.5,4.3,27.23846153846154,5.344050085622729e-05
South Korea,2014,49606571,Head and neck,2727,48260086.0,0.4833184776,Incidence,28.3760075385872,8.4,29252.9312377352,82.5,4.5,27.23846153846154,5.497255595433113e-05
South Korea,2015,50994401,Head and neck,2778,48286028.0,0.4749648105,Incidence,26.2899620146574,8.1,28737.4391706499,86.0,4.7,23.8,5.44765689080258e-05
South Korea,2016,49606571,Head and neck,2954,48283163.0,0.4920407227,Incidence,26.6704344134095,8.0,29280.4403170048,82.5,4.9,27.23846153846154,5.954856262893075e-05
South Korea,2017,49606571,Head and neck,3005,48192375.0,0.4918118744,Incidence,26.0043671138493,7.9,31600.7358741365,88.0,5.2,27.23846153846154,6.057665223423727e-05
South Korea,2000,46788591,Oesophagus,1468,46450500.0,0.4837127397,Incidence,25.4379884924397,10.4,12257.0206622345,73.0,2.3,35.2,3.137517007084056e-05
South Korea,2001,49606571,Oesophagus,1618,46751188.0,0.5185049298,Incidence,25.3445724763114,10.4,11561.2071745115,82.5,2.5,27.23846153846154,3.2616646693842236e-05
South Korea,2002,49606571,Oesophagus,1591,46949739.0,0.4891891808,Incidence,25.1965130774737,10.2,13165.08362497,82.5,2.6,27.23846153846154,3.207236396162113e-05
South Korea,2003,49606571,Oesophagus,1589,47070485.0,0.4808297102,Incidence,24.9988034168125,9.5,14672.8057539465,82.5,2.7,27.23846153846154,3.203204672219735e-05
South Korea,2004,49606571,Oesophagus,1603,47176555.0,0.4733766849,Incidence,24.756436615214,9.3,16496.1316167114,82.5,2.8,27.23846153846154,3.231426739816384e-05
South Korea,2005,49606571,Oesophagus,1680,47297794.0,0.480829522,Incidence,24.4744057935641,9.0,19402.5026259549,77.0,3.0,30.9,3.386648111597957e-05
South Korea,2006,49606571,Oesophagus,1661,47424810.0,0.4575971578,Incidence,23.9837806396341,9.0,21743.4774514254,82.5,3.1,27.23846153846154,3.348346734145361e-05
South Korea,2007,49606571,Oesophagus,1662,47580081.0,0.4381673653,Incidence,23.2554477166084,9.1,24086.4104391677,82.5,3.3,29.4,3.3503625961165504e-05
South Korea,2008,49606571,Oesophagus,1764,47752161.0,0.4474194233,Incidence,22.504125458493,9.1,21350.427979823,82.5,3.4,27.23846153846154,3.555980517177855e-05
South Korea,2009,49606571,Oesophagus,1719,47886657.0,0.4221867305,Incidence,21.9445322992938,9.1,19143.8516053025,82.5,3.6,27.23846153846154,3.4652667284743384e-05
South Korea,2010,48813042,Oesophagus,1758,47972948.0,0.4156874366,Incidence,21.7913866730167,8.9,23079.2601257735,82.0,3.7,27.0,3.601496501693134e-05
South Korea,2011,49606571,Oesophagus,1756,48062306.0,0.4035707002,Incidence,24.8830450375162,8.9,25097.595426845,82.5,3.9,27.23846153846154,3.539853621408341e-05
South Korea,2012,49606571,Oesophagus,1810,48154896.0,0.3965325033,Incidence,25.5767916080653,8.9,25459.1689000965,82.5,4.1,27.23846153846154,3.648710167852561e-05
South Korea,2013,49606571,Oesophagus,1795,48220936.0,0.3788570534,Incidence,27.4929658439861,8.6,27179.5170146052,82.5,4.3,27.23846153846154,3.618472238284722e-05
South Korea,2014,49606571,Oesophagus,1801,48260086.0,0.3723586383,Incidence,28.3760075385872,8.4,29252.9312377352,82.5,4.5,27.23846153846154,3.630567410111858e-05
South Korea,2015,50994401,Oesophagus,1786,48286028.0,0.361121662,Incidence,26.2899620146574,8.1,28737.4391706499,86.0,4.7,23.8,3.502345286887476e-05
South Korea,2016,49606571,Oesophagus,1837,48283163.0,0.3520715306,Incidence,26.6704344134095,8.0,29280.4403170048,82.5,4.9,27.23846153846154,3.703138441074671e-05
South Korea,2017,49606571,Oesophagus,1837,48192375.0,0.3429541307,Incidence,26.0043671138493,7.9,31600.7358741365,88.0,5.2,27.23846153846154,3.703138441074671e-05
South Korea,2000,46788591,Stomach,17769,46450500.0,5.03607685,Incidence,25.4379884924397,10.4,12257.0206622345,73.0,2.3,35.2,0.0003797720687934
South Korea,2001,49606571,Stomach,19140,46751188.0,5.216635919,Incidence,25.3445724763114,10.4,11561.2071745115,82.5,2.5,27.23846153846154,0.0003858359812856
South Korea,2002,49606571,Stomach,19342,46949739.0,5.154884261,Incidence,25.1965130774737,10.2,13165.08362497,82.5,2.6,27.23846153846154,0.0003899080224674
South Korea,2003,49606571,Stomach,20231,47070485.0,5.177036388,Incidence,24.9988034168125,9.5,14672.8057539465,82.5,2.7,27.23846153846154,0.0004078290353912
South Korea,2004,49606571,Stomach,19878,47176555.0,4.919649183,Incidence,24.756436615214,9.3,16496.1316167114,82.5,2.8,27.23846153846154,0.000400713042633
South Korea,2005,49606571,Stomach,22041,47297794.0,5.285236774,Incidence,24.4744057935641,9.0,19402.5026259549,77.0,3.0,30.9,0.0004443161370698
South Korea,2006,49606571,Stomach,21959,47424810.0,5.095705329,Incidence,23.9837806396341,9.0,21743.4774514254,82.5,3.1,27.23846153846154,0.0004426631302534
South Korea,2007,49606571,Stomach,22062,47580081.0,4.944850957,Incidence,23.2554477166084,9.1,24086.4104391677,82.5,3.3,29.4,0.0004447394680837
South Korea,2008,49606571,Stomach,23498,47752161.0,5.088685986,Incidence,22.504125458493,9.1,21350.427979823,82.5,3.4,27.23846153846154,0.00047368724599
South Korea,2009,49606571,Stomach,24737,47886657.0,5.179039528,Incidence,21.9445322992938,9.1,19143.8516053025,82.5,3.6,27.23846153846154,0.000498663775813
South Korea,2010,48813042,Stomach,24802,47972948.0,5.039345072,Incidence,21.7913866730167,8.9,23079.2601257735,82.0,3.7,27.0,0.0005081019125995
South Korea,2011,49606571,Stomach,25735,48062306.0,5.080797287,Incidence,24.8830450375162,8.9,25097.595426845,82.5,3.9,27.23846153846154,0.0005187820782855
South Korea,2012,49606571,Stomach,24719,48154896.0,4.777956799,Incidence,25.5767916080653,8.9,25459.1689000965,82.5,4.1,27.23846153846154,0.0004983009206582
South Korea,2013,49606571,Stomach,23902,48220936.0,4.496740936,Incidence,27.4929658439861,8.6,27179.5170146052,82.5,4.3,27.23846153846154,0.0004818313283536
South Korea,2014,49606571,Stomach,23424,48260086.0,4.288426712,Incidence,28.3760075385872,8.4,29252.9312377352,82.5,4.5,27.23846153846154,0.0004721955081313
South Korea,2015,50994401,Stomach,22653,48286028.0,4.056252059,Incidence,26.2899620146574,8.1,28737.4391706499,86.0,4.7,23.8,0.0004442252395512
South Korea,2016,49606571,Stomach,23484,48283163.0,4.08209221,Incidence,26.6704344134095,8.0,29280.4403170048,82.5,4.9,27.23846153846154,0.000473405025314
South Korea,2017,49606571,Stomach,22721,48192375.0,3.862784331,Incidence,26.0043671138493,7.9,31600.7358741365,88.0,5.2,27.23846153846154,0.0004580239984739
South Korea,2000,46788591,Colon,4167,46450500.0,1.241343455,Incidence,25.4379884924397,10.4,12257.0206622345,73.0,2.3,35.2,8.906017281007672e-05
South Korea,2001,49606571,Colon,4754,46751188.0,1.364607396,Incidence,25.3445724763114,10.4,11561.2071745115,82.5,2.5,27.23846153846154,9.583407811033744e-05
South Korea,2002,49606571,Colon,5307,46949739.0,1.47705917,Incidence,25.1965130774737,10.2,13165.08362497,82.5,2.6,27.23846153846154,0.000106981794811
South Korea,2003,49606571,Colon,6121,47070485.0,1.674234783,Incidence,24.9988034168125,9.5,14672.8057539465,82.5,2.7,27.23846153846154,0.0001233909112564
South Korea,2004,49606571,Colon,6881,47176555.0,1.805580395,Incidence,24.756436615214,9.3,16496.1316167114,82.5,2.8,27.23846153846154,0.0001387114622375
South Korea,2005,49606571,Colon,7770,47297794.0,1.966266297,Incidence,24.4744057935641,9.0,19402.5026259549,77.0,3.0,30.9,0.0001566324751614
South Korea,2006,49606571,Colon,8670,47424810.0,2.114846773,Incidence,23.9837806396341,9.0,21743.4774514254,82.5,3.1,27.23846153846154,0.0001747752329021
South Korea,2007,49606571,Colon,9542,47580081.0,2.260572047,Incidence,23.2554477166084,9.1,24086.4104391677,82.5,3.3,29.4,0.0001923535492908
