country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
Spain,2000,40741651,Head and neck,1093,6771329.0,1.426490542,Incidence,16.0217993612102,11.4,14743.2671031455,69.0,19.8,35.0,2.682758241682449e-05
Spain,2001,45301746,Head and neck,1048,6868875.0,1.339430786,Incidence,15.8475793759903,11.4,15368.2337984435,78.9090909090909,20.2,31.707692307692312,2.313376625465431e-05
Spain,2002,45301746,Head and neck,1081,6994817.0,1.366405308,Incidence,15.5644729498625,11.2,17111.0685058941,78.9090909090909,20.6,31.707692307692312,2.3862215001222625e-05
Spain,2003,45301746,Head and neck,1021,7105227.0,1.264661709,Incidence,15.2122004417795,10.9,21522.0170990262,78.9090909090909,21.0,31.707692307692312,2.253776273473478e-05
Spain,2004,45301746,Head and neck,1032,7216222.0,1.261388098,Incidence,14.8304822106943,11.4,24925.0267844576,78.9090909090909,21.3,31.707692307692312,2.2780578983590884e-05
Spain,2005,45301746,Head and neck,990,7350965.0,1.200356499,Incidence,14.4590386155595,11.7,26450.9530130382,74.0,21.5,33.3,2.185346239704939e-05
Spain,2006,45301746,Head and neck,994,7464555.0,1.188251911,Incidence,14.0220409091183,11.6,28421.686527407,78.9090909090909,21.7,31.707692307692312,2.194175921481525e-05
Spain,2007,45301746,Head and neck,977,7588800.0,1.129211735,Incidence,13.490557436925,11.1,32652.015594702,78.9090909090909,21.8,32.8,2.1566497739310363e-05
Spain,2008,45301746,Head and neck,957,7709615.0,1.106607783,Incidence,12.9746541971488,10.4,35603.248328071,78.9090909090909,21.9,31.707692307692312,2.112501365048108e-05
Spain,2009,45301746,Head and neck,1027,7777065.0,1.148481159,Incidence,12.584397187959,9.7,32279.8208476151,78.9090909090909,21.9,31.707692307692312,2.267020796138356e-05
Spain,2010,46572772,Head and neck,996,7806003.0,1.114128753,Incidence,12.4298524075247,9.1,30658.7422282912,78.0,21.9,31.7,2.1385886156830003e-05
Spain,2011,45301746,Head and neck,974,7812394.0,1.078880407,Incidence,13.4200482874381,8.6,31824.6219134777,78.9090909090909,21.8,31.707692307692312,2.150027512598597e-05
Spain,2012,45301746,Head and neck,999,7805989.0,1.092963365,Incidence,12.0395432976255,8.5,28456.4438151477,78.9090909090909,21.7,31.707692307692312,2.205213023702257e-05
Spain,2013,45301746,Head and neck,999,7778785.0,1.069313234,Incidence,11.2505956077366,8.2,29218.9105170888,78.9090909090909,21.5,31.707692307692312,2.205213023702257e-05
Spain,2014,45301746,Head and neck,947,7743536.0,1.025477514,Incidence,10.5798592110443,8.8,29694.8874886229,78.9090909090909,21.3,31.707692307692312,2.090427160606644e-05
Spain,2015,46431342,Head and neck,952,7735752.0,0.9849689404,Incidence,11.2555313002962,9.6,25969.8383138327,85.0,21.1,30.3,2.05033918683634e-05
Spain,2016,45301746,Head and neck,990,7722552.0,1.027374516,Incidence,10.338836110853,10.7,26740.6851818829,78.9090909090909,20.8,31.707692307692312,2.185346239704939e-05
Spain,2000,40741651,Oesophagus,329,6771329.0,0.4425002853,Incidence,16.0217993612102,11.4,14743.2671031455,69.0,19.8,35.0,8.07527412180719e-06
