country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
Türkiye,2000,64113547,Head and neck,180,4685366.0,0.4985550519,Incidence,22.4972966388602,1.6,4192.44316738494,57.0,21.9,33.8,2.8075189787893032e-06
Türkiye,2001,72318357,Head and neck,208,4764098.0,0.590565098,Incidence,22.393302857514,1.6,3045.55413956926,68.0,22.6,32.46,2.87617155017396e-06
Türkiye,2002,72318357,Head and neck,215,4839753.0,0.5624821957,Incidence,22.1453932674278,1.6,3583.19745897158,68.0,23.2,32.46,2.9729657850355835e-06
Türkiye,2003,72318357,Head and neck,226,4914458.0,0.576262272,Incidence,21.8495187095391,1.5,4637.88218501529,68.0,23.8,32.46,3.1250710112467063e-06
Türkiye,2004,72318357,Head and neck,232,5016763.0,0.5768067162,Incidence,21.6016300247851,1.4,5960.77898909049,68.0,24.4,32.46,3.208037498270955e-06
Türkiye,2005,72318357,Head and neck,212,5127296.0,0.5005986101,Incidence,21.4976780541033,1.3,7303.01388860245,64.0,25.0,32.8,2.931482541523459e-06
Türkiye,2006,72318357,Head and neck,208,5225571.0,0.4563416642,Incidence,21.8239657844295,1.3,7953.07848024969,68.0,25.5,32.46,2.87617155017396e-06
Türkiye,2007,72318357,Head and neck,254,5281382.0,0.5692876705,Incidence,22.6020633334284,1.3,9711.22376120832,68.0,26.1,32.4,3.512247950693201e-06
Türkiye,2008,72318357,Head and neck,242,5493054.0,0.5332455535,Incidence,23.5308222381306,1.4,10843.5036940489,68.0,26.6,32.46,3.346314976644703e-06
Türkiye,2009,72318357,Head and neck,297,5615754.0,0.6073274508,Incidence,24.3090940355664,1.4,9012.99945793034,68.0,27.1,32.46,4.106841107700318e-06
Türkiye,2010,73195345,Head and neck,267,5747809.0,0.5355823194,Incidence,24.6357302627663,1.4,10622.7020439723,66.0,27.6,32.0,3.6477729560534217e-06
Türkiye,2011,72318357,Head and neck,291,5821681.0,0.534715686,Incidence,23.7473685846179,1.5,11300.7852215681,68.0,28.2,32.46,4.023874620676069e-06
Türkiye,2012,72318357,Head and neck,264,5903521.0,0.468843514,Incidence,23.2440162263121,1.4,11713.2849831139,68.0,28.7,32.46,3.650525429066949e-06
Türkiye,2013,72318357,Head and neck,262,6015901.0,0.4754102753,Incidence,23.5023978223691,1.4,12578.1878632,68.0,29.1,32.46,3.6228699333921993e-06
Türkiye,2014,72318357,Head and neck,299,6123315.0,0.5183795651,Incidence,23.4874858374985,1.3,12165.220135038,68.0,29.6,32.46,4.1344966033750675e-06
Türkiye,2015,79646178,Head and neck,296,6234961.0,0.4967969054,Incidence,24.5603763797256,1.3,11049.9951100942,76.0,30.1,31.3,3.716436964495647e-06
Türkiye,2016,72318357,Head and neck,292,6324353.0,0.461652008,Incidence,23.83379270795,1.3,10970.0458948862,68.0,30.7,32.46,4.037702368513444e-06
Türkiye,2017,72318357,Head and neck,324,6407364.0,0.5017670469,Incidence,22.1031402126985,1.3,10695.550196231,77.0,31.3,32.46,4.480190299309438e-06
Türkiye,2000,64113547,Oesophagus,64,4685366.0,0.2062173909,Incidence,22.4972966388602,1.6,4192.44316738494,57.0,21.9,33.8,9.982289702361967e-07
Türkiye,2001,72318357,Oesophagus,70,4764098.0,0.2183720023,Incidence,22.393302857514,1.6,3045.55413956926,68.0,22.6,32.46,9.679423486162366e-07
Türkiye,2002,72318357,Oesophagus,73,4839753.0,0.2336748778,Incidence,22.1453932674278,1.6,3583.19745897158,68.0,23.2,32.46,1.009425592128361e-06
Türkiye,2003,72318357,Oesophagus,74,4914458.0,0.1985985588,Incidence,21.8495187095391,1.5,4637.88218501529,68.0,23.8,32.46,1.0232533399657358e-06
Türkiye,2004,72318357,Oesophagus,79,5016763.0,0.2185222917,Incidence,21.6016300247851,1.4,5960.77898909049,68.0,24.4,32.46,1.0923920791526098e-06
Türkiye,2005,72318357,Oesophagus,74,5127296.0,0.1996203517,Incidence,21.4976780541033,1.3,7303.01388860245,64.0,25.0,32.8,1.0232533399657358e-06
Türkiye,2006,72318357,Oesophagus,88,5225571.0,0.2156351585,Incidence,21.8239657844295,1.3,7953.07848024969,68.0,25.5,32.46,1.216841809688983e-06
Türkiye,2007,72318357,Oesophagus,84,5281382.0,0.2035022189,Incidence,22.6020633334284,1.3,9711.22376120832,68.0,26.1,32.4,1.1615308183394838e-06
Türkiye,2008,72318357,Oesophagus,83,5493054.0,0.2118270903,Incidence,23.5308222381306,1.4,10843.5036940489,68.0,26.6,32.46,1.147703070502109e-06
Türkiye,2009,72318357,Oesophagus,102,5615754.0,0.2278782756,Incidence,24.3090940355664,1.4,9012.99945793034,68.0,27.1,32.46,1.4104302794122303e-06
Türkiye,2010,73195345,Oesophagus,91,5747809.0,0.2018564767,Incidence,24.6357302627663,1.4,10622.7020439723,66.0,27.6,32.0,1.2432484606773833e-06
Türkiye,2011,72318357,Oesophagus,69,5821681.0,0.148169671,Incidence,23.7473685846179,1.5,11300.7852215681,68.0,28.2,32.46,9.541146007788615e-07
Türkiye,2012,72318357,Oesophagus,91,5903521.0,0.1803247268,Incidence,23.2440162263121,1.4,11713.2849831139,68.0,28.7,32.46,1.2583250532011077e-06
Türkiye,2013,72318357,Oesophagus,101,6015901.0,0.2023862618,Incidence,23.5023978223691,1.4,12578.1878632,68.0,29.1,32.46,1.3966025315748555e-06
Türkiye,2014,72318357,Oesophagus,89,6123315.0,0.1571042536,Incidence,23.4874858374985,1.3,12165.220135038,68.0,29.6,32.46,1.2306695575263578e-06
Türkiye,2015,79646178,Oesophagus,104,6234961.0,0.2011526239,Incidence,24.5603763797256,1.3,11049.9951100942,76.0,30.1,31.3,1.30577514968766e-06
Türkiye,2016,72318357,Oesophagus,89,6324353.0,0.1680793471,Incidence,23.83379270795,1.3,10970.0458948862,68.0,30.7,32.46,1.2306695575263578e-06
Türkiye,2017,72318357,Oesophagus,93,6407364.0,0.1560554558,Incidence,22.1031402126985,1.3,10695.550196231,77.0,31.3,32.46,1.285980548875857e-06
Türkiye,2000,64113547,Stomach,366,4685366.0,1.146675705,Incidence,22.4972966388602,1.6,4192.44316738494,57.0,21.9,33.8,5.70862192353825e-06
Türkiye,2001,72318357,Stomach,357,4764098.0,1.072872237,Incidence,22.393302857514,1.6,3045.55413956926,68.0,22.6,32.46,4.936505977942806e-06
Türkiye,2002,72318357,Stomach,381,4839753.0,1.059633615,Incidence,22.1453932674278,1.6,3583.19745897158,68.0,23.2,32.46,5.2683719260398015e-06
Türkiye,2003,72318357,Stomach,365,4914458.0,1.072317517,Incidence,21.8495187095391,1.5,4637.88218501529,68.0,23.8,32.46,5.047127960641805e-06
Türkiye,2004,72318357,Stomach,422,5016763.0,1.170123262,Incidence,21.6016300247851,1.4,5960.77898909049,68.0,24.4,32.46,5.8353095873721685e-06
Türkiye,2005,72318357,Stomach,440,5127296.0,1.157608241,Incidence,21.4976780541033,1.3,7303.01388860245,64.0,25.0,32.8,6.084209048444915e-06
Türkiye,2006,72318357,Stomach,442,5225571.0,1.157906777,Incidence,21.8239657844295,1.3,7953.07848024969,68.0,25.5,32.46,6.111864544119665e-06
Türkiye,2007,72318357,Stomach,466,5281382.0,1.213363156,Incidence,22.6020633334284,1.3,9711.22376120832,68.0,26.1,32.4,6.44373049221666e-06
Türkiye,2008,72318357,Stomach,484,5493054.0,1.219465918,Incidence,23.5308222381306,1.4,10843.5036940489,68.0,26.6,32.46,6.692629953289406e-06
Türkiye,2009,72318357,Stomach,474,5615754.0,1.130226058,Incidence,24.3090940355664,1.4,9012.99945793034,68.0,27.1,32.46,6.554352474915658e-06
Türkiye,2010,73195345,Stomach,491,5747809.0,1.100791528,Incidence,24.6357302627663,1.4,10622.7020439723,66.0,27.6,32.0,6.708076859259288e-06
Türkiye,2011,72318357,Stomach,530,5821681.0,1.121766961,Incidence,23.7473685846179,1.5,11300.7852215681,68.0,28.2,32.46,7.328706353808647e-06
Türkiye,2012,72318357,Stomach,498,5903521.0,1.016859687,Incidence,23.2440162263121,1.4,11713.2849831139,68.0,28.7,32.46,6.886218423012654e-06
Türkiye,2013,72318357,Stomach,566,6015901.0,1.107907974,Incidence,23.5023978223691,1.4,12578.1878632,68.0,29.1,32.46,7.826505275954141e-06
Türkiye,2014,72318357,Stomach,587,6123315.0,1.08151467,Incidence,23.4874858374985,1.3,12165.220135038,68.0,29.6,32.46,8.116887980539012e-06
Türkiye,2015,79646178,Stomach,574,6234961.0,1.055060661,Incidence,24.5603763797256,1.3,11049.9951100942,76.0,30.1,31.3,7.206874383853045e-06
Türkiye,2016,72318357,Stomach,579,6324353.0,1.014567955,Incidence,23.83379270795,1.3,10970.0458948862,68.0,30.7,32.46,8.006265997840014e-06
Türkiye,2017,72318357,Stomach,594,6407364.0,0.9872969189,Incidence,22.1031402126985,1.3,10695.550196231,77.0,31.3,32.46,8.213682215400636e-06
Türkiye,2000,64113547,Colon,302,4685366.0,0.9341001613,Incidence,22.4972966388602,1.6,4192.44316738494,57.0,21.9,33.8,4.710392953302054e-06
Türkiye,2001,72318357,Colon,302,4764098.0,0.9099063466,Incidence,22.393302857514,1.6,3045.55413956926,68.0,22.6,32.46,4.175979846887192e-06
Türkiye,2002,72318357,Colon,336,4839753.0,0.9768794981,Incidence,22.1453932674278,1.6,3583.19745897158,68.0,23.2,32.46,4.646123273357935e-06
Türkiye,2003,72318357,Colon,346,4914458.0,1.03848045,Incidence,21.8495187095391,1.5,4637.88218501529,68.0,23.8,32.46,4.784400751731683e-06
Türkiye,2004,72318357,Colon,392,5016763.0,1.096371566,Incidence,21.6016300247851,1.4,5960.77898909049,68.0,24.4,32.46,5.420477152250924e-06
Türkiye,2005,72318357,Colon,400,5127296.0,1.082875451,Incidence,21.4976780541033,1.3,7303.01388860245,64.0,25.0,32.8,5.531099134949923e-06
Türkiye,2006,72318357,Colon,452,5225571.0,1.223794214,Incidence,21.8239657844295,1.3,7953.07848024969,68.0,25.5,32.46,6.250142022493413e-06
Türkiye,2007,72318357,Colon,465,5281382.0,1.19561499,Incidence,22.6020633334284,1.3,9711.22376120832,68.0,26.1,32.4,6.429902744379285e-06
Türkiye,2008,72318357,Colon,481,5493054.0,1.252088688,Incidence,23.5308222381306,1.4,10843.5036940489,68.0,26.6,32.46,6.651146709777282e-06
Türkiye,2009,72318357,Colon,532,5615754.0,1.284137432,Incidence,24.3090940355664,1.4,9012.99945793034,68.0,27.1,32.46,7.356361849483397e-06
Türkiye,2010,73195345,Colon,517,5747809.0,1.165724845,Incidence,24.6357302627663,1.4,10622.7020439723,66.0,27.6,32.0,7.063290705167111e-06
Türkiye,2011,72318357,Colon,590,5821681.0,1.30902118,Incidence,23.7473685846179,1.5,11300.7852215681,68.0,28.2,32.46,8.158371224051137e-06
Türkiye,2012,72318357,Colon,620,5903521.0,1.333637102,Incidence,23.2440162263121,1.4,11713.2849831139,68.0,28.7,32.46,8.57320365917238e-06
