country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
Uganda,2000,24020697,Head and neck,32,1522561.0,0.7741091311,Incidence,33.2213088306491,14.0,258.050338731086,22.0,1.6,25.8,1.3321844907331373e-06
Uganda,2001,31279927,Head and neck,30,1591434.0,0.4399761375,Incidence,32.9681223741883,14.0,236.021188853993,35.0,1.7,17.580000000000002,9.590815221531687e-07
Uganda,2002,31279927,Head and neck,32,1663631.0,0.4446361216,Incidence,32.364309878136,13.7,241.984688408335,35.0,1.9,17.580000000000002,1.0230202902967132e-06
Uganda,2003,31279927,Head and neck,24,1725172.0,0.5949618555,Incidence,31.6434916524877,13.4,250.71543664681,35.0,2.0,17.580000000000002,7.67265217722535e-07
Uganda,2004,31279927,Head and neck,28,1789299.0,0.7704357927,Incidence,31.0392880072388,13.2,292.38185796262,35.0,2.1,17.580000000000002,8.951427540096241e-07
Uganda,2005,31279927,Head and neck,39,1856106.0,0.7227088601,Incidence,30.7853192523847,13.1,330.405402707025,28.0,2.3,19.3,1.2468059787991194e-06
Uganda,2006,31279927,Head and neck,42,1925714.0,0.7619106617,Incidence,30.8486426919378,13.0,346.518255310647,35.0,2.4,17.580000000000002,1.3427141310144362e-06
Uganda,2007,31279927,Head and neck,31,1998253.0,0.8163878948,Incidence,31.0457522951455,11.5,401.389130865581,35.0,2.6,17.2,9.91050906224941e-07
Uganda,2008,31279927,Head and neck,58,2073860.0,0.9344529975,Incidence,31.3844233698563,10.0,472.842681495852,35.0,2.7,17.580000000000002,1.8542242761627929e-06
Uganda,2009,31279927,Head and neck,47,2152680.0,1.086971598,Incidence,31.8724312239187,8.7,798.947089938247,35.0,2.9,17.580000000000002,1.5025610513732977e-06
Uganda,2010,32341728,Head and neck,45,2234843.0,0.6040855174,Incidence,32.517551165181,8.6,823.488144282,36.0,3.1,14.6,1.3913913319659358e-06
Uganda,2011,31279927,Head and neck,43,2320522.0,0.4000450321,Incidence,35.0271400705232,8.5,835.620060555838,35.0,3.3,17.580000000000002,1.3746835150862084e-06
Uganda,2012,31279927,Head and neck,70,2409869.0,1.01944318,Incidence,35.8905665839316,8.1,795.222867553127,35.0,3.5,17.580000000000002,2.2378568850240604e-06
Uganda,2013,31279927,Head and neck,60,2503059.0,0.8590557255,Incidence,34.8200496489628,7.9,818.285427416713,35.0,3.7,17.580000000000002,1.9181630443063374e-06
Uganda,2014,31279927,Head and neck,65,2600278.0,0.823453757,Incidence,34.111616669843,7.8,896.054795546394,35.0,3.9,17.580000000000002,2.0780099646651987e-06
Uganda,2015,37477356,Head and neck,79,2678321.0,1.100462842,Incidence,36.4158643204587,7.7,862.934610355811,43.0,4.2,11.0,2.1079395248693637e-06
Uganda,2016,31279927,Head and neck,76,2756374.0,0.9788724997,Incidence,35.1867637433366,7.3,752.696571725656,35.0,4.5,17.580000000000002,2.429673189454694e-06
Uganda,2017,31279927,Head and neck,52,2834429.0,0.518186809,Incidence,32.2396992843572,7.0,765.218332297361,46.0,4.8,17.580000000000002,1.6624079717321592e-06
Uganda,2000,24020697,Oesophagus,33,1522561.0,1.366716453,Incidence,33.2213088306491,14.0,258.050338731086,22.0,1.6,25.8,1.3738152560685478e-06
Uganda,2001,31279927,Oesophagus,37,1591434.0,1.362973128,Incidence,32.9681223741883,14.0,236.021188853993,35.0,1.7,17.580000000000002,1.1828672106555747e-06
Uganda,2002,31279927,Oesophagus,44,1663631.0,1.761985652,Incidence,32.364309878136,13.7,241.984688408335,35.0,1.9,17.580000000000002,1.406652899157981e-06
Uganda,2003,31279927,Oesophagus,46,1725172.0,2.037849193,Incidence,31.6434916524877,13.4,250.71543664681,35.0,2.0,17.580000000000002,1.4705916673015254e-06
Uganda,2004,31279927,Oesophagus,41,1789299.0,1.73937643,Incidence,31.0392880072388,13.2,292.38185796262,35.0,2.1,17.580000000000002,1.310744746942664e-06
Uganda,2005,31279927,Oesophagus,28,1856106.0,1.096790517,Incidence,30.7853192523847,13.1,330.405402707025,28.0,2.3,19.3,8.951427540096241e-07
Uganda,2006,31279927,Oesophagus,64,1925714.0,2.415304875,Incidence,30.8486426919378,13.0,346.518255310647,35.0,2.4,17.580000000000002,2.0460405805934264e-06
Uganda,2007,31279927,Oesophagus,74,1998253.0,2.4171952,Incidence,31.0457522951455,11.5,401.389130865581,35.0,2.6,17.2,2.3657344213111494e-06
Uganda,2008,31279927,Oesophagus,69,2073860.0,2.111096946,Incidence,31.3844233698563,10.0,472.842681495852,35.0,2.7,17.580000000000002,2.205887500952288e-06
Uganda,2009,31279927,Oesophagus,57,2152680.0,1.696637192,Incidence,31.8724312239187,8.7,798.947089938247,35.0,2.9,17.580000000000002,1.8222548920910208e-06
Uganda,2010,32341728,Oesophagus,93,2234843.0,2.597771248,Incidence,32.517551165181,8.6,823.488144282,36.0,3.1,14.6,2.875542086062934e-06
Uganda,2011,31279927,Oesophagus,72,2320522.0,2.069248623,Incidence,35.0271400705232,8.5,835.620060555838,35.0,3.3,17.580000000000002,2.301795653167605e-06
Uganda,2012,31279927,Oesophagus,85,2409869.0,2.198628005,Incidence,35.8905665839316,8.1,795.222867553127,35.0,3.5,17.580000000000002,2.7173976461006446e-06
Uganda,2013,31279927,Oesophagus,86,2503059.0,2.389169296,Incidence,34.8200496489628,7.9,818.285427416713,35.0,3.7,17.580000000000002,2.749367030172417e-06
Uganda,2014,31279927,Oesophagus,87,2600278.0,1.838740922,Incidence,34.111616669843,7.8,896.054795546394,35.0,3.9,17.580000000000002,2.781336414244189e-06
Uganda,2015,37477356,Oesophagus,129,2678321.0,2.753810164,Incidence,36.4158643204587,7.7,862.934610355811,43.0,4.2,11.0,3.4420784646601e-06
Uganda,2016,31279927,Oesophagus,91,2756374.0,2.020966364,Incidence,35.1867637433366,7.3,752.696571725656,35.0,4.5,17.580000000000002,2.9092139505312786e-06
Uganda,2017,31279927,Oesophagus,98,2834429.0,1.852559208,Incidence,32.2396992843572,7.0,765.218332297361,46.0,4.8,17.580000000000002,3.1329996390336844e-06
Uganda,2000,24020697,Stomach,31,1522561.0,1.285303804,Incidence,33.2213088306491,14.0,258.050338731086,22.0,1.6,25.8,1.2905537253977268e-06
