country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
Uruguay,2000,3292224,Head and neck,99,3088472.0,0.3398501991,Mortality,12.9448464771497,6.6,6987.70098766257,65.0,18.4,35.4,3.0070857876013295e-05
Uruguay,2001,3379915,Head and neck,93,3092073.0,0.3248251299,Mortality,12.7668375831259,6.6,6382.76104740859,77.28571428571429,19.0,26.4375,2.7515488113220375e-05
Uruguay,2002,3379915,Head and neck,89,3092159.0,0.3004892246,Mortality,12.4965101043769,6.0,4149.76140312687,77.28571428571429,19.6,26.4375,2.6332026258888315e-05
Uruguay,2003,3379915,Head and neck,103,3090289.0,0.3564131869,Mortality,12.1726329405196,5.7,3671.12329256883,77.28571428571429,20.2,26.4375,3.047414274905052e-05
Uruguay,2004,3379915,Head and neck,121,3088304.0,0.4134305278,Mortality,11.8339749911707,5.7,4168.66065438387,77.28571428571429,20.8,26.4375,3.579972109354479e-05
Uruguay,2005,3379915,Head and neck,114,3086805.0,0.3942852476,Mortality,11.5193051559469,6.1,5284.25677987129,70.0,21.5,31.3,3.3728662848463685e-05
Uruguay,2006,3379915,Head and neck,81,3086222.0,0.2765829929,Mortality,11.1823625429671,6.2,6001.33294783172,77.28571428571429,22.1,26.4375,2.3965102550224197e-05
Uruguay,2007,3379915,Head and neck,98,3087516.0,0.3296837099,Mortality,10.7966309010516,6.1,7222.05403645877,77.28571428571429,22.7,29.8,2.899481543113545e-05
Uruguay,2008,3379915,Head and neck,103,3090078.0,0.3450535876,Mortality,10.4304960908687,6.1,9423.96562595893,77.28571428571429,23.4,26.4375,3.047414274905052e-05
Uruguay,2009,3379915,Head and neck,88,3093401.0,0.2978665443,Mortality,10.1523439730869,6.0,9881.39573127081,77.28571428571429,24.1,26.4375,2.60361607953053e-05
Uruguay,2010,3352651,Head and neck,81,3097341.0,0.2698942487,Mortality,10.0305604083746,6.0,12641.0576849008,78.0,24.7,27.6,2.4159985635248047e-05
Uruguay,2011,3379915,Head and neck,78,3101929.0,0.2651543235,Mortality,10.0509517421341,5.6,15132.2675725587,77.28571428571429,25.5,26.4375,2.3077506159475152e-05
Uruguay,2012,3379915,Head and neck,82,3106520.0,0.2786506547,Mortality,9.71687395840984,5.4,16259.5940814256,77.28571428571429,26.2,26.4375,2.4260968013807212e-05
Uruguay,2013,3379915,Head and neck,79,3112841.0,0.2589558224,Mortality,10.8314475554018,5.4,18335.2594772322,77.28571428571429,27.0,26.4375,2.3373371623058167e-05
