country_name,year,population,cancer_name,new_cases/deaths,total_cases,cumulative_risk,measure,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,rate
Australia,2014,22695275,Head and neck,2908,21968686.0,1.157202591,Incidence,7.38760302103561,9.9,62544.0873773726,84.83333333333333,27.7,18.47692307692308,0.000128132399014
Argentina,2014,42333071,Head and neck,56,1727422.0,0.3758369608,Incidence,13.9500593062949,8.2,12233.1444119186,76.63636363636364,28.1,28.508333333333336,1.322842829736292e-06
France (metropolitan),2014,62368282,Head and neck,1260,6758326.0,1.429606551,Incidence,10.687674674804,11.9,43148.0459288416,82.58333333333333,12.7,34.52307692307692,2.0202576566467452e-05
USA,2014,313826276,Head and neck,3062,28274617.0,0.9494149086,Incidence,8.5101265108009,8.8,55304.3155317137,83.08333333333333,38.6,27.884615384615383,9.756990512676996e-06
Canada,2014,34637592,Head and neck,2748,24542445.0,0.9135112541,Incidence,7.38092988336422,8.1,50960.8431174661,84.5,26.0,19.638461538461534,7.933576964108655e-05
Chile,2014,17107498,Head and neck,4,372255.0,0.1168244917,Incidence,23.0317537681692,7.7,14529.6767210362,76.5,31.8,38.3,2.3381560725023787e-07
Belarus,2014,9896173,Head and neck,1333,8809789.0,1.183405131,Incidence,19.3974713758219,11.2,8341.29014337961,67.2,24.7,38.06,0.0001346985344738
The Netherlands,2014,16764161,Head and neck,1748,15574808.0,0.8875536942,Incidence,12.61325866781,8.4,53457.2234864322,81.16666666666667,16.0,27.646153846153844,0.0001042700564038
Bahrain,2014,1095743,Head and neck,14,621422.0,0.2933609681,Incidence,59.1499735070702,1.9,26451.7965647453,67.8,32.3,19.3,1.2776718628364495e-05
Türkiye,2014,72318357,Head and neck,299,6123315.0,0.5183795651,Incidence,23.4874858374985,1.3,12165.220135038,68.0,29.6,32.46,4.1344966033750675e-06
South Korea,2014,49606571,Head and neck,2727,48260086.0,0.4833184776,Incidence,28.3760075385872,8.4,29252.9312377352,82.5,4.5,27.23846153846154,5.497255595433113e-05
Austria,2014,8484844,Head and neck,1055,7831835.0,1.016602257,Incidence,12.9541454673827,12.0,51314.9722616322,80.08333333333333,15.7,37.76923076923077,0.0001243393551
Colombia,2014,45669578,Head and neck,155,4128569.0,0.4349441891,Incidence,18.33821147907,4.2,8187.20824890084,71.81818181818181,19.1,11.590909090909092,3.393944201418779e-06
China,2014,1370953408,Head and neck,939,8358586.0,0.7159828348,Incidence,54.5688342973092,6.2,7636.07434020616,69.5,5.2,25.299999999999997,6.849248081813733e-07
Cyprus,2014,1153028,Head and neck,41,801412.0,0.4318822333,Incidence,16.1114833623758,7.8,27244.3515625,73.18181818181819,22.7,38.425,3.5558555524746397e-05
Croatia,2014,4348676,Head and neck,523,3879581.0,0.9817219041,Incidence,19.8289409065182,10.3,14187.9694531493,76.5,28.2,35.59166666666667,0.0001202664982081
Costa Rica,2014,4662164,Head and neck,129,4635332.0,0.3333275736,Incidence,17.5539609994868,3.1,10911.497878334,74.54545454545455,26.2,12.846153846153848,2.766955727743139e-05
Denmark,2014,5655440,Head and neck,813,5218680.0,1.172243698,Incidence,10.8104890765495,9.4,62520.4509747011,78.28571428571429,13.8,24.41249999999999,0.0001437553828699
Ecuador,2014,15414606,Head and neck,27,1765695.0,0.1874930457,Incidence,20.2791788990402,3.7,6405.79979300441,68.4192546583851,20.6,12.236676217765044,1.7515855063844592e-06
Estonia,2014,1342706,Head and neck,154,1196400.0,0.9679274459,Incidence,8.70767888073313,17.3,20581.7898991695,71.33333333333333,24.6,37.53846153846154,0.0001146938029225
Germany,2014,81946216,Head and neck,947,5631920.0,1.214383776,Incidence,12.2822480920893,11.1,48971.0824722599,85.5,23.9,29.119999999999997,1.1556360309229409e-05
India,2014,1281740062,Head and neck,2733,19677115.0,1.653279892,Incidence,79.0373957134889,3.0,1553.88396075118,50.0,4.5,39.875,2.1322576081997124e-06
Iceland,2014,334085,Head and neck,20,307844.0,0.6016237225,Incidence,5.78710561432072,7.2,54576.7448146565,85.42857142857143,20.3,17.5,5.986507609150497e-05
Finland,2014,5417831,Head and neck,479,4991363.0,0.7054390892,Incidence,6.11857316281583,8.8,50073.7760815871,83.14285714285714,22.2,28.8125,8.841176804561707e-05
Ireland,2014,4485977,Head and neck,379,4397573.0,0.8305694881,Incidence,8.84472665206141,10.7,57278.2590911107,78.58333333333333,27.3,27.03846153846154,8.448549309963621e-05
Italy,2014,59429615,Head and neck,214,2461510.0,0.6606201841,Incidence,16.8936828833708,7.4,35750.7197500382,80.45454545454545,19.7,24.29090909090909,3.600898326538031e-06
Israel,2014,7587770,Head and neck,309,7814330.0,0.4691310922,Incidence,21.175469715827,2.6,38230.4954049785,79.66666666666667,22.6,25.62307692307693,4.072342730472853e-05
Latvia,2014,2089967,Head and neck,220,1812668.0,0.9097168723,Incidence,16.0993170108535,10.6,15185.814581236,65.91666666666667,26.3,39.57692307692308,0.0001052648388583
Kuwait,2014,3275415,Head and neck,21,1243602.0,0.341632176,Incidence,50.028931868526,0.0,44368.781373043,76.08333333333333,41.2,20.26923076923077,6.411402037383282e-06
Lithuania,2014,3121896,Head and neck,319,2664167.0,0.8934508211,Incidence,12.7577404745041,14.3,16473.5678231709,64.66666666666667,27.8,37.06923076923077,0.0001021815112004
Japan,2014,127080744,Head and neck,1185,9863000.0,0.7982462503,Incidence,13.740610303435,6.5,38475.3952461838,78.9090909090909,3.9,26.583333333333332,9.324780125647247e-06
Malta,2014,437778,Head and neck,39,403302.0,0.7356184044,Incidence,13.4804864315632,7.7,27356.6080303021,80.83333333333333,33.2,29.09166666666667,8.908616198213774e-05
New Zealand,2014,4264065,Head and neck,354,4232500.0,0.7309489902,Incidence,6.59603176441408,8.9,44578.2253868016,81.6,30.9,22.880000000000003,8.301937884932013e-05
Norway,2014,4992640,Head and neck,460,4780005.5,0.8132207237,Incidence,7.09267324687363,6.1,97666.6951838749,82.25172413793103,17.8,27.794169096209913,9.213563107218816e-05
Philippines,2014,91875429,Head and neck,266,6516414.0,0.6682653595,Incidence,20.3368824432152,4.7,2866.83803767919,48.90909090909091,6.2,30.08,2.8952245658077436e-06
Poland,2014,38699421,Head and neck,100,1163553.0,0.6214660325,Incidence,23.433827803997,10.6,14262.2841914116,76.0,26.0,30.930769230769233,2.5840179632401544e-06
Qatar,2014,2064038,Head and neck,13,272709.0,0.9550683879,Incidence,75.1764824465315,1.0,95840.6310094498,66.5,36.7,12.575,6.298332128979184e-06
Slovenia,2014,2051802,Head and neck,296,1889715.0,1.14107299,Incidence,17.79704248843,10.6,24013.0682060959,78.27272727272727,18.9,23.418181818181814,0.0001442634227819
