country_id,country_name,cancer_id,cancer_name,year,new_cases/deaths,total_cases,cumulative_risk,measure
474,"France, Martinique",1,Head and neck,2000,29,364607.0,0.8529197453,Incidence
474,"France, Martinique",1,Head and neck,2001,36,366864.0,1.041523382,Incidence
474,"France, Martinique",1,Head and neck,2002,40,368834.0,1.091355054,Incidence
474,"France, Martinique",1,Head and neck,2003,31,370471.0,0.8882129855,Incidence
474,"France, Martinique",1,Head and neck,2004,26,371932.0,0.6267381235,Incidence
474,"France, Martinique",1,Head and neck,2005,32,372966.0,0.8164743683,Incidence
474,"France, Martinique",1,Head and neck,2006,30,374131.0,0.7645512384,Incidence
474,"France, Martinique",1,Head and neck,2007,38,374190.0,0.9853366383,Incidence
474,"France, Martinique",1,Head and neck,2008,37,371401.0,0.8993104228,Incidence
474,"France, Martinique",1,Head and neck,2009,32,369307.0,0.7095230256,Incidence
474,"France, Martinique",1,Head and neck,2010,30,365741.0,0.7287110152,Incidence
474,"France, Martinique",1,Head and neck,2011,23,362539.0,0.5169272512,Incidence
474,"France, Martinique",1,Head and neck,2012,31,357662.0,0.6598946419,Incidence
474,"France, Martinique",1,Head and neck,2013,44,352666.0,0.898477109,Incidence
474,"France, Martinique",1,Head and neck,2014,40,349504.0,0.806479504,Incidence
474,"France, Martinique",1,Head and neck,2015,33,344988.0,0.6748059764,Incidence
474,"France, Martinique",1,Head and neck,2016,26,339820.0,0.5261513035,Incidence
474,"France, Martinique",1,Head and neck,2017,38,334507.0,0.7532017555,Incidence
32,Argentina,1,Head and neck,2003,68,1541428.0,0.5446345611,Incidence
32,Argentina,1,Head and neck,2004,37,1556937.0,0.2700558866,Incidence
32,Argentina,1,Head and neck,2005,64,1572082.0,0.4845434255,Incidence
32,Argentina,1,Head and neck,2006,38,1578733.0,0.3062540002,Incidence
32,Argentina,1,Head and neck,2007,37,1598149.0,0.3009437805,Incidence
32,Argentina,1,Head and neck,2008,40,1617979.0,0.3292778728,Incidence
32,Argentina,1,Head and neck,2009,50,1639734.0,0.360035295,Incidence
32,Argentina,1,Head and neck,2010,32,1660957.0,0.2681331868,Incidence
32,Argentina,1,Head and neck,2011,41,1666840.0,0.2809060961,Incidence
32,Argentina,1,Head and neck,2012,43,1687331.0,0.3062509041,Incidence
32,Argentina,1,Head and neck,2013,59,1706802.0,0.3775877615,Incidence
32,Argentina,1,Head and neck,2014,56,1727422.0,0.3758369608,Incidence
32,Argentina,1,Head and neck,2015,50,1749411.0,0.3370496712,Incidence
32,Argentina,1,Head and neck,2016,46,1770279.0,0.3184381345,Incidence
32,Argentina,1,Head and neck,2017,50,1788503.0,0.3284163911,Incidence
792,Türkiye,1,Head and neck,2000,180,4685366.0,0.4985550519,Incidence
792,Türkiye,1,Head and neck,2001,208,4764098.0,0.590565098,Incidence
792,Türkiye,1,Head and neck,2002,215,4839753.0,0.5624821957,Incidence
792,Türkiye,1,Head and neck,2003,226,4914458.0,0.576262272,Incidence
792,Türkiye,1,Head and neck,2004,232,5016763.0,0.5768067162,Incidence
792,Türkiye,1,Head and neck,2005,212,5127296.0,0.5005986101,Incidence
792,Türkiye,1,Head and neck,2006,208,5225571.0,0.4563416642,Incidence
792,Türkiye,1,Head and neck,2007,254,5281382.0,0.5692876705,Incidence
792,Türkiye,1,Head and neck,2008,242,5493054.0,0.5332455535,Incidence
792,Türkiye,1,Head and neck,2009,297,5615754.0,0.6073274508,Incidence
792,Türkiye,1,Head and neck,2010,267,5747809.0,0.5355823194,Incidence
792,Türkiye,1,Head and neck,2011,291,5821681.0,0.534715686,Incidence
792,Türkiye,1,Head and neck,2012,264,5903521.0,0.468843514,Incidence
792,Türkiye,1,Head and neck,2013,262,6015901.0,0.4754102753,Incidence
792,Türkiye,1,Head and neck,2014,299,6123315.0,0.5183795651,Incidence
792,Türkiye,1,Head and neck,2015,296,6234961.0,0.4967969054,Incidence
792,Türkiye,1,Head and neck,2016,292,6324353.0,0.461652008,Incidence
792,Türkiye,1,Head and neck,2017,324,6407364.0,0.5017670469,Incidence
112,Belarus,1,Head and neck,2000,1025,9587474.0,0.9737540322,Incidence
112,Belarus,1,Head and neck,2001,1082,9538213.0,1.028797438,Incidence
112,Belarus,1,Head and neck,2002,1055,9477662.0,1.027015246,Incidence
112,Belarus,1,Head and neck,2003,1038,9367274.0,1.005815039,Incidence
112,Belarus,1,Head and neck,2004,1073,9294210.0,1.032292878,Incidence
112,Belarus,1,Head and neck,2005,1048,9223265.0,1.01387304,Incidence
112,Belarus,1,Head and neck,2006,1080,9163587.0,1.036519295,Incidence
112,Belarus,1,Head and neck,2007,1108,9119999.0,1.046790442,Incidence
112,Belarus,1,Head and neck,2008,1114,8941022.0,1.06203345,Incidence
112,Belarus,1,Head and neck,2009,1144,8919090.0,1.062711709,Incidence
112,Belarus,1,Head and neck,2010,1197,8899180.0,1.115840819,Incidence
