country_id,country_name,year,population
32,Argentina,2022,45510318
51,Armenia,2022,2780469
36,Australia,2022,26177413
40,Austria,2022,8939617
48,Bahrain,2022,1472233
112,Belarus,2022,9534954
56,Belgium,2022,11655930
84,Belize,2022,405272
76,Brazil,2022,215313498
124,Canada,2022,38454327
152,Chile,2022,19603733
156,China,2022,1425887337
170,Colombia,2022,51874024
188,Costa Rica,2022,5180829
191,Croatia,2022,4030358
192,Cuba,2022,11212191
196,Cyprus,2022,1251488
208,Denmark,2022,5882261
218,Ecuador,2022,18001000
233,Estonia,2022,1326062
246,Finland,2022,5540745
250,France (metropolitan),2022,64626628
268,Georgia,2022,3744385
276,Germany,2022,83369843
300,Greece,2022,10384971
320,Guatemala,2022,17843908
328,Guyana,2022,808726
348,Hungary,2022,9967308
352,Iceland,2022,372899
356,India,2022,1417173173
372,Ireland,2022,5023109
376,Israel,2022,9038309
380,Italy,2022,59037474
392,Japan,2022,123951692
414,Kuwait,2022,4268873
417,Kyrgyzstan,2022,6630623
428,Latvia,2022,1850651
440,Lithuania,2022,2750055
442,Luxembourg,2022,647599
470,Malta,2022,533286
480,Mauritius,2022,1299469
484,Mexico,2022,127504125
498,Moldova,2022,3272996
528,The Netherlands,2022,17564014
554,New Zealand,2022,5185288
558,Nicaragua,2022,6948392
578,Norway,2022,5434319
591,Panama,2022,4408581
600,Paraguay,2022,6780744
608,Philippines,2022,115559009
616,Poland,2022,39857145
620,Portugal,2022,10270865
630,Puerto Rico,2022,3252407
634,Qatar,2022,2695122
642,Romania,2022,19659267
688,Serbia,2022,7221365
702,Singapore,2022,5975689
703,Slovakia,2022,5643453
705,Slovenia,2022,2119844
710,South Africa,2022,59893885
410,South Korea,2022,51815810
724,Spain,2022,47558630
752,Sweden,2022,10549347
756,Switzerland,2022,8740472
764,Thailand,2022,71697030
792,Türkiye,2022,85341241
800,Uganda,2022,47249585
826,United Kingdom,2022,67508936
840,USA,2022,338289857
858,Uruguay,2022,3422794
860,Uzbekistan,2022,34627652
862,Venezuela,2022,28301696
32,Argentina,2020,45036032
51,Armenia,2020,2805608
36,Australia,2020,25670051
40,Austria,2020,8907777
48,Bahrain,2020,1477469
112,Belarus,2020,9633740
56,Belgium,2020,11561717
84,Belize,2020,394921
76,Brazil,2020,213196304
124,Canada,2020,37888705
152,Chile,2020,19300315
156,China,2020,1424929781
170,Colombia,2020,50930662
188,Costa Rica,2020,5123105
191,Croatia,2020,4096868
192,Cuba,2020,11300698
196,Cyprus,2020,1237537
208,Denmark,2020,5825641
218,Ecuador,2020,17588595
233,Estonia,2020,1329444
246,Finland,2020,5529468
250,France (metropolitan),2020,64480053
268,Georgia,2020,3765912
276,Germany,2020,83328988
300,Greece,2020,10512232
320,Guatemala,2020,17362718
328,Guyana,2020,797202
348,Hungary,2020,9750573
352,Iceland,2020,366669
356,India,2020,1396387127
372,Ireland,2020,4946119
376,Israel,2020,8757489
380,Italy,2020,59500579
392,Japan,2020,125244761
414,Kuwait,2020,4360444
417,Kyrgyzstan,2020,6424874
428,Latvia,2020,1897052
440,Lithuania,2020,2820267
442,Luxembourg,2020,630399
470,Malta,2020,515357
480,Mauritius,2020,1297828
484,Mexico,2020,125998302
498,Moldova,2020,3084847
528,The Netherlands,2020,17434557
554,New Zealand,2020,5061133
558,Nicaragua,2020,6755895
578,Norway,2020,5379839
591,Panama,2020,4294396
600,Paraguay,2020,6618695
608,Philippines,2020,112190977
616,Poland,2020,38428366
620,Portugal,2020,10298192
630,Puerto Rico,2020,3271564
634,Qatar,2020,2760385
642,Romania,2020,19442038
688,Serbia,2020,7358005
702,Singapore,2020,5909869
703,Slovakia,2020,5456681
705,Slovenia,2020,2117641
710,South Africa,2020,58801927
410,South Korea,2020,51844690
724,Spain,2020,47363807
752,Sweden,2020,10368969
756,Switzerland,2020,8638613
764,Thailand,2020,71475664
792,Türkiye,2020,84135428
800,Uganda,2020,44404611
826,United Kingdom,2020,67059474
840,USA,2020,335942003
858,Uruguay,2020,3429086
860,Uzbekistan,2020,33526656
862,Venezuela,2020,28490453
32,Argentina,2015,43257065
51,Armenia,2015,2878595
36,Australia,2015,23820236
40,Austria,2015,8642421
48,Bahrain,2015,1362142
112,Belarus,2015,9700609
56,Belgium,2015,11248303
84,Belize,2015,359871
76,Brazil,2015,205188205
124,Canada,2015,35732126
152,Chile,2015,17870124
156,China,2015,1393715448
170,Colombia,2015,47119728
188,Costa Rica,2015,4895242
191,Croatia,2015,4254815
192,Cuba,2015,11339894
196,Cyprus,2015,1187280
208,Denmark,2015,5677796
218,Ecuador,2015,16195902
233,Estonia,2015,1314657
246,Finland,2015,5479461
250,France (metropolitan),2015,63809769
268,Georgia,2015,3771132
276,Germany,2015,82073226
300,Greece,2015,10806641
320,Guatemala,2015,16001107
328,Guyana,2015,755031
348,Hungary,2015,9844246
352,Iceland,2015,331060
356,India,2015,1322866505
372,Ireland,2015,4665760
376,Israel,2015,8007778
380,Italy,2015,60232906
392,Japan,2015,127250933
414,Kuwait,2015,3908743
417,Kyrgyzstan,2015,5914980
428,Latvia,2015,1991955
440,Lithuania,2015,2963765
442,Luxembourg,2015,569408
470,Malta,2015,456579
480,Mauritius,2015,1293153
484,Mexico,2015,120149897
498,Moldova,2015,3277388
528,The Netherlands,2015,17041107
554,New Zealand,2015,4590590
558,Nicaragua,2015,6298598
578,Norway,2015,5190356
591,Panama,2015,3957099
600,Paraguay,2015,6177950
608,Philippines,2015,103031365
616,Poland,2015,38553146
620,Portugal,2015,10365435
630,Puerto Rico,2015,3497335
634,Qatar,2015,2414573
642,Romania,2015,19906079
688,Serbia,2015,7519496
702,Singapore,2015,5650018
703,Slovakia,2015,5424444
705,Slovenia,2015,2080862
710,South Africa,2015,55876504
410,South Korea,2015,50994401
724,Spain,2015,46431342
752,Sweden,2015,9849349
756,Switzerland,2015,8281732
764,Thailand,2015,70294397
792,Türkiye,2015,79646178
800,Uganda,2015,37477356
826,United Kingdom,2015,65224364
840,USA,2015,324607776
858,Uruguay,2015,3402818
860,Uzbekistan,2015,30949417
862,Venezuela,2015,30529716
32,Argentina,2010,41100123
51,Armenia,2010,2946293
36,Australia,2010,22019168
40,Austria,2010,8362829
48,Bahrain,2010,1213645
112,Belarus,2010,9731427
56,Belgium,2010,10877947
84,Belize,2010,322106
76,Brazil,2010,196353492
124,Canada,2010,33963412
152,Chile,2010,17004162
156,China,2010,1348191368
170,Colombia,2010,44816108
188,Costa Rica,2010,4622252
191,Croatia,2010,4368682
192,Cuba,2010,11290417
196,Cyprus,2010,1129686
208,Denmark,2010,5550849
218,Ecuador,2010,14989585
233,Estonia,2010,1331535
246,Finland,2010,5363271
250,France (metropolitan),2010,62444567
268,Georgia,2010,3836831
276,Germany,2010,81325090
300,Greece,2010,11033783
320,Guatemala,2010,14543121
328,Guyana,2010,747932
348,Hungary,2010,9986825
352,Iceland,2010,318333
356,India,2010,1240613620
372,Ireland,2010,4524585
376,Israel,2010,7328445
380,Italy,2010,59822450
392,Japan,2010,128105431
414,Kuwait,2010,2943356
417,Kyrgyzstan,2010,5483774
428,Latvia,2010,2101530
440,Lithuania,2010,3139019
442,Luxembourg,2010,507070
