country_name,year,rate,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use
Argentina,2003,5.055149385063688e-06,16.6435724137411,5.4,3320.47775133903,76.63636363636364,20.0,28.508333333333336
Argentina,2004,5.834681766872574e-06,16.3426626515998,5.5,4242.02099089422,76.63636363636364,20.7,28.508333333333336
Argentina,2005,5.007904998287391e-06,16.0193994250859,5.7,5067.65342293276,74.0,21.3,31.5
Argentina,2006,4.960660611511096e-06,15.5877675221277,6.2,5869.38028970204,76.63636363636364,22.0,28.508333333333336
Argentina,2007,5.433104479274057e-06,15.0427292384364,6.6,7185.25155147027,76.63636363636364,22.6,30.5
Argentina,2008,5.173260352004428e-06,14.5043652786628,6.8,8944.1102657357,76.63636363636364,23.3,28.508333333333336
Argentina,2009,5.598459832991093e-06,14.0927563474575,7.0,8150.23527028221,76.63636363636364,24.1,28.508333333333336
Argentina,2010,6.350345958818663e-06,13.9279831494715,7.3,10260.1313108254,76.0,24.8,29.0
Argentina,2011,5.622082026379241e-06,14.2389306717038,7.7,12704.2831819684,76.63636363636364,25.6,28.508333333333336
Argentina,2012,5.220504738780724e-06,13.3571618542264,8.0,12949.717486654,76.63636363636364,26.4,28.508333333333336
Argentina,2013,5.716570799931834e-06,14.7643699932772,8.1,12963.675773326,76.63636363636364,27.2,28.508333333333336
Argentina,2014,5.645704219767389e-06,13.9500593062949,8.2,12233.1444119186,76.63636363636364,28.1,28.508333333333336
Argentina,2015,5.733167518415778e-06,14.6245514656634,8.2,13679.6264980954,80.0,29.0,26.6
Argentina,2016,4.937038418122947e-06,14.2700594540808,8.2,12699.9623137756,76.63636363636364,30.0,28.508333333333336
Argentina,2017,5.669326413155537e-06,13.9690174802422,7.9,14532.5009308511,79.0,30.9,28.508333333333336
Australia,2000,0.0002846256457644,7.45743282688833,9.8,21870.4159669594,81.0,20.2,24.5
Australia,2001,0.0002372740607601,7.38895346175728,9.8,19695.7297379144,84.83333333333333,20.9,18.47692307692308
Australia,2002,0.0002376265570435,7.26633772021658,9.8,20301.8431713256,84.83333333333333,21.6,18.47692307692308
Australia,2003,0.0002263907380103,7.13120227271499,9.9,23718.1338501868,84.83333333333333,22.3,18.47692307692308
Australia,2004,0.0002518145324501,7.02516378970128,10.0,30836.7306824685,84.83333333333333,22.9,18.47692307692308
Australia,2005,0.0002557360536029,6.98983894162423,10.2,34479.7679298388,83.0,23.5,21.2
Australia,2006,0.0002568816665239,7.04814950445881,10.4,36595.7071548423,84.83333333333333,24.0,18.47692307692308
Australia,2007,0.0002613319321018,7.16629810836131,10.5,41051.6120652288,84.83333333333333,24.6,20.0
Australia,2008,0.0002706730836118,7.30082270505242,10.6,49701.2817843335,84.83333333333333,25.1,18.47692307692308
Australia,2009,0.0002781195675985,7.40826124625286,10.6,42816.5674002829,84.83333333333333,25.5,18.47692307692308
Australia,2010,0.0002892025711416,7.44515168368333,10.5,52144.6654705468,84.0,26.0,18.4
Australia,2011,0.0002840679423808,7.32070663499973,10.3,62605.600458306,84.83333333333333,26.4,18.47692307692308
Australia,2012,0.0002991371584959,7.53280029437137,10.1,68072.8732340801,84.83333333333333,26.8,18.47692307692308
Australia,2013,0.0002929244115011,7.4331406197536,10.0,68190.7010035651,84.83333333333333,27.3,18.47692307692308
Australia,2014,0.0003073767591203,7.38760302103561,9.9,62544.0873773726,84.83333333333333,27.7,18.47692307692308
Australia,2015,0.0003044890067419,7.18466162026884,9.8,56739.0265346593,87.0,28.2,15.9
Australia,2016,0.0003274690472738,7.20069562395068,9.7,49888.0410842736,84.83333333333333,28.7,18.47692307692308
Australia,2017,0.0003412604643616,7.4285359593217,9.6,53901.7145392154,87.0,29.1,18.47692307692308
Austria,2000,0.000354413022625,19.150573887216,12.5,24487.2974685956,70.0,13.0,52.5
Austria,2001,0.0003164466051599,18.9470662603211,12.5,24430.495982841,80.08333333333333,13.3,37.76923076923077
Austria,2002,0.000320807321879,18.7785099320798,12.3,26334.862215032,80.08333333333333,13.6,37.76923076923077
Austria,2003,0.0003378966171298,18.6169292381771,12.2,32110.1159661425,80.08333333333333,13.9,37.76923076923077
